held_out_beta,seed,model,J1,failure_rate,n_samples
1.5,42,Default,0.5476987191772456,0.0,6000
1.5,42,L6,0.39746031537805815,0.0,6000
1.5,42,Mean-Normalized-MLP,0.5541004658721302,0.0,6000
1.5,2026,Default,0.5476987191772456,0.0,6000
1.5,2026,L6,0.39746031537805815,0.0,6000
1.5,2026,Mean-Normalized-MLP,0.55073544752639,0.0,6000
1.5,3407,Default,0.5476987191772456,0.0,6000
1.5,3407,L6,0.39746031537805815,0.0,6000
1.5,3407,Mean-Normalized-MLP,0.564807435372821,0.0,6000
2.0,42,Default,0.5204978344244866,0.0,6000
2.0,42,L6,0.4032794060260263,0.0,6000
2.0,42,Mean-Normalized-MLP,0.49620652345540794,0.0,6000
2.0,2026,Default,0.5204978344244866,0.0,6000
2.0,2026,L6,0.4032794060260263,0.0,6000
2.0,2026,Mean-Normalized-MLP,0.49784775713953255,0.0,6000
2.0,3407,Default,0.5204978344244866,0.0,6000
2.0,3407,L6,0.4032794060260263,0.0,6000
2.0,3407,Mean-Normalized-MLP,0.4985393258574475,0.0,6000
2.5,42,Default,0.5318700939484555,0.0,6000
2.5,42,L6,0.43657598814492304,0.0,6000
2.5,42,Mean-Normalized-MLP,0.5076405932341838,0.0,6000
2.5,2026,Default,0.5318700939484555,0.0,6000
2.5,2026,L6,0.43657598814492304,0.0,6000
2.5,2026,Mean-Normalized-MLP,0.5060729425598919,0.0,6000
2.5,3407,Default,0.5318700939484555,0.0,6000
2.5,3407,L6,0.43657598814492304,0.0,6000
2.5,3407,Mean-Normalized-MLP,0.5076481485222296,0.0,6000
3.0,42,Default,0.5723656222089817,0.0,6000
3.0,42,L6,0.47085304158211755,0.0,6000
3.0,42,Mean-Normalized-MLP,0.5412639733004838,0.0,6000
3.0,2026,Default,0.5723656222089817,0.0,6000
3.0,2026,L6,0.47085304158211755,0.0,6000
3.0,2026,Mean-Normalized-MLP,0.539721048145173,0.0,6000
3.0,3407,Default,0.5723656222089817,0.0,6000
3.0,3407,L6,0.47085304158211755,0.0,6000
3.0,3407,Mean-Normalized-MLP,0.5383935497018311,0.0,6000
3.5,42,Default,0.6136100743597208,0.0,6000
3.5,42,L6,0.49631081220995915,0.0,6000
3.5,42,Mean-Normalized-MLP,0.56256894436371,0.0,6000
3.5,2026,Default,0.6136100743597208,0.0,6000
3.5,2026,L6,0.49631081220995915,0.0,6000
3.5,2026,Mean-Normalized-MLP,0.5627252232134065,0.0,6000
3.5,3407,Default,0.6136100743597208,0.0,6000
3.5,3407,L6,0.49631081220995915,0.0,6000
3.5,3407,Mean-Normalized-MLP,0.5638012067480244,0.0,6000
4.0,42,Default,0.6811755452846217,0.0,6000
4.0,42,L6,0.5373104816231125,0.0,6000
4.0,42,Mean-Normalized-MLP,0.6107057856404917,0.0,6000
4.0,2026,Default,0.6811755452846217,0.0,6000
4.0,2026,L6,0.5373104816231125,0.0,6000
4.0,2026,Mean-Normalized-MLP,0.6061460862384334,0.0,6000
4.0,3407,Default,0.6811755452846217,0.0,6000
4.0,3407,L6,0.5373104816231125,0.0,6000
4.0,3407,Mean-Normalized-MLP,0.6126361245966513,0.0,6000
4.5,42,Default,0.7305429111984516,0.0,6000
4.5,42,L6,0.5595063462252573,0.0,6000
4.5,42,Mean-Normalized-MLP,0.6557212473707046,0.0,6000
4.5,2026,Default,0.7305429111984516,0.0,6000
4.5,2026,L6,0.5595063462252573,0.0,6000
4.5,2026,Mean-Normalized-MLP,0.6500259239954698,0.0,6000
4.5,3407,Default,0.7305429111984516,0.0,6000
4.5,3407,L6,0.5595063462252573,0.0,6000
4.5,3407,Mean-Normalized-MLP,0.6539036053805362,0.0,6000
5.0,42,Default,0.789769332128496,0.0,6000
5.0,42,L6,0.5982199497793135,0.0,6000
5.0,42,Mean-Normalized-MLP,0.711314262465927,0.0,6000
5.0,2026,Default,0.789769332128496,0.0,6000
5.0,2026,L6,0.5982199497793135,0.0,6000
5.0,2026,Mean-Normalized-MLP,0.7019512324669275,0.0,6000
5.0,3407,Default,0.789769332128496,0.0,6000
5.0,3407,L6,0.5982199497793135,0.0,6000
5.0,3407,Mean-Normalized-MLP,0.7010811009869802,0.0,6000
