beta,gamma_over_eta,n,repeat_id,cohort_delta,orig_best_delta,orig_best_loss,extended_best_delta,extended_best_loss,migrated,loss_improvement,rel_improvement
1.5,0.1,7,11,0.5,0.5,0.1458808999774884,0.5,0.1458808999774884,False,0.0,0.0
1.5,0.1,7,14,0.5,0.5,0.1232284322355029,1.0,0.1011604668842871,True,0.0220679653512157,0.1790817666903486
1.5,0.1,7,16,0.5,0.5,0.113009999488489,0.78,0.1006971955428086,True,0.0123128039456803,0.1089532253907721
1.5,0.1,7,35,0.5,0.5,0.0199175966437256,0.5,0.0199175966437256,False,0.0,0.0
1.5,0.1,7,42,0.5,0.5,0.0484270075472052,0.52,0.0483641092721468,True,6.289827505839146e-05,0.0012988263831309
1.5,0.1,7,44,0.5,0.5,0.0400149615081525,0.9,0.0102663677497684,True,0.029748593758384,0.7434367705770054
1.5,0.1,7,48,0.5,0.5,0.0177095641993104,0.76,0.005656651947268,True,0.0120529122520424,0.680587738715316
1.5,0.1,7,51,0.5,0.5,0.1337075144224811,1.0,0.0793946053251772,True,0.0543129090973038,0.4062068563004554
1.5,0.1,7,53,0.5,0.5,0.1607643934460527,1.0,0.0608219201045226,True,0.0999424733415301,0.6216704532590889
1.5,0.1,7,63,0.5,0.5,0.0783885610768053,1.0,0.0156920036819062,True,0.0626965573948991,0.7998176842851962
1.5,0.1,7,76,0.5,0.5,0.0202296819873783,0.52,0.0198244001090177,True,0.0004052818783606,0.0200340212274946
1.5,0.1,7,83,0.5,0.5,0.1952818099566549,0.74,0.0737397244612138,True,0.1215420854954411,0.6223932762729864
1.5,0.1,7,86,0.5,0.5,0.0022074078561316,0.58,0.0001358188678623,True,0.0020715889882692,0.9384713307578918
1.5,0.1,7,95,0.5,0.5,0.0255646223388993,0.64,0.0234613196676405,True,0.0021033026712587,0.0822739582606059
1.5,0.1,7,103,0.5,0.5,0.1900180624163675,0.92,0.0481694187913134,True,0.1418486436250541,0.7465008421895988
1.5,0.1,7,128,0.5,0.5,0.1641770800816222,1.0,0.0632981395608046,True,0.1008789405208175,0.6144520323461996
1.5,0.1,7,135,0.5,0.5,0.1046488886903036,0.54,0.1039583667563737,True,0.0006905219339299,0.0065984640885528
1.5,0.1,7,149,0.5,0.5,0.1886300092511297,1.0,0.1721159152076383,True,0.0165140940434914,0.0875475440469581
1.5,0.1,7,167,0.5,0.5,0.0184551263524242,0.54,0.0180216137459343,True,0.0004335126064899,0.0234900914906476
1.5,0.1,7,179,0.5,0.5,0.0382448576294049,0.52,0.0381388499781279,True,0.0001060076512769,0.002771814509135
1.5,0.1,7,184,0.5,0.5,0.1176339594215237,0.58,0.0990636870626854,True,0.0185702723588382,0.1578648925034855
1.5,0.1,7,214,0.5,0.5,0.0985144135400658,0.54,0.0916302710943041,True,0.0068841424457617,0.0698795455241884
1.5,0.1,7,217,0.5,0.5,0.1560531525674237,1.0,0.0732173692264084,True,0.0828357833410152,0.5308177500946387
1.5,0.1,7,219,0.5,0.5,0.1571387969782644,0.84,0.1532128130664684,True,0.0039259839117959,0.0249841795106716
1.5,0.1,7,222,0.5,0.5,0.1195354118949156,0.58,0.1109093677767017,True,0.0086260441182139,0.0721630852437026
1.5,0.1,7,229,0.5,0.5,0.0115672788490154,0.5,0.0115672788490154,False,0.0,0.0
1.5,0.1,7,236,0.5,0.5,0.1144157390209097,0.82,0.021589816410199,True,0.0928259226107106,0.8113037891906333
1.5,0.1,7,251,0.5,0.5,0.1136668322204207,0.52,0.1134117184624105,True,0.0002551137580101,0.0022443992942063
1.5,0.1,7,256,0.5,0.5,0.1212482387618692,0.58,0.1189073148490734,True,0.0023409239127958,0.0193068694168282
1.5,0.1,7,296,0.5,0.5,0.061750414897508,0.58,0.0613266561664887,True,0.0004237587310192,0.0068624434624874
1.5,0.1,7,300,0.5,0.5,0.0325650455293224,0.86,0.0014459437888358,True,0.0311191017404865,0.9555982875094126
1.5,0.1,7,305,0.5,0.5,0.0648469503748767,0.54,0.0630815876474197,True,0.0017653627274569,0.0272235273555889
1.5,0.1,7,353,0.5,0.5,0.1996250969300467,0.52,0.1865897760505223,True,0.0130353208795244,0.0652990083911758
1.5,0.1,7,362,0.5,0.5,0.1274688068599885,0.5,0.1274688068599885,False,0.0,0.0
1.5,0.1,7,366,0.5,0.5,0.2322995624882902,1.0,0.2243102769564629,True,0.0079892855318272,0.0343921677951072
1.5,0.1,7,377,0.5,0.5,0.0179852706912061,0.6,0.0081344640316629,True,0.0098508066595432,0.5477152292380971
1.5,0.1,7,412,0.5,0.5,0.2255629593025436,0.66,0.2243569023583037,True,0.0012060569442398,0.0053468749832378
1.5,0.1,7,415,0.5,0.5,0.0288709440277979,0.7,0.0230679287343212,True,0.0058030152934767,0.2009984601781417
1.5,0.1,7,419,0.5,0.5,0.0288274654537154,0.5,0.0288274654537154,False,0.0,0.0
1.5,0.1,7,424,0.5,0.5,0.148631454193968,0.9,0.1330393668959631,True,0.0155920872980048,0.1049043581155892
1.5,0.1,7,428,0.5,0.5,0.1888512232714988,0.56,0.1884015937731648,True,0.000449629498334,0.0023808662212775
1.5,0.1,7,430,0.5,0.5,0.0338790164441605,0.88,0.0101129192092879,True,0.0237660972348726,0.7014990318282692
1.5,0.1,7,474,0.5,0.5,0.1423346965770905,1.0,0.1197490287666588,True,0.0225856678104317,0.1586799870557142
1.5,0.1,7,476,0.5,0.5,0.0143993105166734,0.6,0.0094225906669713,True,0.004976719849702,0.3456220937759006
1.5,0.1,7,477,0.5,0.5,0.1133722602161842,1.0,0.0556947836445172,True,0.0576774765716669,0.5087441712962631
1.5,0.1,7,482,0.5,0.5,0.067027931111292,0.72,0.0622864627917202,True,0.0047414683195717,0.0707386941676458
1.5,0.1,7,496,0.5,0.5,0.0119712076360956,0.56,0.0107733236344547,True,0.0011978840016409,0.1000637561434525
1.5,0.1,7,507,0.5,0.5,0.3396877874599187,1.0,0.3099215002391777,True,0.0297662872207409,0.0876283702847375
1.5,0.1,7,514,0.5,0.5,0.1734547026295993,1.0,0.120731938455485,True,0.0527227641741142,0.3039569603754133
1.5,0.1,7,515,0.5,0.5,0.3166278299466767,1.0,0.2946557314244068,True,0.0219720985222698,0.069394084929206
1.5,0.1,7,517,0.5,0.5,0.0279373728166303,0.58,0.0237087852702933,True,0.004228587546337,0.1513595274005105
1.5,0.1,7,532,0.5,0.5,0.198512643044561,0.66,0.1929383725970184,True,0.0055742704475426,0.0280801784815858
1.5,0.1,7,533,0.5,0.5,0.1187791841815117,0.66,0.1125144742699367,True,0.0062647099115749,0.0527424898120331
1.5,0.1,7,535,0.5,0.5,0.0427768262165563,0.52,0.0426255516767957,True,0.0001512745397606,0.0035363666064139
1.5,0.1,7,550,0.5,0.5,0.0091900136521922,0.54,0.0088035627691076,True,0.0003864508830846,0.0420511761690857
1.5,0.1,7,551,0.5,0.5,0.0287670272277669,0.84,0.0092363660527048,True,0.019530661175062,0.6789252507888749
1.5,0.1,7,566,0.5,0.5,0.0835826324669397,0.56,0.0825569951155492,True,0.0010256373513905,0.0122709386043351
1.5,0.1,7,568,0.5,0.5,0.0367375334451123,0.62,0.0267519268330855,True,0.0099856066120268,0.2718093915299409
1.5,0.1,7,570,0.5,0.5,0.0402154248433858,0.76,0.0074490561250703,True,0.0327663687183154,0.8147711691700423
1.5,0.1,7,574,0.5,0.5,0.043615279904965,0.5,0.043615279904965,False,0.0,0.0
1.5,0.1,7,582,0.5,0.5,0.0372846645120078,0.56,0.0362451036414958,True,0.001039560870512,0.027881727893172
1.5,0.1,7,598,0.5,0.5,0.0524897306252054,0.56,0.0520620301397677,True,0.0004277004854376,0.0081482697728361
1.5,0.1,7,606,0.5,0.5,0.0017202804669453,0.52,0.0014797926674659,True,0.0002404877994794,0.1397956926793929
1.5,0.1,7,613,0.5,0.5,0.1615571270119935,1.0,0.1140814743559279,True,0.0474756526560656,0.2938629420696566
1.5,0.1,7,619,0.5,0.5,0.1692698717361473,0.52,0.1663240218039965,True,0.0029458499321507,0.017403273848654
1.5,0.1,7,623,0.5,0.5,0.0132210682531876,0.66,0.0034677643652499,True,0.0097533038879376,0.737709215409739
1.5,0.1,7,640,0.5,0.5,0.0339843878941128,0.8,0.0064358930377875,True,0.0275484948563252,0.8106220698209937
1.5,0.1,7,644,0.5,0.5,0.134144080955195,1.0,0.0995885019535731,True,0.0345555790016219,0.257600475217119
1.5,0.1,7,651,0.5,0.5,0.0154538389571146,0.68,0.0096596705478201,True,0.0057941684092945,0.3749339193564587
1.5,0.1,7,653,0.5,0.5,0.0284941729163826,0.72,0.012183970562396,True,0.0163102023539866,0.572404835257006
1.5,0.1,7,659,0.5,0.5,0.2837138104666168,0.58,0.2162256962041667,True,0.0674881142624501,0.2378739129810217
1.5,0.1,7,660,0.5,0.5,0.049263042943473,0.54,0.0486511674052938,True,0.0006118755381792,0.0124205794368268
1.5,0.1,7,668,0.5,0.5,0.0250883034997294,0.8,0.0005072032722696,True,0.0245811002274597,0.9797832774035456
1.5,0.1,7,670,0.5,0.5,0.093957434658918,0.54,0.0918425170977783,True,0.0021149175611397,0.0225093157217122
1.5,0.1,7,675,0.5,0.5,0.0911992444551245,0.52,0.0910503487529063,True,0.0001488957022181,0.0016326418393897
1.5,0.1,7,683,0.5,0.5,0.0563460831916288,0.72,0.0410305518418988,True,0.01531553134973,0.2718118187140546
1.5,0.1,7,687,0.5,0.5,0.1085401387112245,1.0,0.0193562895864356,True,0.0891838491247889,0.821666990513677
1.5,0.1,7,694,0.5,0.5,0.454155518249427,1.0,0.4538653432739627,True,0.0002901749754643,0.0006389330610422
1.5,0.1,7,697,0.5,0.5,0.1176847588792697,0.62,0.1046689755448115,True,0.0130157833344581,0.1105987169316527
1.5,0.1,7,704,0.5,0.5,0.1355584976269654,0.5,0.1355584976269654,False,0.0,0.0
1.5,0.1,7,713,0.5,0.5,0.0010392444974224,0.56,0.0001247764734899,True,0.0009144680239324,0.879935401342588
1.5,0.1,7,714,0.5,0.5,0.2028805431067959,1.0,0.1543238051518841,True,0.0485567379549117,0.239336592910004
1.5,0.1,7,716,0.5,0.5,1.0019697581746931,1.0,0.7213022345708751,True,0.2806675236038181,0.2801157632892187
1.5,0.1,7,721,0.5,0.5,0.1589548562922381,0.96,0.0412086684192829,True,0.1177461878729551,0.7407523785022277
1.5,0.1,7,730,0.5,0.5,0.0439583832126207,0.54,0.0432646979463713,True,0.0006936852662494,0.0157804999991504
1.5,0.1,7,731,0.5,0.5,0.2836346240614104,1.0,0.2025453750841421,True,0.0810892489772683,0.2858933363499073
1.5,0.1,7,737,0.5,0.5,0.0232746159125065,0.78,0.0001673491958584,True,0.023107266716648,0.992809797743276
1.5,0.1,7,743,0.5,0.5,0.0319826384949846,0.54,0.0316795189345664,True,0.0003031195604181,0.0094776283221824
1.5,0.1,7,744,0.5,0.5,0.0339717593909088,0.7,0.0090971389221975,True,0.0248746204687112,0.7322146663786839
1.5,0.1,7,745,0.5,0.5,0.0204751549073866,0.54,0.0200973935274611,True,0.0003777613799254,0.0184497446605006
1.5,0.1,7,751,0.5,0.5,0.055408465656948,1.0,0.0050370026646454,True,0.0503714629923026,0.909093265714464
1.5,0.1,7,758,0.5,0.5,0.1049387574692302,1.0,0.0760445828871654,True,0.0288941745820648,0.2753432123544733
1.5,0.1,7,763,0.5,0.5,0.0189371701783769,0.54,0.01821693933072,True,0.0007202308476569,0.0380326543444852
1.5,0.1,7,798,0.5,0.5,0.1323225092009984,0.8,0.1168748983668853,True,0.015447610834113,0.1167421244306063
1.5,0.1,7,815,0.5,0.5,0.0387505979111534,0.64,0.0260315154351415,True,0.0127190824760119,0.328229321910696
1.5,0.1,7,819,0.5,0.5,0.0222288202491641,0.5,0.0222288202491641,False,0.0,0.0
1.5,0.1,7,829,0.5,0.5,0.001762641199654,0.52,0.0017450816145341,True,1.755958511993742e-05,0.0099620870789719
1.5,0.1,7,834,0.5,0.5,0.1326729520332268,0.52,0.1320596646257262,True,0.0006132874075006,0.0046225504000771
1.5,0.1,7,836,0.5,0.5,0.0737550008036257,0.5,0.0737550008036257,False,0.0,0.0
1.5,0.1,7,843,0.5,0.5,0.0576508247019054,0.6,0.0554547204241511,True,0.0021961042777543,0.0380931979570061
1.5,0.1,7,853,0.5,0.5,0.0490391224361841,0.5,0.0490391224361841,False,0.0,0.0
1.5,0.1,7,857,0.5,0.5,0.1185836551246055,0.56,0.1005644939480562,True,0.0180191611765492,0.1519531604723692
1.5,0.1,7,862,0.5,0.5,0.1794917102054181,1.0,0.1520387562880548,True,0.0274529539173632,0.1529483110163969
1.5,0.1,7,865,0.5,0.5,0.0277030921220395,0.78,0.0019162771178652,True,0.0257868150041742,0.9308280422480067
1.5,0.1,7,899,0.5,0.5,0.0788991467519479,0.94,0.0734369411164568,True,0.0054622056354911,0.0692302244112195
1.5,0.1,7,902,0.5,0.5,0.0359681194575984,0.74,0.0320318295921461,True,0.0039362898654523,0.1094383004953225
