estimator,family,mapping,n_samples,n_clipped_samples,n_clip_events,mean_clip_per_sample
MDM-0.1,PG-beta,nearest_grid,48000,0,0,0.0
MDM-0.1,PG-beta,interpolated,48000,18281,30767,0.6409791666666667
MDM-0.1,PG-beta-n,nearest_grid,48000,0,0,0.0
MDM-0.1,PG-beta-n,interpolated,48000,18507,32656,0.6803333333333333
MDM-0.1,PG-full,nearest_grid,48000,0,0,0.0
MDM-0.1,PG-full,interpolated,48000,37639,93062,1.9387916666666667
WMLE,PG-beta,nearest_grid,48000,0,0,0.0
WMLE,PG-beta,interpolated,48000,21463,35133,0.7319375
WMLE,PG-beta-n,nearest_grid,48000,0,0,0.0
WMLE,PG-beta-n,interpolated,48000,21819,37021,0.7712708333333333
WMLE,PG-full,nearest_grid,48000,0,0,0.0
WMLE,PG-full,interpolated,48000,44026,123431,2.5714791666666668
