estimator,family,mapping,variant,observed_j1_diff,ci_low,ci_high,n_boot,seed,n_blocks,n_blocks_pg_worse,frac_blocks_pg_worse
MDM-0.1,PG-beta,nearest_grid,one_step,0.043545301409128157,0.04038701731162128,0.04618900362217914,2000,2026,300,292,0.9733333333333334
MDM-0.1,PG-beta,nearest_grid,terminal,0.056150459135009934,0.053024148046900796,0.05891126703696512,2000,2026,300,293,0.9766666666666667
MDM-0.1,PG-beta,interpolated,one_step,0.040329132575184556,0.03723859463802223,0.04293545850195528,2000,2026,300,292,0.9733333333333334
MDM-0.1,PG-beta,interpolated,terminal,0.05929596977779639,0.05613565972929785,0.062043295384381615,2000,2026,300,294,0.98
MDM-0.1,PG-beta-n,nearest_grid,one_step,0.04278331503945798,0.040012908440427444,0.04524242658744299,2000,2026,300,293,0.9766666666666667
MDM-0.1,PG-beta-n,nearest_grid,terminal,0.07073019397613156,0.06745011960637501,0.07376681619293063,2000,2026,300,294,0.98
MDM-0.1,PG-beta-n,interpolated,one_step,0.041745967765772996,0.03903199661875453,0.04413981616296382,2000,2026,300,291,0.97
MDM-0.1,PG-beta-n,interpolated,terminal,0.07347059422047353,0.07014447891648407,0.07649450970738363,2000,2026,300,294,0.98
MDM-0.1,PG-full,nearest_grid,one_step,0.05314502251938702,0.049937488639380447,0.055768778637791235,2000,2026,300,293,0.9766666666666667
MDM-0.1,PG-full,nearest_grid,terminal,0.10162438441420873,0.0982300643259705,0.10504210931903968,2000,2026,300,299,0.9966666666666667
MDM-0.1,PG-full,interpolated,one_step,0.052263128326142994,0.049159174482894814,0.054924009142392115,2000,2026,300,294,0.98
MDM-0.1,PG-full,interpolated,terminal,0.11104588886798616,0.1073541501314017,0.11447845592493051,2000,2026,300,299,0.9966666666666667
WMLE,PG-beta,nearest_grid,one_step,0.02256879838793835,0.02085867478699957,0.024283735750335343,2000,2026,300,286,0.9533333333333334
WMLE,PG-beta,nearest_grid,terminal,0.05938245440204193,0.05614176458376234,0.062217020075094255,2000,2026,300,294,0.98
WMLE,PG-beta,interpolated,one_step,0.020287028445136635,0.01858636093947686,0.02194666130636022,2000,2026,300,286,0.9533333333333334
WMLE,PG-beta,interpolated,terminal,0.060580735913800865,0.05738056944249387,0.06342628359559592,2000,2026,300,294,0.98
WMLE,PG-beta-n,nearest_grid,one_step,0.02691005515258582,0.02490266316239164,0.028741002215648504,2000,2026,300,289,0.9633333333333334
WMLE,PG-beta-n,nearest_grid,terminal,0.07636677518757173,0.07310370185781541,0.07938077885363841,2000,2026,300,295,0.9833333333333333
WMLE,PG-beta-n,interpolated,one_step,0.02529029495408408,0.023263314507937147,0.027119971132171884,2000,2026,300,290,0.9666666666666667
WMLE,PG-beta-n,interpolated,terminal,0.07722035127147453,0.07385886744518835,0.08033275314743572,2000,2026,300,295,0.9833333333333333
WMLE,PG-full,nearest_grid,one_step,0.06359892141668899,0.05973615718980842,0.06737945516078325,2000,2026,300,297,0.99
WMLE,PG-full,nearest_grid,terminal,0.1302359745955911,0.12630209394271794,0.1341936043437866,2000,2026,300,299,0.9966666666666667
WMLE,PG-full,interpolated,one_step,0.0638780456782424,0.05976602822469351,0.06797267136205837,2000,2026,300,296,0.9866666666666667
WMLE,PG-full,interpolated,terminal,0.1364506653866684,0.13229437635646213,0.1405015811605505,2000,2026,300,299,0.9966666666666667
