estimator,family,mapping,variant,err_bin,err_low,err_high,n,mean_selected_delta,mean_loss,J1
MDM-0.1,PG-beta,nearest_grid,one_step,q1,5.58500699421316e-06,0.4063188251793357,12000,0.19840833333333335,0.12606846811751563,0.35506121742245467
MDM-0.1,PG-beta,nearest_grid,one_step,q2,0.40633842916311314,0.921266776501291,12000,0.18817333333333336,0.253056202886449,0.5030469191700203
MDM-0.1,PG-beta,nearest_grid,one_step,q3,0.921302476481392,1.7307931034117758,12000,0.18009,0.4703840872406378,0.6858455272440273
MDM-0.1,PG-beta,nearest_grid,one_step,q4,1.730846197129972,13.49999297531394,12000,0.2473983333333334,0.9673499212692489,0.9835394863803125
MDM-0.1,PG-beta,nearest_grid,terminal,q1,5.58500699421316e-06,0.4063188251793357,12000,0.21286999999999998,0.13941498746750736,0.3733831644135918
MDM-0.1,PG-beta,nearest_grid,terminal,q2,0.40633842916311314,0.921266776501291,12000,0.19764833333333331,0.26861288340991674,0.5182787699780078
MDM-0.1,PG-beta,nearest_grid,terminal,q3,0.921302476481392,1.7307931034117758,12000,0.19297333333333336,0.49145860978186695,0.701041089938291
MDM-0.1,PG-beta,nearest_grid,terminal,q4,1.730846197129972,13.49999297531394,12000,0.26880833333333337,0.9859701811755582,0.9929603119840985
MDM-0.1,PG-beta,interpolated,one_step,q1,5.58500699421316e-06,0.4063188251793357,12000,0.194525,0.12039026536500959,0.34697300379858026
MDM-0.1,PG-beta,interpolated,one_step,q2,0.40633842916311314,0.921266776501291,12000,0.18610666666666667,0.2478861745371055,0.49788168728836124
MDM-0.1,PG-beta,interpolated,one_step,q3,0.921302476481392,1.7307931034117758,12000,0.18122666666666667,0.47058854966980873,0.6859945697086886
MDM-0.1,PG-beta,interpolated,one_step,q4,1.730846197129972,13.49999297531394,12000,0.24242500000000003,0.9606946532081174,0.980150321740557
MDM-0.1,PG-beta,interpolated,terminal,q1,5.58500699421316e-06,0.4063188251793357,12000,0.21642666666666666,0.14048384516119122,0.37481174629564534
MDM-0.1,PG-beta,interpolated,terminal,q2,0.40633842916311314,0.921266776501291,12000,0.20368333333333336,0.2687752310161362,0.5184353682149166
MDM-0.1,PG-beta,interpolated,terminal,q3,0.921302476481392,1.7307931034117758,12000,0.19953499999999996,0.5009325441136595,0.7077658822758126
MDM-0.1,PG-beta,interpolated,terminal,q4,1.730846197129972,13.49999297531394,12000,0.27808666666666665,0.9925812642087127,0.9962837267609628
MDM-0.1,PG-beta-n,nearest_grid,one_step,q1,5.58500699421316e-06,0.4063188251793357,12000,0.22334333333333337,0.12445521479078252,0.35278210667603666
MDM-0.1,PG-beta-n,nearest_grid,one_step,q2,0.40633842916311314,0.921266776501291,12000,0.20286833333333334,0.25109569607780907,0.5010944981516052
MDM-0.1,PG-beta-n,nearest_grid,one_step,q3,0.921302476481392,1.7307931034117758,12000,0.1879666666666667,0.4729264304328435,0.6876964667881053
MDM-0.1,PG-beta-n,nearest_grid,one_step,q4,1.730846197129972,13.49999297531394,12000,0.24947666666666668,0.9642753075549263,0.9819752071997165
MDM-0.1,PG-beta-n,nearest_grid,terminal,q1,5.58500699421316e-06,0.4063188251793357,12000,0.24242500000000003,0.16382523728854734,0.40475330423425493
MDM-0.1,PG-beta-n,nearest_grid,terminal,q2,0.40633842916311314,0.921266776501291,12000,0.2152716666666667,0.2924635735960295,0.5407990140486847
MDM-0.1,PG-beta-n,nearest_grid,terminal,q3,0.921302476481392,1.7307931034117758,12000,0.20458500000000004,0.518172348543249,0.7198418913506278
MDM-0.1,PG-beta-n,nearest_grid,terminal,q4,1.730846197129972,13.49999297531394,12000,0.27550833333333336,0.9919246393336792,0.9959541351556703
MDM-0.1,PG-beta-n,interpolated,one_step,q1,5.58500699421316e-06,0.4063188251793357,12000,0.2174333333333333,0.12157330877241469,0.3486736422106132
MDM-0.1,PG-beta-n,interpolated,one_step,q2,0.40633842916311314,0.921266776501291,12000,0.19937833333333332,0.24921910210492632,0.49921849134915497
MDM-0.1,PG-beta-n,interpolated,one_step,q3,0.921302476481392,1.7307931034117758,12000,0.18807333333333334,0.475204130536616,0.6893505135536029
MDM-0.1,PG-beta-n,interpolated,one_step,q4,1.730846197129972,13.49999297531394,12000,0.24274666666666667,0.9611737364393,0.9803946840121585
MDM-0.1,PG-beta-n,interpolated,terminal,q1,5.58500699421316e-06,0.4063188251793357,12000,0.24667666666666666,0.16444505167674447,0.40551825073200404
MDM-0.1,PG-beta-n,interpolated,terminal,q2,0.40633842916311314,0.921266776501291,12000,0.22255000000000003,0.29327239072963046,0.5415462960169061
MDM-0.1,PG-beta-n,interpolated,terminal,q3,0.921302476481392,1.7307931034117758,12000,0.21108500000000002,0.5239862741368597,0.7238689619930252
MDM-0.1,PG-beta-n,interpolated,terminal,q4,1.730846197129972,13.49999297531394,12000,0.28434333333333334,1.000083341923344,1.0000416700934736
MDM-0.1,PG-full,nearest_grid,one_step,q1,5.58500699421316e-06,0.4063188251793357,12000,0.20724833333333334,0.13335002270787952,0.3651712238223044
MDM-0.1,PG-full,nearest_grid,one_step,q2,0.40633842916311314,0.921266776501291,12000,0.19259666666666667,0.2676029218640422,0.517303510392151
MDM-0.1,PG-full,nearest_grid,one_step,q3,0.921302476481392,1.7307931034117758,12000,0.18863333333333338,0.4948456085375461,0.7034526341819655
MDM-0.1,PG-full,nearest_grid,one_step,q4,1.730846197129972,13.49999297531394,12000,0.2561816666666667,0.9731869470170186,0.9865023806443746
MDM-0.1,PG-full,nearest_grid,terminal,q1,5.58500699421316e-06,0.4063188251793357,12000,0.222115,0.20286698554033286,0.45040757713468016
MDM-0.1,PG-full,nearest_grid,terminal,q2,0.40633842916311314,0.921266776501291,12000,0.20281499999999997,0.34760290512912084,0.5895785826580888
MDM-0.1,PG-full,nearest_grid,terminal,q3,0.921302476481392,1.7307931034117758,12000,0.20548000000000002,0.5781252622509351,0.7603454887424105
MDM-0.1,PG-full,nearest_grid,terminal,q4,1.730846197129972,13.49999297531394,12000,0.284805,1.0148975215247902,1.0074212234834
MDM-0.1,PG-full,interpolated,one_step,q1,5.58500699421316e-06,0.4063188251793357,12000,0.20278000000000002,0.1297217598389506,0.36016907118595093
MDM-0.1,PG-full,interpolated,one_step,q2,0.40633842916311314,0.921266776501291,12000,0.19174333333333335,0.2632836317099252,0.5131117146488913
MDM-0.1,PG-full,interpolated,one_step,q3,0.921302476481392,1.7307931034117758,12000,0.19113999999999998,0.49725507352521164,0.7051631538340696
MDM-0.1,PG-full,interpolated,one_step,q4,1.730846197129972,13.49999297531394,12000,0.2530383333333333,0.97390556600549,0.9868665391052075
MDM-0.1,PG-full,interpolated,terminal,q1,5.58500699421316e-06,0.4063188251793357,12000,0.22858666666666666,0.21401618750422446,0.462618836088874
MDM-0.1,PG-full,interpolated,terminal,q2,0.40633842916311314,0.921266776501291,12000,0.21061166666666667,0.35934651159485687,0.5994551789707525
MDM-0.1,PG-full,interpolated,terminal,q3,0.921302476481392,1.7307931034117758,12000,0.2129833333333333,0.5966912289063764,0.7724579140033303
MDM-0.1,PG-full,interpolated,terminal,q4,1.730846197129972,13.49999297531394,12000,0.296105,1.028968666826299,1.0143809278699492
WMLE,PG-beta,nearest_grid,one_step,q1,9.769962616701378e-15,0.4139627416428526,12000,0.1583683333333334,0.3018826454200408,0.5494384819249929
