estimator,family,mapping,n_samples,n_fixed_point,n_cycle,n_max_iteration,n_fallback,n_invalid_terminal,n_no_supported_curve,stable_or_fixed_point,n_clipped_samples,n_clip_events
MDM-0.1,PG-beta,nearest_grid,48000,48000,0,0,0,0,0,48000,0,0
MDM-0.1,PG-beta,interpolated,48000,48000,0,0,0,0,0,48000,18281,30767
MDM-0.1,PG-beta-n,nearest_grid,48000,48000,0,0,0,0,0,48000,0,0
MDM-0.1,PG-beta-n,interpolated,48000,48000,0,0,0,0,0,48000,18507,32656
MDM-0.1,PG-full,nearest_grid,48000,47316,684,0,0,0,0,47316,0,0
MDM-0.1,PG-full,interpolated,48000,47752,243,5,0,0,0,47752,37639,93062
WMLE,PG-beta,nearest_grid,48000,47999,0,0,1,0,0,47999,0,0
WMLE,PG-beta,interpolated,48000,47999,0,0,1,0,0,47999,21463,35133
WMLE,PG-beta-n,nearest_grid,48000,47999,0,0,1,0,0,47999,0,0
WMLE,PG-beta-n,interpolated,48000,47996,0,3,1,0,0,47996,21819,37021
WMLE,PG-full,nearest_grid,48000,47470,529,0,1,0,0,47470,0,0
WMLE,PG-full,interpolated,48000,47769,216,14,1,0,0,47769,44026,123431
