estimator,family,mapping,variant,true_beta,n,PG_J1,Default_J1,J1_diff
MDM-0.1,PG-beta,nearest_grid,one_step,1.5,6000,0.533269131397825,0.5476987191772456,-0.014429587779420605
MDM-0.1,PG-beta,nearest_grid,one_step,2.0,6000,0.5641993834798615,0.5204978344244865,0.043701549055375044
MDM-0.1,PG-beta,nearest_grid,one_step,2.5,6000,0.6001317799785338,0.5318700939484555,0.06826168603007832
MDM-0.1,PG-beta,nearest_grid,one_step,3.0,6000,0.6497366776768949,0.5723656222089817,0.07737105546791323
MDM-0.1,PG-beta,nearest_grid,one_step,3.5,6000,0.6820709641256191,0.6136100743597206,0.06846088976589848
MDM-0.1,PG-beta,nearest_grid,one_step,4.0,6000,0.7340405115571562,0.6811755452846217,0.052864966272534564
MDM-0.1,PG-beta,nearest_grid,one_step,4.5,6000,0.7664690294117151,0.7305429111984516,0.035926118213263525
MDM-0.1,PG-beta,nearest_grid,one_step,5.0,6000,0.8106747182380634,0.789769332128496,0.02090538610956738
MDM-0.1,PG-beta,nearest_grid,terminal,1.5,6000,0.5343659117537622,0.5476987191772456,-0.013332807423483306
MDM-0.1,PG-beta,nearest_grid,terminal,2.0,6000,0.5783295733929036,0.5204978344244865,0.05783173896841709
MDM-0.1,PG-beta,nearest_grid,terminal,2.5,6000,0.6221966477821949,0.5318700939484555,0.09032655383373933
MDM-0.1,PG-beta,nearest_grid,terminal,3.0,6000,0.6707874300694048,0.5723656222089817,0.0984218078604231
MDM-0.1,PG-beta,nearest_grid,terminal,3.5,6000,0.700875953227994,0.6136100743597206,0.08726587886827342
MDM-0.1,PG-beta,nearest_grid,terminal,4.0,6000,0.7469163468069632,0.6811755452846217,0.06574080152234152
MDM-0.1,PG-beta,nearest_grid,terminal,4.5,6000,0.7749616069721909,0.7305429111984516,0.04441869577373925
MDM-0.1,PG-beta,nearest_grid,terminal,5.0,6000,0.8149479937347566,0.789769332128496,0.02517866160626059
MDM-0.1,PG-beta,interpolated,one_step,1.5,6000,0.5333447600111798,0.5476987191772456,-0.014353959166065744
MDM-0.1,PG-beta,interpolated,one_step,2.0,6000,0.5622366852882955,0.5204978344244865,0.04173885086380902
MDM-0.1,PG-beta,interpolated,one_step,2.5,6000,0.5980833743610285,0.5318700939484555,0.06621328041257302
MDM-0.1,PG-beta,interpolated,one_step,3.0,6000,0.6452244014971681,0.5723656222089817,0.0728587792881864
MDM-0.1,PG-beta,interpolated,one_step,3.5,6000,0.6768271270862736,0.6136100743597206,0.06321705272655298
MDM-0.1,PG-beta,interpolated,one_step,4.0,6000,0.729240089786508,0.6811755452846217,0.04806454450188635
MDM-0.1,PG-beta,interpolated,one_step,4.5,6000,0.7627145013835842,0.7305429111984516,0.032171590185132604
MDM-0.1,PG-beta,interpolated,one_step,5.0,6000,0.8080314549185412,0.789769332128496,0.018262122790045243
MDM-0.1,PG-beta,interpolated,terminal,1.5,6000,0.5351502179804849,0.5476987191772456,-0.012548501196760653
MDM-0.1,PG-beta,interpolated,terminal,2.0,6000,0.5820540766215179,0.5204978344244865,0.061556242197031374
MDM-0.1,PG-beta,interpolated,terminal,2.5,6000,0.6269688632804955,0.5318700939484555,0.09509876933203998
MDM-0.1,PG-beta,interpolated,terminal,3.0,6000,0.6763367714243087,0.5723656222089817,0.10397114921532702
MDM-0.1,PG-beta,interpolated,terminal,3.5,6000,0.7040625784979028,0.6136100743597206,0.09045250413818218
MDM-0.1,PG-beta,interpolated,terminal,4.0,6000,0.7501237329490379,0.6811755452846217,0.06894818766441624
MDM-0.1,PG-beta,interpolated,terminal,4.5,6000,0.7776176210158021,0.7305429111984516,0.04707470981735051
MDM-0.1,PG-beta,interpolated,terminal,5.0,6000,0.8165615638091385,0.789769332128496,0.026792231680642487
MDM-0.1,PG-beta-n,nearest_grid,one_step,1.5,6000,0.5437495896064797,0.5476987191772456,-0.003949129570765875
MDM-0.1,PG-beta-n,nearest_grid,one_step,2.0,6000,0.5662165825802938,0.5204978344244865,0.04571874815580734
MDM-0.1,PG-beta-n,nearest_grid,one_step,2.5,6000,0.5999568444342268,0.5318700939484555,0.06808675048577129
MDM-0.1,PG-beta-n,nearest_grid,one_step,3.0,6000,0.6463409621554943,0.5723656222089817,0.07397533994651262
MDM-0.1,PG-beta-n,nearest_grid,one_step,3.5,6000,0.6766200387660031,0.6136100743597206,0.06300996440628248
MDM-0.1,PG-beta-n,nearest_grid,one_step,4.0,6000,0.7300991692197095,0.6811755452846217,0.04892362393508787
MDM-0.1,PG-beta-n,nearest_grid,one_step,4.5,6000,0.7647395308970064,0.7305429111984516,0.03419661969855481
MDM-0.1,PG-beta-n,nearest_grid,one_step,5.0,6000,0.8098454079090924,0.789769332128496,0.020076075780596447
MDM-0.1,PG-beta-n,nearest_grid,terminal,1.5,6000,0.5546385727677334,0.5476987191772456,0.006939853590487877
MDM-0.1,PG-beta-n,nearest_grid,terminal,2.0,6000,0.5940492309980074,0.5204978344244865,0.07355139657352094
MDM-0.1,PG-beta-n,nearest_grid,terminal,2.5,6000,0.6332596780183828,0.5318700939484555,0.10138958406992726
MDM-0.1,PG-beta-n,nearest_grid,terminal,3.0,6000,0.6834982809220864,0.5723656222089817,0.11113265871310474
MDM-0.1,PG-beta-n,nearest_grid,terminal,3.5,6000,0.7162687645665916,0.6136100743597206,0.10265869020687102
MDM-0.1,PG-beta-n,nearest_grid,terminal,4.0,6000,0.7630800931741649,0.6811755452846217,0.08190454788954327
MDM-0.1,PG-beta-n,nearest_grid,terminal,4.5,6000,0.7915078286960371,0.7305429111984516,0.06096491749758548
MDM-0.1,PG-beta-n,nearest_grid,terminal,5.0,6000,0.8259834307447732,0.789769332128496,0.036214098616277224
MDM-0.1,PG-beta-n,interpolated,one_step,1.5,6000,0.5434513345472879,0.5476987191772456,-0.004247384629957662
MDM-0.1,PG-beta-n,interpolated,one_step,2.0,6000,0.5653477144579723,0.5204978344244865,0.04484988003348578
MDM-0.1,PG-beta-n,interpolated,one_step,2.5,6000,0.5993580421830406,0.5318700939484555,0.06748794823458504
MDM-0.1,PG-beta-n,interpolated,one_step,3.0,6000,0.645218680806982,0.5723656222089817,0.07285305859800029
MDM-0.1,PG-beta-n,interpolated,one_step,3.5,6000,0.6751654646887638,0.6136100743597206,0.061555390329043225
MDM-0.1,PG-beta-n,interpolated,one_step,4.0,6000,0.728902597587611,0.6811755452846217,0.04772705230298935
MDM-0.1,PG-beta-n,interpolated,one_step,4.5,6000,0.7632879370834006,0.7305429111984516,0.032745025884948986
MDM-0.1,PG-beta-n,interpolated,one_step,5.0,6000,0.808758356541216,0.789769332128496,0.01898902441271999
MDM-0.1,PG-beta-n,interpolated,terminal,1.5,6000,0.5530028129405253,0.5476987191772456,0.0053040937632797824
MDM-0.1,PG-beta-n,interpolated,terminal,2.0,6000,0.5952861775920932,0.5204978344244865,0.07478834316760674
MDM-0.1,PG-beta-n,interpolated,terminal,2.5,6000,0.6365062808251568,0.5318700939484555,0.10463618687670129
MDM-0.1,PG-beta-n,interpolated,terminal,3.0,6000,0.6887892196734167,0.5723656222089817,0.11642359746443498
MDM-0.1,PG-beta-n,interpolated,terminal,3.5,6000,0.7205785801209559,0.6136100743597206,0.10696850576123529
MDM-0.1,PG-beta-n,interpolated,terminal,4.0,6000,0.7665463833150225,0.6811755452846217,0.0853708380304008
MDM-0.1,PG-beta-n,interpolated,terminal,4.5,6000,0.7945071930924282,0.7305429111984516,0.06396428189397663
MDM-0.1,PG-beta-n,interpolated,terminal,5.0,6000,0.8281044681285974,0.789769332128496,0.03833513600010141
MDM-0.1,PG-full,nearest_grid,one_step,1.5,6000,0.5637297626787386,0.5476987191772456,0.016031043501493092
MDM-0.1,PG-full,nearest_grid,one_step,2.0,6000,0.586002230855222,0.5204978344244865,0.06550439643073547
MDM-0.1,PG-full,nearest_grid,one_step,2.5,6000,0.6114354890551515,0.5318700939484555,0.07956539510669602
MDM-0.1,PG-full,nearest_grid,one_step,3.0,6000,0.6548125289443683,0.5723656222089817,0.08244690673538657
