estimator,family,mapping,variant,J1,failure_rate,n_samples,J1_n7,J1_n10,J1_n15,J1_n20
MDM-0.1,PG-beta,nearest_grid,one_step,0.6739545013414948,0.0,48000,0.8001954783471836,0.7077865061193754,0.6123792370372438,0.5482479436783906
MDM-0.1,PG-beta,nearest_grid,terminal,0.6865596590673766,0.0,48000,0.8155199968877003,0.7216871406683779,0.6237819353427674,0.5571782162334303
MDM-0.1,PG-beta,interpolated,one_step,0.6707383325075512,0.0,48000,0.7978758865440744,0.7045749430779918,0.6086130454331423,0.5441672748032438
MDM-0.1,PG-beta,interpolated,terminal,0.689705169710163,0.0,48000,0.8214292859847366,0.7257428838891351,0.6248727077665852,0.5575465704307063
MDM-0.1,PG-beta-n,nearest_grid,one_step,0.6731925149718246,0.0,48000,0.7923566146201678,0.7124115905022346,0.6125456494985393,0.5497101028019379
MDM-0.1,PG-beta-n,nearest_grid,terminal,0.7011393939084982,0.0,48000,0.8278239091678761,0.7500753258613051,0.6307760351818547,0.5662172490712708
MDM-0.1,PG-beta-n,interpolated,one_step,0.6721551676981397,0.0,48000,0.7920564960143468,0.7088975559118694,0.6130821275003385,0.5490094217193074
MDM-0.1,PG-beta-n,interpolated,terminal,0.7038797941528402,0.0,48000,0.8303578770042985,0.750173346268286,0.636266587496202,0.5698224589712771
MDM-0.1,PG-full,nearest_grid,one_step,0.6835542224517537,0.0,48000,0.8000594634865396,0.7229381111000583,0.626932266901011,0.5596487963442396
MDM-0.1,PG-full,nearest_grid,terminal,0.7320335843465754,0.0,48000,0.8549940135100722,0.7664817965989454,0.6778620093613837,0.6045549297244359
MDM-0.1,PG-full,interpolated,one_step,0.6826723282585097,0.0,48000,0.8031239592949249,0.7202480058987403,0.624193925004157,0.5574788705169142
MDM-0.1,PG-full,interpolated,terminal,0.7414550888003528,0.0,48000,0.8636709723645745,0.7800104518158474,0.686576497321352,0.6109758217070198
WMLE,PG-beta,nearest_grid,one_step,0.652977998320305,0.0,48000,0.796057714775616,0.68365438619344,0.5806676444094471,0.5169670655682502
WMLE,PG-beta,nearest_grid,terminal,0.6897916543344086,0.0,48000,0.8214060526955074,0.7263298668353898,0.6248442318056773,0.5572762444917638
WMLE,PG-beta,interpolated,one_step,0.6506962283775033,0.0,48000,0.7922323930475956,0.6821122989455437,0.5789919811736911,0.515248735339254
WMLE,PG-beta,interpolated,terminal,0.6909899358461675,0.0,48000,0.82391010219866,0.7275416625569647,0.6254170383769189,0.5572945061719592
WMLE,PG-beta-n,nearest_grid,one_step,0.6573192550849525,0.0,48000,0.7906972059542421,0.692770972722675,0.5888400176477904,0.5257453317789238
WMLE,PG-beta-n,nearest_grid,terminal,0.7067759751199384,0.0,48000,0.8351639093233852,0.7574118210408707,0.634690560127889,0.5693202849211837
WMLE,PG-beta-n,interpolated,one_step,0.6556994948864507,0.0,48000,0.7910748800740532,0.6888431573241712,0.5867164677930664,0.524620563380148
WMLE,PG-beta-n,interpolated,terminal,0.7076295512038412,0.0,48000,0.8378932055605218,0.7544871319100329,0.6372067376267779,0.5706225059779215
WMLE,PG-full,nearest_grid,one_step,0.6940081213490557,0.0,48000,0.8233058875259608,0.7351032715401448,0.63036501474418,0.5576913428738323
WMLE,PG-full,nearest_grid,terminal,0.7606451745279578,0.0,48000,0.8859183503085073,0.8012587779900529,0.7032312378033824,0.6268358633555774
WMLE,PG-full,interpolated,one_step,0.6942872456106091,0.0,48000,0.8262046077464803,0.7346900457412618,0.6292636826046387,0.556581367144374
WMLE,PG-full,interpolated,terminal,0.766859865319035,0.0,48000,0.8910664429294389,0.8116864603383088,0.7097309687704217,0.6290817502560833
