beta,eta,gamma,gamma_over_eta,n,repeat_id,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status
2.5,1.0,0.1,0.1,7,0,3.9792627625912704,1.0244530460534795,0.0,0.2724938264188943,True,8.772799978032708,success
2.5,1.0,0.1,0.1,7,1,0,0,0,0,False,144.3042999599129,failure
2.5,1.0,0.1,0.1,7,2,0,0,0,0,False,128.42169986106455,failure
2.5,1.0,0.1,0.1,7,3,0,0,0,0,False,123.39009996503592,failure
2.5,1.0,0.1,0.1,7,4,4.896521084540374,1.4605350529823022,0.0,0.5662121545694434,True,8.522199932485819,success
2.5,1.0,0.1,0.1,7,5,2.7319395688226003,1.2409922195588277,0.0,0.772419303923361,True,9.344400139525533,success
2.5,1.0,0.1,0.1,7,6,0,0,0,0,False,120.9328998811543,failure
2.5,1.0,0.1,0.1,7,7,0,0,0,0,False,201.00519992411137,failure
2.5,1.0,0.1,0.1,7,8,1.9635472392813278,0.5742874996003475,0.09467852534137902,0.7790051785852071,True,9.174600010737777,success
2.5,1.0,0.1,0.1,7,9,5.599669530040908,0.7410516967467706,0.0,0.8572492050825082,True,8.628700161352754,success
