track,method,median_J1,J1_rank,median_x095_rmse,quantile_rank,paper_role
main_holdout,Direct-MLP,0.44005314351509045,1,0.23255649663511713,2,research
main_holdout,LSE,0.9072240166769646,5,0.2641865793170272,5,external_reference
main_holdout,MDM-Default,0.6324206577451446,3,0.2586858125769042,4,core
main_holdout,MDM-Vector-MLP,0.5473719314284504,2,0.24937296431347014,3,core
main_holdout,WMLE,0.8378983854596286,4,0.2324581992848981,1,external_reference
param_interp,Direct-MLP,0.3298872402324637,1,0.16034810801183907,1,research
param_interp,LSE,0.8661315520364194,5,0.2027115466032558,5,external_reference
param_interp,MDM-Default,0.6246877684166015,3,0.2011627244213771,4,core
param_interp,MDM-Vector-MLP,0.5453958169938843,2,0.1995464273710531,3,core
param_interp,WMLE,0.73559165178221,4,0.1951717938789229,2,external_reference
n_interp,Direct-MLP,0.36556419898845566,1,0.17641498590921845,1,research
n_interp,LSE,0.7708883993558263,5,0.20232701844264925,5,external_reference
n_interp,MDM-Default,0.5496042384242688,3,0.1992911754312426,3,core
n_interp,MDM-Vector-MLP,0.4530355117040398,2,0.19968402747671946,4,core
n_interp,WMLE,0.7615984222071903,4,0.19671465963488366,2,external_reference
extrap_diag,Direct-MLP,0.3929440724798768,1,0.2620098193993662,2,research
extrap_diag,LSE,0.8355146458469577,5,0.29287541994272426,5,external_reference
extrap_diag,MDM-Default,0.6218968129384727,3,0.28944940035014344,4,core
extrap_diag,MDM-Vector-MLP,0.5259252121473142,2,0.28375235992074216,3,core
extrap_diag,WMLE,0.7331754229141724,4,0.2609645286754772,1,external_reference
