train_n,method,model_id,n_repeats,n_failed,failure_rate,mean_D,median_D,std_D,mean_support_set_violation_rate,n_support_set_unknown,mean_param_dist_beta,mean_param_dist_eta,win_rate_vs_default,win_rate_vs_l2,tie_rate_vs_default,tie_rate_vs_l2
7,nn,fold_0_seed_2026,500,0,0.0,0.21033737211195444,0.19161161416236608,0.0976775831359759,0.54,0,0.45417600778828376,0.35509779532690916,0.4,0.4,0.136,0.136
7,nn,fold_0_seed_3407,500,0,0.0,0.21864543110819215,0.19862713035711574,0.10219294850712558,0.88,0,0.5506728089364363,0.5024978688580284,0.404,0.404,0.09,0.09
7,nn,fold_0_seed_42,500,0,0.0,0.22713817657846375,0.21203506974000982,0.10632152225742604,0.908,0,0.6046259777534975,0.5525062805442855,0.174,0.174,0.032,0.032
7,nn,fold_1_seed_2026,500,0,0.0,0.22464657995040826,0.2054490357599989,0.10540236543176056,0.902,0,0.5870049487339011,0.5456669108510053,0.324,0.324,0.038,0.038
7,nn,fold_1_seed_3407,500,0,0.0,0.21250443745561426,0.19323156619966164,0.10071668073176891,0.836,0,0.5196841623151778,0.4660011649224114,0.038,0.038,0.834,0.834
7,nn,fold_1_seed_42,500,0,0.0,0.21848842629332427,0.19767041381426953,0.10341345806754028,0.908,0,0.5745112457488947,0.514610538666607,0.246,0.246,0.046,0.046
7,nn,fold_2_seed_2026,500,0,0.0,0.23076973453007293,0.2127659574468085,0.10597129706307865,0.908,0,0.6093230871913897,0.5649452893543913,0.158,0.158,0.032,0.032
7,nn,fold_2_seed_3407,500,0,0.0,0.2191853527079045,0.19753303034116654,0.10488284464981079,0.904,0,0.5732093937940242,0.5217773673024901,0.204,0.204,0.198,0.198
7,nn,fold_2_seed_42,500,0,0.0,0.2144041037718002,0.19328907534646403,0.10222976383491476,0.83,0,0.502709009476766,0.46408899315161906,0.512,0.512,0.046,0.046
7,nn,fold_3_seed_2026,500,0,0.0,0.22041941083961353,0.2024225901497555,0.09864741656542923,0.894,0,0.572329284904198,0.525772280534278,0.302,0.302,0.03,0.03
7,nn,fold_3_seed_3407,500,0,0.0,0.22847131129080317,0.21261222904814975,0.10323876599091805,0.908,0,0.6016850232853501,0.5503938227032313,0.186,0.186,0.032,0.032
7,nn,fold_3_seed_42,500,0,0.0,0.22599456597475132,0.20609724338711283,0.10459836478291087,0.908,0,0.5952982615155336,0.5507018331165525,0.182,0.182,0.048,0.048
7,nn,fold_4_seed_2026,500,0,0.0,0.2180508013009996,0.1995931685810925,0.10209909426864112,0.908,0,0.5875356001409213,0.5231122520863357,0.23,0.23,0.104,0.104
7,nn,fold_4_seed_3407,500,0,0.0,0.2259901413690977,0.21155522097320728,0.10516450710698182,0.908,0,0.6061290724272413,0.550990586821661,0.196,0.196,0.032,0.032
7,nn,fold_4_seed_42,500,0,0.0,0.22564125964284268,0.20933406461199539,0.10461447807127738,0.908,0,0.6031555309766673,0.5484874122866904,0.188,0.188,0.032,0.032
10,nn,fold_0_seed_2026,500,0,0.0,0.18224368576575617,0.16774466846430391,0.08001858650667831,0.534,0,0.3945038698530672,0.3070777907954196,0.388,0.388,0.118,0.118
10,nn,fold_0_seed_3407,500,0,0.0,0.1878684164426589,0.17257333207021036,0.08096025059417991,0.9,0,0.5344770195870194,0.4819266711258947,0.342,0.342,0.044,0.044
10,nn,fold_0_seed_42,500,0,0.0,0.189765117695184,0.1727130562242279,0.08198897923332686,0.904,0,0.5678680154314225,0.5081221608401102,0.218,0.218,0.022,0.022
10,nn,fold_1_seed_2026,500,0,0.0,0.18960120163726685,0.17593310059751657,0.08148394506709399,0.902,0,0.5618189314029012,0.5080385736724377,0.29,0.29,0.02,0.02
10,nn,fold_1_seed_3407,500,0,0.0,0.18184946445297193,0.16755791112656918,0.08072432801170511,0.872,0,0.4922711948473816,0.4411693954162821,0.068,0.068,0.73,0.73
10,nn,fold_1_seed_42,500,0,0.0,0.18587898011349943,0.1707558513421626,0.08172306547761635,0.904,0,0.5409489509277084,0.4817132867560282,0.278,0.278,0.028,0.028
10,nn,fold_2_seed_2026,500,0,0.0,0.19301632004190383,0.17845784194930753,0.08249188618251738,0.904,0,0.5765006114043468,0.5199898097875155,0.21,0.21,0.02,0.02
10,nn,fold_2_seed_3407,500,0,0.0,0.18549392370786016,0.16968761038879174,0.0817594016530907,0.904,0,0.5394364104596013,0.48636171897602376,0.258,0.258,0.126,0.126
10,nn,fold_2_seed_42,500,0,0.0,0.18528012683788983,0.1715366182895116,0.08141553031172673,0.878,0,0.48075963931515936,0.4454676793965696,0.432,0.432,0.024,0.024
10,nn,fold_3_seed_2026,500,0,0.0,0.1896729076923433,0.17468333735314373,0.08065808498481114,0.904,0,0.5519501185948492,0.5005226636397136,0.28,0.28,0.022,0.022
10,nn,fold_3_seed_3407,500,0,0.0,0.19139353707669354,0.17739699929122418,0.08051658006587212,0.904,0,0.5735143617842312,0.5095756737572797,0.214,0.214,0.022,0.022
10,nn,fold_3_seed_42,500,0,0.0,0.19033210652000507,0.1766259915587427,0.08138520642643128,0.904,0,0.5661233797424977,0.5109562469944451,0.224,0.224,0.03,0.03
10,nn,fold_4_seed_2026,500,0,0.0,0.1858044801794255,0.1704057719819808,0.0819439323945791,0.904,0,0.5526311867360594,0.4894896843414789,0.234,0.234,0.066,0.066
10,nn,fold_4_seed_3407,500,0,0.0,0.18958762479478805,0.17574360792312835,0.081930332385863,0.904,0,0.5699673182298293,0.5066429261541286,0.234,0.234,0.022,0.022
