beta,eta,gamma,gamma_over_eta,n,repeat_id,delta,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status
5.0,1.0,0.5,0.5,7,0,0.0,1.0999962290700636,0.23715634578837838,1.2593625535327388,0.9883884761588883,True,109.27720018662512,success
5.0,1.0,0.5,0.5,7,0,0.1,1.084891441025273,0.2352553655170209,1.2607434951263512,0.9885047574811079,True,111.39669991098344,success
5.0,1.0,0.5,0.5,7,0,0.2,1.0717329667677027,0.23358435724460763,1.2619403669689866,0.9885041403939429,True,109.38799986615777,success
5.0,1.0,0.5,0.5,7,0,0.3,1.0599676623850816,0.2320745184778039,1.2630066195302485,0.9884112918522509,True,113.66680008359253,success
5.0,1.0,0.5,0.5,7,1,0.0,8.641531862636745,1.5041718122703505,0.0,0.8954281233198588,True,88.72579992748797,success
5.0,1.0,0.5,0.5,7,1,0.1,3.7192520118175025,0.6925415442294043,0.8001675568683091,0.8053456408933449,True,109.35650020837784,success
5.0,1.0,0.5,0.5,7,1,0.2,3.042438069722787,0.554986323088282,0.9275032101982519,0.6515516226820699,True,87.34119986183941,success
5.0,1.0,0.5,0.5,7,1,0.3,2.826185718835047,0.46988376862321257,0.9992139677453891,0.2176758828415748,True,96.89559997059405,success
5.0,1.0,0.5,0.5,7,2,0.0,5.933565505742937,1.2745376923515594,0.20184615849783105,0.9287399467777893,True,98.14309980720282,success
5.0,1.0,0.5,0.5,7,2,0.1,2.1536595759967234,0.554283097276027,0.9045380919352876,0.9355517439222327,True,105.55969993583858,success
5.0,1.0,0.5,0.5,7,2,0.2,1.8235737793595213,0.4936981263650459,0.960304195891667,0.9311309088926215,True,101.48379998281598,success
5.0,1.0,0.5,0.5,7,2,0.3,1.6572879356941117,0.4627812263735131,0.9877573367885633,0.9257283406442011,True,96.34540020488203,success
5.0,1.0,0.5,0.5,7,3,0.0,1.2018687278816533,0.2617342891549315,1.1485788852528571,0.9226389209461098,True,104.94630015455186,success
5.0,1.0,0.5,0.5,7,3,0.1,1.0690759783765265,0.24469046275027848,1.1610205917898329,0.9266714908772196,True,125.93359989114106,success
5.0,1.0,0.5,0.5,7,3,0.2,1.0059247593129377,0.23692455251306255,1.1664237356957872,0.9282684145111364,True,122.35600012354553,success
5.0,1.0,0.5,0.5,7,3,0.3,0.9645653123635662,0.23196765823855323,1.169765729642463,0.929146054645239,True,105.44519987888634,success
5.0,1.0,0.5,0.5,7,4,0.0,12.963848928024472,1.6054278919697604,0.0,0.9516684611354506,True,84.72910011187196,success
5.0,1.0,0.5,0.5,7,4,0.1,2.277711807413326,0.3669536991509718,1.228791837804773,0.9503373880409164,True,107.01099992729723,success
5.0,1.0,0.5,0.5,7,4,0.2,1.9055187461130008,0.32604079909292505,1.2675858164365463,0.942232669818077,True,105.30570009723306,success
5.0,1.0,0.5,0.5,7,4,0.3,1.7270008106092858,0.30599554044449084,1.2860117184980133,0.9336087262645555,True,119.13909995928407,success
5.0,1.0,0.5,0.5,7,5,0.0,6.12102523232543,1.3725940804986834,0.0,0.9356800955897899,True,83.50330009125173,success
5.0,1.0,0.5,0.5,7,5,0.1,3.542326547092254,0.8575038159884546,0.5074904976429894,0.8848766664706644,True,101.85290011577308,success
5.0,1.0,0.5,0.5,7,5,0.2,2.830051180124015,0.7001152434186314,0.6564283197730688,0.8104026226065278,True,88.06470013223588,success
5.0,1.0,0.5,0.5,7,5,0.3,2.547506982812052,0.6176074180443757,0.7290985494254839,0.6852973173691399,True,89.1053001396358,success
5.0,1.0,0.5,0.5,7,6,0.0,10.004093217559731,1.4673242284045762,0.0,0.9659734425825719,True,54.947299882769585,success
5.0,1.0,0.5,0.5,7,6,0.1,3.425072271699923,0.5804339198155233,0.8806107590925574,0.9097045188087398,True,99.33119989000261,success
5.0,1.0,0.5,0.5,7,6,0.2,2.7090232213668224,0.4772034523632272,0.9792072391946932,0.8562322842587525,True,88.43320002779365,success
5.0,1.0,0.5,0.5,7,6,0.3,2.4157827902556224,0.42616566902379577,1.0250798757330981,0.7817143505763523,True,82.84619986079633,success
5.0,1.0,0.5,0.5,7,7,0.0,1.435595094694967,0.27931567137747043,1.2787701117529482,0.9666025466047817,True,114.00699988007545,success
5.0,1.0,0.5,0.5,7,7,0.1,1.368535934730299,0.27013893094683217,1.2861395400294455,0.9676033429565085,True,106.8141998257488,success
5.0,1.0,0.5,0.5,7,7,0.2,1.3225689263538267,0.2636919513171783,1.2911598175553067,0.9674988003089819,True,111.04109999723732,success
5.0,1.0,0.5,0.5,7,7,0.3,1.2872778119502604,0.258587993191674,1.2950181151300508,0.9667381539477562,True,99.97140010818839,success
5.0,1.0,0.5,0.5,7,8,0.0,1.9128358545060262,0.2919143481553667,1.2278040437081548,0.9356405918691015,True,109.45230000652373,success
5.0,1.0,0.5,0.5,7,8,0.1,1.2720960602545743,0.22701240076370094,1.2850396767882613,0.9492587983239666,True,106.04269988834858,success
5.0,1.0,0.5,0.5,7,8,0.2,1.1460985872688711,0.21573644121269123,1.2945310646876858,0.9514435520699848,True,105.26270000264049,success
5.0,1.0,0.5,0.5,7,8,0.3,1.076448122929613,0.20985084193641626,1.2994251672931947,0.9522680291530855,True,109.1642000246793,success
5.0,1.0,0.5,0.5,7,9,0.0,7.2847612946915685,1.5055421700956728,0.0,0.9301227365374137,True,90.04929987713695,success
5.0,1.0,0.5,0.5,7,9,0.1,3.0208963340196933,0.704292470004554,0.7895143310886471,0.8990389558539111,True,93.66040001623333,success
5.0,1.0,0.5,0.5,7,9,0.2,2.4969026620291896,0.5970798468965999,0.8897314039403773,0.8589069514519228,True,89.05509999021888,success
5.0,1.0,0.5,0.5,7,9,0.3,2.2632742385799327,0.5398531486606778,0.9399660309534053,0.8000522769292027,True,88.86769996024668,success
