beta,eta,gamma,gamma_over_eta,n,repeat_id,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status
1.5,1.0,0.1,0.1,7,0,0,0,0,0,False,49.868700094521046,failure
1.5,1.0,0.1,0.1,7,1,2.0878756691693483,1.0927011040651577,0.0,0.800319163250356,True,2.4544999469071627,success
1.5,1.0,0.1,0.1,7,2,0,0,0,0,False,42.70440014079213,failure
1.5,1.0,0.1,0.1,7,3,0,0,0,0,False,51.26919993199408,failure
1.5,1.0,0.1,0.1,7,4,0,0,0,0,False,11.019800091162324,failure
1.5,1.0,0.1,0.1,7,5,1.953053842029758,0.9759300695623356,0.0,0.3739383280588443,True,3.235100070014596,success
1.5,1.0,0.1,0.1,7,6,0,0,0,0,False,7.124099880456924,failure
1.5,1.0,0.1,0.1,7,7,0,0,0,0,False,48.95149986259639,failure
1.5,1.0,0.1,0.1,7,8,0,0,0,0,False,42.38580004312098,failure
1.5,1.0,0.1,0.1,7,9,0,0,0,0,False,50.326199969276786,failure
1.5,1.0,0.1,0.1,10,0,2.4955364170919063,1.5233240362907292,0.0,0.6491660122340013,True,2.8144000098109245,success
1.5,1.0,0.1,0.1,10,1,0,0,0,0,False,38.56289992108941,failure
1.5,1.0,0.1,0.1,10,2,0,0,0,0,False,7.139299996197224,failure
1.5,1.0,0.1,0.1,10,3,1.7070179609691305,1.0322306227660891,0.20181425829363928,0.8600580128022275,True,3.068899968639016,success
1.5,1.0,0.1,0.1,10,4,0,0,0,0,False,105.68529996089637,failure
1.5,1.0,0.1,0.1,10,5,0,0,0,0,False,21.81669999845326,failure
1.5,1.0,0.1,0.1,10,6,1.2426500052753564,0.7918276516805043,0.09653951247004952,0.687158155723159,True,10.539900045841932,success
1.5,1.0,0.1,0.1,10,7,1.8630855178282644,0.6604544152914076,0.10140014313172802,0.8696398266996631,True,9.65699995867908,success
1.5,1.0,0.1,0.1,10,8,0,0,0,0,False,24.25220003351569,failure
1.5,1.0,0.1,0.1,10,9,0,0,0,0,False,24.290299974381924,failure
1.5,1.0,0.1,0.1,20,0,1.359093205246144,0.818384209814196,0.18481258227285857,0.8445908462307467,True,10.160899953916669,success
1.5,1.0,0.1,0.1,20,1,1.4469114404987056,1.1933691723363942,0.09258198538396065,0.8943599755574874,True,8.425000123679638,success
1.5,1.0,0.1,0.1,20,2,1.7796077388694163,1.0382069234938733,0.09100727570891509,0.9389062902634377,True,8.52530007250607,success
1.5,1.0,0.1,0.1,20,3,2.0986942451169375,1.0840310749998032,0.0,0.9067680806679161,True,6.984899984672666,success
1.5,1.0,0.1,0.1,20,4,1.2276963578579774,0.984407853344424,0.14116924480467236,0.8564429699525258,True,7.8223999589681625,success
1.5,1.0,0.1,0.1,20,5,2.1152883185235383,1.0785919530880843,0.2945514120039276,0.9498735543403133,True,7.43719981983304,success
1.5,1.0,0.1,0.1,20,6,1.4232156380139438,0.8529567135702268,0.2717808344746607,0.8947189821661148,True,7.940999930724502,success
1.5,1.0,0.1,0.1,20,7,1.3465784682840902,1.0166897807996613,0.09486741589083288,0.8891018982770743,True,7.88659998215735,success
1.5,1.0,0.1,0.1,20,8,1.7607010284277105,1.0446194831615576,0.1262395827354957,0.8919749944860381,True,10.231399908661842,success
1.5,1.0,0.1,0.1,20,9,1.1695096671765954,0.5910578915791412,0.1412947121254819,0.835550192564664,True,9.065299993380904,success
2.0,1.0,0.1,0.1,7,0,0,0,0,0,False,28.59360002912581,failure
2.0,1.0,0.1,0.1,7,1,2.6304219777075426,1.134922787013739,0.4145571990152366,0.6742225124517085,True,9.589900029823184,success
2.0,1.0,0.1,0.1,7,2,2.3932477765405658,0.9399619119395779,0.20177693109193978,0.8350617481647569,True,11.783299967646599,success
2.0,1.0,0.1,0.1,7,3,1.9353209795966944,0.802583842983235,0.5080929711696807,0.8148520210300343,True,11.368300067260861,success
2.0,1.0,0.1,0.1,7,4,0,0,0,0,False,156.93629998713732,failure
2.0,1.0,0.1,0.1,7,5,1.5511274939413526,0.6236385383997535,0.1442467451735081,0.7064953364145843,True,9.496900020167232,success
2.0,1.0,0.1,0.1,7,6,0,0,0,0,False,138.8509999960661,failure
