model,category,P_delta_0,P_delta_0.5,P_extreme,n_samples
Normalized-RAW-seed42,pooled,0.20771111111111112,0.003088888888888889,0.4049111111111111,45000
Normalized-RAW-seed42,n=7,0.24926666666666666,0.0018666666666666666,0.46153333333333335,15000
Normalized-RAW-seed42,n=10,0.16213333333333332,0.0024,0.3986,15000
Normalized-RAW-seed42,n=20,0.21173333333333333,0.005,0.3546,15000
Normalized-RAW-seed2026,pooled,0.2068222222222222,0.006422222222222222,0.4030888888888889,45000
Normalized-RAW-seed2026,n=7,0.21066666666666667,0.0005333333333333334,0.4100666666666667,15000
Normalized-RAW-seed2026,n=10,0.22346666666666667,0.0056,0.41886666666666666,15000
Normalized-RAW-seed2026,n=20,0.18633333333333332,0.013133333333333334,0.38033333333333336,15000
Normalized-RAW-seed3407,pooled,0.19515555555555555,0.002288888888888889,0.3893333333333333,45000
Normalized-RAW-seed3407,n=7,0.19706666666666667,0.0012666666666666666,0.3545333333333333,15000
Normalized-RAW-seed3407,n=10,0.2088,0.002266666666666667,0.43493333333333334,15000
Normalized-RAW-seed3407,n=20,0.1796,0.0033333333333333335,0.37853333333333333,15000
