delta,observed_loss,predicted_loss,selected_delta,oracle_delta,n,beta,gamma_over_eta,repeat_id,selection_rule
0.0,0.6021038932845327,0.701488177467942,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.02,0.606005585330515,0.688633010856974,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.04,0.6097169213037696,0.6654101768220443,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.06,0.6132575837152612,0.666699396064691,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.08,0.6166439095599767,0.7083961732971737,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.1,0.6198901383176754,0.6475021102091854,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.12,0.6230085211830286,0.7275679117764864,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.14,0.626009975579025,0.7166292265318319,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.16,0.6289034574280205,0.698522131182594,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.18,0.6316965578079766,0.734132817697654,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.2,0.6343985098789703,0.7520799037774046,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.22,0.6370143896543636,0.6737747328637016,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.24,0.6395500289535669,0.786205702474957,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.26,0.6420111433773114,0.8339886219091628,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.28,0.644402316409942,0.7149251674658545,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.3,0.6467278297439918,0.6879553301121252,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.32,0.6489915751686081,0.7909912426063344,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.34,0.651197095704989,0.7564335624182603,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.36,0.6533476393919108,0.8080665703355596,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.38,0.6554461848151735,0.8783893370735582,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.4,0.6574954692045974,0.7022575327684937,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.42,0.659498018285915,0.8002722061996338,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.44,0.6614561419984696,0.8093897228743101,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.46,0.6633720066255081,0.9140620194525996,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.48,0.6652468946072576,0.8538542164543952,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
0.5,0.6670843331701862,0.8732449335520653,0.1,0.0,7,2.0,0.75,79,closest to median regret among seed-42 test predictions
