method,quantile,rmse,minimum,maximum
Default,x0.90,0.1607249115503732,0.1607249115503732,0.1607249115503732
Default,x0.95,0.2142348831869535,0.2142348831869535,0.2142348831869535
Default,x0.99,0.3776808422305834,0.3776808422305834,0.3776808422305834
Dimensional-RAW,x0.90,0.16152656415329977,0.1613618339953804,0.1616247773570325
Dimensional-RAW,x0.95,0.213075819726723,0.2129260029141982,0.213213443514679
Dimensional-RAW,x0.99,0.3647147830292194,0.3630242661923294,0.3659525712016243
L6,x0.90,0.1612617167341513,0.1612617167341513,0.1612617167341513
L6,x0.95,0.212335024666795,0.212335024666795,0.212335024666795
L6,x0.99,0.3575848512153361,0.3575848512153361,0.3575848512153361
LSE,x0.90,0.1594164415684983,0.1594164415684983,0.1594164415684983
LSE,x0.95,0.213325463993534,0.213325463993534,0.213325463993534
LSE,x0.99,0.3815138912918444,0.3815138912918444,0.3815138912918444
WMLE,x0.90,0.1546793323490279,0.1546793323490279,0.1546793323490279
WMLE,x0.95,0.1985605836051415,0.1985605836051415,0.1985605836051415
WMLE,x0.99,0.3296031083132306,0.3296031083132306,0.3296031083132306
