beta,method,J1,seed_min,seed_max
1.5,Dimensional-RAW,0.48733350121519664,0.4746244494767866,0.49755097529367953
1.5,Default,0.5476987191772456,0.5476987191772456,0.5476987191772456
1.5,L6,0.3974603153780582,0.39746031537805815,0.39746031537805815
2.0,Dimensional-RAW,0.4628504777556188,0.4597299892301869,0.4645123971874212
2.0,Default,0.5204978344244865,0.5204978344244865,0.5204978344244865
2.0,L6,0.40327940602602624,0.4032794060260262,0.4032794060260262
2.5,Dimensional-RAW,0.48296247766001255,0.4817745055366104,0.48366959359605466
2.5,Default,0.5318700939484555,0.5318700939484555,0.5318700939484555
2.5,L6,0.436575988144923,0.43657598814492304,0.43657598814492304
3.0,Dimensional-RAW,0.5105290936432026,0.5087610522710616,0.5130955091460084
3.0,Default,0.5723656222089817,0.5723656222089817,0.5723656222089817
3.0,L6,0.47085304158211755,0.47085304158211755,0.47085304158211755
3.5,Dimensional-RAW,0.5324824557704569,0.5307027523335851,0.5342762732404611
3.5,Default,0.6136100743597207,0.6136100743597207,0.6136100743597207
3.5,L6,0.4963108122099591,0.4963108122099591,0.4963108122099591
4.0,Dimensional-RAW,0.5740086397103297,0.5719994726508532,0.5770671325018836
4.0,Default,0.6811755452846217,0.6811755452846217,0.6811755452846217
4.0,L6,0.5373104816231123,0.5373104816231123,0.5373104816231123
4.5,Dimensional-RAW,0.603180117736369,0.5999096614816337,0.6069732214791808
4.5,Default,0.7305429111984516,0.7305429111984516,0.7305429111984516
4.5,L6,0.5595063462252573,0.5595063462252573,0.5595063462252573
5.0,Dimensional-RAW,0.6524814044078199,0.6467792732672276,0.6570444349198683
5.0,Default,0.789769332128496,0.789769332128496,0.789769332128496
5.0,L6,0.5982199497793134,0.5982199497793134,0.5982199497793134
