method,delta,parameter,beta,gamma_over_eta,n,n_repeats,within_cell_normalized_sd
No offset,0.0,beta,1.5,0.1,7,300,0.427896957072187
Default,0.1,beta,1.5,0.1,7,300,0.36607917899950815
No offset,0.0,beta,1.5,0.1,10,300,0.3529726909564467
Default,0.1,beta,1.5,0.1,10,300,0.3080988284363899
No offset,0.0,beta,1.5,0.1,15,300,0.29152444799277005
Default,0.1,beta,1.5,0.1,15,300,0.26259718709958946
No offset,0.0,beta,1.5,0.1,20,300,0.2532063008835156
Default,0.1,beta,1.5,0.1,20,300,0.23614326898044327
No offset,0.0,beta,1.5,0.25,7,300,0.5810149122855536
Default,0.1,beta,1.5,0.25,7,300,0.44011260364102517
No offset,0.0,beta,1.5,0.25,10,300,0.46803998998639235
Default,0.1,beta,1.5,0.25,10,300,0.406800718372919
No offset,0.0,beta,1.5,0.25,15,300,0.362865498966972
Default,0.1,beta,1.5,0.25,15,300,0.3040667005263294
No offset,0.0,beta,1.5,0.25,20,300,0.3207269476261421
Default,0.1,beta,1.5,0.25,20,300,0.2713689802244335
No offset,0.0,beta,1.5,0.5,7,300,0.7772466343037567
Default,0.1,beta,1.5,0.5,7,300,0.57762685662752
No offset,0.0,beta,1.5,0.5,10,300,0.6437506359282281
Default,0.1,beta,1.5,0.5,10,300,0.42752722831941864
No offset,0.0,beta,1.5,0.5,15,300,0.47830348669329475
Default,0.1,beta,1.5,0.5,15,300,0.33867137198799385
No offset,0.0,beta,1.5,0.5,20,300,0.40202868411087495
Default,0.1,beta,1.5,0.5,20,300,0.2918874476809036
No offset,0.0,beta,1.5,0.75,7,300,1.120238074222992
Default,0.1,beta,1.5,0.75,7,300,0.7227830693391134
No offset,0.0,beta,1.5,0.75,10,300,0.8428834897808819
Default,0.1,beta,1.5,0.75,10,300,0.4216506579123149
No offset,0.0,beta,1.5,0.75,15,300,0.623000738053823
Default,0.1,beta,1.5,0.75,15,300,0.35011179432899836
No offset,0.0,beta,1.5,0.75,20,300,0.43963571702194676
Default,0.1,beta,1.5,0.75,20,300,0.29519516729396356
No offset,0.0,beta,1.5,1.0,7,300,1.1195247520864444
Default,0.1,beta,1.5,1.0,7,300,0.49445593867378046
No offset,0.0,beta,1.5,1.0,10,300,0.8938977848965189
Default,0.1,beta,1.5,1.0,10,300,0.4126588841132419
No offset,0.0,beta,1.5,1.0,15,300,0.7061297166098208
Default,0.1,beta,1.5,1.0,15,300,0.3510141758335197
No offset,0.0,beta,1.5,1.0,20,300,0.49411313240545934
Default,0.1,beta,1.5,1.0,20,300,0.2865066186865462
No offset,0.0,beta,2.0,0.1,7,300,0.4328141523512285
Default,0.1,beta,2.0,0.1,7,300,0.3108404816505795
No offset,0.0,beta,2.0,0.1,10,300,0.3783693323811291
Default,0.1,beta,2.0,0.1,10,300,0.3099239247305309
No offset,0.0,beta,2.0,0.1,15,300,0.28970211851083216
Default,0.1,beta,2.0,0.1,15,300,0.2462574802038325
No offset,0.0,beta,2.0,0.1,20,300,0.25897436705186594
Default,0.1,beta,2.0,0.1,20,300,0.22752524172325675
No offset,0.0,beta,2.0,0.25,7,300,0.5538370158397922
Default,0.1,beta,2.0,0.25,7,300,0.444158826044368
No offset,0.0,beta,2.0,0.25,10,300,0.4820033340648507
Default,0.1,beta,2.0,0.25,10,300,0.35008020185456507
No offset,0.0,beta,2.0,0.25,15,300,0.38756300671080945
Default,0.1,beta,2.0,0.25,15,300,0.2956278057111897
No offset,0.0,beta,2.0,0.25,20,300,0.34484887125030156
Default,0.1,beta,2.0,0.25,20,300,0.27359550906998614
No offset,0.0,beta,2.0,0.5,7,300,0.7449429947733474
Default,0.1,beta,2.0,0.5,7,300,0.5154773735678074
No offset,0.0,beta,2.0,0.5,10,300,0.6095267890264761
Default,0.1,beta,2.0,0.5,10,300,0.3661664048833231
No offset,0.0,beta,2.0,0.5,15,300,0.48890052800472583
