beta,gamma_over_eta,n,n_samples,rho_g0_l6_delta,rho_g0_gamma_hat_default_over_eta,rho_g0_gradient_at_true_gamma,rho_g0_local_gradient_slope_eta_scaled,rho_g0_sample_min_over_mean,rho_g0_lower_gap_over_mean,rho_g0_sample_cv,rho_default_gamma_l6_delta,l6_boundary_rate,default_boundary_rate
1.5,0.1,7.0,100,0.6167514108784815,-0.7257505125113456,0.9258805880588058,0.0849684968496849,-0.461098109810981,0.4214101410141013,-0.2887968796879688,-0.6111305165978113,0.11,0.32
1.5,0.1,10.0,100,0.63044082624585,-0.5526129778556089,0.6826522652265226,0.0579537953795379,-0.1823102310231023,0.2724272427242724,-0.5763696369636963,-0.5109340406523323,0.08,0.23
1.5,0.1,15.0,100,0.6249746439999486,-0.6367691645783695,0.7391779177917791,-0.0567896789678967,-0.2007920792079208,0.2767356735673567,-0.64020402040204,-0.6390625089415237,0.05,0.19
1.5,0.1,20.0,100,0.6546367568039942,-0.6830506078077722,0.6706870687068707,-0.1328172817281727,-0.3247164716471646,0.1595439543954395,-0.6127812781278127,-0.6037803143226598,0.06,0.26
1.5,1.0,7.0,100,0.4823470665282486,-0.3385658565856585,0.3749294929492948,-0.1279807980798079,0.1236843684368436,-0.0025922592259225,-0.5867506750675067,-0.770893624796042,0.0,0.0
1.5,1.0,10.0,100,0.1430974405719331,0.0352235223522352,0.1557515751575157,-0.244092409240924,0.4279267926792678,-0.1579717971797179,-0.7533873387338733,-0.7597375222143006,0.0,0.0
1.5,1.0,15.0,100,0.0140614205471923,-0.1169276927692769,-0.1165796579657965,-0.3805100510051004,0.4492049204920492,-0.2273147314731473,-0.7714131413141314,-0.8371261910994852,0.0,0.0
1.5,1.0,20.0,100,-0.0379400025011582,-0.0573177317731773,0.0575337533753375,-0.1924752475247524,0.4094929492949294,-0.1696609660966096,-0.6303870387038704,-0.7880077789916224,0.0,0.0
3.0,0.5,7.0,100,0.836005838456492,-0.628150699524878,0.8748874887488747,0.5044104410441044,-0.4235103510351035,0.3452985298529852,0.0295589558955895,-0.7844905595498414,0.0,0.02
3.0,0.5,10.0,100,0.8445005538466522,-0.542058205820582,0.7396219621962196,0.3009660966096609,-0.3303930393039303,0.2569456945694569,-0.2536333633363336,-0.8055160544249728,0.0,0.0
3.0,0.5,15.0,100,0.7719327059370904,-0.4875487548754875,0.7443384338433842,0.2704470447044704,-0.3848784878487848,0.0979897989798979,-0.0768556855685568,-0.8232250161219844,0.0,0.0
3.0,0.5,20.0,100,0.7570237361270268,-0.4864686468646864,0.6512691269126912,0.1392139213921392,-0.3157755775577557,0.0485328532853285,-0.2036723672367236,-0.8372602254298287,0.0,0.0
5.0,0.1,7.0,100,0.4207132276718978,-0.8006120799307133,0.99015901590159,0.8054485448544854,-0.7566516651665166,0.5895469546954696,0.5193039303930392,-0.2529324468722087,0.37,0.04
5.0,0.1,10.0,100,0.5716749461044895,-0.7455227888506067,0.991035103510351,0.7253885388538853,-0.6657785778577857,0.3635523552355235,0.3722532253225322,-0.4192900360667953,0.36,0.02
5.0,0.1,15.0,100,0.7005622267104823,-0.7762129080273847,0.9928832883288328,0.7393459345934592,-0.7114431443144313,0.4806240624062405,0.2872367236723672,-0.6400026311484601,0.16,0.04
5.0,0.1,20.0,100,0.6484125250653051,-0.8229441698062769,0.988106810681068,0.6663186318631863,-0.7674407440744074,0.4864206420642063,0.3509630963096309,-0.5377123691236009,0.23,0.03
5.0,1.0,7.0,100,0.8091898459497545,-0.8184338433843382,0.8228862886288628,0.7329132913291329,-0.806120612061206,0.5917911791179117,0.5714011401140113,-0.7834432413575575,0.0,0.0
5.0,1.0,10.0,100,0.8161868888816295,-0.642040204020402,0.7643804380438043,0.5822142214221422,-0.6132973297329734,0.3356255625562556,0.3463906390639063,-0.6330640712445359,0.0,0.0
5.0,1.0,15.0,100,0.8012807299061542,-0.6888328832883287,0.7757215721572156,0.5724812481248124,-0.7112871287128713,0.4054485448544854,0.4008160816081608,-0.8026540530122401,0.0,0.0
5.0,1.0,20.0,100,0.699330981121961,-0.3717731773177317,0.7283888388838883,0.3006900690069007,-0.2977497749774977,0.0473927392739273,-0.1362856285628562,-0.8090750914617606,0.0,0.0
