beta,gamma_over_eta,n,count,l6_effective_delta_count,l6_delta_entropy_nats,l5_l6_delta_match_rate,paper_l6_delta_match_rate,z_reference_l6_delta_match_rate
1.5,0.1,7,100,6.098405292140451,1.808027309483176,0.0,0.25,0.29
1.5,0.1,10,100,4.899124481764551,1.589056511961002,0.01,0.24,0.36
1.5,0.1,15,100,4.68014665078,1.5433294450753567,0.01,0.23,0.34
1.5,0.1,20,100,5.132848638484441,1.635660795219064,0.25,0.26,0.43
1.5,0.25,7,100,9.206708532277773,2.2199324066174446,0.01,0.24,0.27
1.5,0.25,10,100,7.291366789700048,1.986691016745879,0.01,0.2,0.25
1.5,0.25,15,100,5.466162180797685,1.6985767579031892,0.24,0.37,0.17
1.5,0.25,20,100,5.66354857735678,1.7340506528897517,0.32,0.22,0.24
1.5,0.5,7,100,5.651181715501235,1.7318646764749306,0.01,0.04,0.16
1.5,0.5,10,100,6.0825667241903325,1.805426765478148,0.02,0.17,0.16
1.5,0.5,15,100,5.374337292025952,1.6816352719055343,0.01,0.04,0.04
1.5,0.5,20,100,5.167223708277585,1.6423355439508642,0.36,0.07,0.09
1.5,0.75,7,100,7.688858577238075,2.0397723430129093,0.03,0.26,0.18
1.5,0.75,10,100,7.13609249131045,1.9651653564199525,0.01,0.09,0.13
1.5,0.75,15,100,5.810511617971584,1.7596686251575953,0.37,0.17,0.04
1.5,0.75,20,100,5.17700992388813,1.644227654836631,0.31,0.15,0.08
1.5,1.0,7,100,6.795264869800598,1.9162260269465077,0.01,0.09,0.22
1.5,1.0,10,100,6.299179651987608,1.840419410948691,0.01,0.26,0.21
1.5,1.0,15,100,6.264762719393948,1.834940713631424,0.02,0.2,0.04
1.5,1.0,20,100,5.083333015606186,1.625967151881608,0.38,0.19,0.18
2.0,0.1,7,100,4.1214802394127,1.4162123802461737,0.03,0.3,0.26
2.0,0.1,10,100,7.1493716095625,1.967024466069172,0.03,0.17,0.23
2.0,0.1,15,100,10.144476202006128,2.3169293407970994,0.02,0.14,0.12
2.0,0.1,20,100,8.561667539614346,2.1472949772111334,0.02,0.21,0.15
2.0,0.25,7,100,9.148193595114352,2.213556438498302,0.03,0.3,0.26
2.0,0.25,10,100,8.847187340081888,2.180099593826037,0.02,0.2,0.21
2.0,0.25,15,100,8.395467949971582,2.127692030485424,0.0,0.2,0.08
2.0,0.25,20,100,9.011290974295294,2.198478343742021,0.02,0.14,0.1
2.0,0.5,7,100,10.647183703619575,2.3652954162100666,0.03,0.09,0.21
2.0,0.5,10,100,9.831588590247726,2.2856005274346023,0.04,0.3,0.26
2.0,0.5,15,100,11.174799391732412,2.413661188815676,0.02,0.1,0.11
2.0,0.5,20,100,7.984265060977166,2.0774727374782738,0.01,0.15,0.12
2.0,0.75,7,100,10.068953690626126,2.309456797720014,0.02,0.33,0.17
2.0,0.75,10,100,10.001915849819008,2.3027766596258874,0.03,0.17,0.28
2.0,0.75,15,100,9.364604838379304,2.236937139424299,0.02,0.23,0.15
2.0,0.75,20,100,10.057113164703564,2.3082801617311,0.04,0.15,0.16
2.0,1.0,7,100,10.033177813230417,2.305897382624105,0.01,0.06,0.23
2.0,1.0,10,100,12.42398032749555,2.5196285024175364,0.03,0.27,0.27
2.0,1.0,15,100,8.350805642333802,2.122358018320304,0.01,0.41,0.15
2.0,1.0,20,100,9.214331105038202,2.220760000862457,0.01,0.28,0.18
2.5,0.1,7,100,6.258009480093644,1.8338621601214848,0.05,0.15,0.12
2.5,0.1,10,100,6.462864987640618,1.8660727160177832,0.05,0.07,0.12
2.5,0.1,15,100,7.146511750570506,1.9666243706069888,0.04,0.11,0.02
2.5,0.1,20,100,8.79657872959285,2.1743628651612545,0.1,0.12,0.05
2.5,0.25,7,100,7.078622217252327,1.9570792866851816,0.05,0.29,0.1
2.5,0.25,10,100,8.35618136309123,2.123001547993393,0.02,0.24,0.22
2.5,0.25,15,100,9.735287520713785,2.275757173130064,0.06,0.1,0.02
2.5,0.25,20,100,9.814755082654449,2.283886874045148,0.03,0.09,0.07
2.5,0.5,7,100,10.96930181415081,2.395100627243551,0.09,0.18,0.16
2.5,0.5,10,100,9.128828051568853,2.2114373239984846,0.04,0.25,0.27
2.5,0.5,15,100,11.14480308508698,2.4109732982283543,0.03,0.2,0.13
2.5,0.5,20,100,9.391467785138014,2.2398015946506877,0.01,0.3,0.12
2.5,0.75,7,100,9.340384262126856,2.2343473929497986,0.05,0.31,0.31
2.5,0.75,10,100,8.81511911830903,2.176468328896255,0.03,0.3,0.35
2.5,0.75,15,100,9.2801343516456,2.227876024241328,0.05,0.4,0.14
2.5,0.75,20,100,9.073659579993206,2.2053756645575597,0.03,0.23,0.09
2.5,1.0,7,100,9.04539021812264,2.202255259776558,0.03,0.13,0.3
2.5,1.0,10,100,8.345070728801101,2.1216710326681865,0.03,0.35,0.33
