estimator,true_beta,n,n_correct,correct_rate
MDM-0.1,1.5,6000,4124,0.6873333333333334
MDM-0.1,2.0,6000,1595,0.2658333333333333
MDM-0.1,2.5,6000,1284,0.214
MDM-0.1,3.0,6000,1054,0.1756666666666666
MDM-0.1,3.5,6000,711,0.1185
MDM-0.1,4.0,6000,413,0.0688333333333333
MDM-0.1,4.5,6000,212,0.0353333333333333
MDM-0.1,5.0,6000,100,0.0166666666666666
WMLE,1.5,5999,1464,0.2440406734455742
WMLE,2.0,6000,1795,0.2991666666666667
WMLE,2.5,6000,1112,0.1853333333333333
WMLE,3.0,6000,745,0.1241666666666666
WMLE,3.5,6000,555,0.0925
WMLE,4.0,6000,438,0.073
WMLE,4.5,6000,352,0.0586666666666666
WMLE,5.0,6000,1480,0.2466666666666666
