delta,J1
0.0,0.9481489946404543
0.02,0.7045729483236133
0.04,0.6416570044511223
0.06,0.6245182886884386
0.08,0.6246663441109023
0.1,0.6304091999323667
0.12,0.6387548055048173
0.14,0.6477244234946153
0.16,0.6566485864310586
0.18,0.6658407094017762
0.2,0.6746319779192567
0.22,0.6829555305110179
0.24,0.6908076156687861
0.26,0.6983684130373712
0.28,0.7054456804026036
0.3,0.7122273583157424
0.32,0.7184554587208045
0.34,0.7244390338972093
0.36,0.7300786461811252
0.38,0.7353349592521609
0.4,0.7403788095468666
0.42,0.7451093183928076
0.44,0.7496518752891003
0.46,0.7539822873586217
0.48,0.7580684338778888
0.5,0.7618850442478488
