oracle_delta,selected_delta,row_percent
0.0,0.0,34.696764484574864
0.02,0.0,6.5853083362810985
0.04,0.0,5.140630938806537
0.06,0.0,5.240549828178694
0.08,0.0,6.354515050167224
0.1,0.0,7.400339270568278
0.12,0.0,7.054388799138395
0.14,0.0,7.240573907240575
0.16,0.0,8.93689114781872
0.18,0.0,9.365558912386707
0.2,0.0,8.95937673900946
0.22,0.0,9.713905522288755
0.24,0.0,8.525506638714187
0.26,0.0,8.0
0.28,0.0,9.43952802359882
0.3,0.0,7.936507936507936
0.32,0.0,10.209102091020911
0.34,0.0,10.150375939849624
0.36,0.0,7.8231292517006805
0.38,0.0,7.920792079207921
0.4,0.0,9.424083769633508
0.42,0.0,7.1065989847715745
0.44,0.0,9.363295880149813
0.46,0.0,7.142857142857142
0.48,0.0,11.67728237791932
0.5,0.0,10.235258172930035
0.0,0.02,32.95711060948081
0.02,0.02,41.156703218960025
0.04,0.02,10.157734701634359
0.06,0.02,4.074619538537064
0.08,0.02,3.2329988851727984
0.1,0.02,3.3502968617472435
0.12,0.02,2.6386645126548194
0.14,0.02,3.003003003003003
0.16,0.02,2.9224904701397714
0.18,0.02,3.1722054380664653
0.2,0.02,3.060656649972176
0.22,0.02,2.7278775781769795
0.24,0.02,3.9832285115303985
0.26,0.02,2.933333333333333
0.28,0.02,4.2281219272369714
0.3,0.02,2.380952380952381
0.32,0.02,3.936039360393604
0.34,0.02,2.631578947368421
0.36,0.02,3.4013605442176873
0.38,0.02,3.7953795379537953
0.4,0.02,3.315881326352531
0.42,0.02,4.060913705583756
0.44,0.02,3.932584269662921
0.46,0.02,2.5974025974025974
0.48,0.02,3.397027600849257
0.5,0.02,2.841429880843263
0.0,0.04,8.747930775018812
0.02,0.04,27.726683174153994
0.04,0.04,29.903078677309008
0.06,0.04,14.81345115365734
0.08,0.04,9.491957318044275
0.1,0.04,5.089058524173027
0.12,0.04,4.281098546042003
0.14,0.04,3.6036036036036037
0.16,0.04,3.473104616687844
0.18,0.04,2.8197381671701915
0.2,0.04,2.2815804117974405
0.22,0.04,3.1270791749833666
0.24,0.04,2.9350104821802936
0.26,0.04,2.666666666666667
0.28,0.04,1.671583087512291
0.3,0.04,2.1825396825396823
0.32,0.04,2.091020910209102
0.34,0.04,1.3784461152882206
0.36,0.04,3.061224489795918
0.38,0.04,2.8052805280528053
0.4,0.04,3.315881326352531
0.42,0.04,2.8764805414551606
0.44,0.04,1.6853932584269662
0.46,0.04,2.1645021645021645
0.48,0.04,2.7600849256900215
0.5,0.04,1.5582034830430798
0.0,0.06,5.918735891647856
0.02,0.06,12.693078646386038
0.04,0.06,22.291904218928163
0.06,0.06,19.293078055964656
0.08,0.06,13.043478260869565
0.1,0.06,7.994062765055132
0.12,0.06,6.8659127625201934
0.14,0.06,5.772439105772439
0.16,0.06,4.447268106734435
0.18,0.06,4.279959718026183
0.2,0.06,3.672787979966611
0.22,0.06,3.792415169660679
0.24,0.06,3.9832285115303985
0.26,0.06,3.822222222222222
0.28,0.06,3.048180924287119
0.3,0.06,2.4801587301587302
0.32,0.06,3.075030750307503
0.34,0.06,3.634085213032581
0.36,0.06,1.530612244897959
0.38,0.06,1.9801980198019802
0.4,0.06,2.094240837696335
0.42,0.06,2.707275803722504
0.44,0.06,2.247191011235955
0.46,0.06,1.7316017316017316
0.48,0.06,2.1231422505307855
0.5,0.06,1.405438435685915
0.0,0.08,3.148231753197893
0.02,0.08,4.079707581653107
0.04,0.08,11.45952109464082
0.06,0.08,17.869415807560138
0.08,0.08,16.802038541168976
0.1,0.08,13.952502120441052
0.12,0.08,10.770059235325794
0.14,0.08,8.074741408074741
0.16,0.08,5.887335874629394
0.18,0.08,4.481369587109768
0.2,0.08,4.507512520868113
0.22,0.08,3.32667997338656
0.24,0.08,4.122990915443745
0.26,0.08,3.644444444444445
0.28,0.08,3.048180924287119
0.3,0.08,2.6785714285714284
0.32,0.08,2.337023370233702
0.34,0.08,2.1303258145363406
0.36,0.08,2.5510204081632653
0.38,0.08,1.8151815181518154
0.4,0.08,1.2216404886561953
0.42,0.08,2.8764805414551606
0.44,0.08,1.3108614232209739
0.46,0.08,1.2987012987012987
0.48,0.08,1.2738853503184715
0.5,0.08,0.916590284142988
0.0,0.1,1.5304740406320543
0.02,0.1,1.9042565735172738
0.04,0.1,6.261877613074876
0.06,0.1,11.229749631811488
0.08,0.1,12.931995540691194
0.1,0.1,11.91687871077184
0.12,0.1,11.039310716208938
0.14,0.1,8.708708708708707
0.16,0.1,7.412113511224058
0.18,0.1,5.991943605236657
0.2,0.1,5.676126878130217
0.22,0.1,4.990019960079841
0.24,0.1,5.800139762403914
0.26,0.1,4.266666666666667
0.28,0.1,4.621435594886923
0.3,0.1,4.563492063492063
0.32,0.1,3.198031980319803
0.34,0.1,4.511278195488721
0.36,0.1,4.931972789115646
0.38,0.1,3.4653465346534658
0.4,0.1,3.315881326352531
0.42,0.1,3.2148900169204735
0.44,0.1,1.6853932584269662
0.46,0.1,1.7316017316017316
0.48,0.1,2.9723991507431
0.5,0.1,1.7415215398716772
0.0,0.12,2.925507900677201
0.02,0.12,1.9808984789529538
0.04,0.12,5.178639300646142
0.06,0.12,8.566519391261659
0.08,0.12,10.367892976588628
0.1,0.12,10.708227311280746
0.12,0.12,8.88529886914378
0.14,0.12,8.108108108108109
0.16,0.12,6.480304955527319
0.18,0.12,5.13595166163142
0.2,0.12,5.564830272676683
0.22,0.12,3.8589487691284097
0.24,0.12,4.262753319357094
0.26,0.12,3.822222222222222
0.28,0.12,3.44149459193707
0.3,0.12,2.876984126984127
0.32,0.12,4.059040590405904
0.34,0.12,4.010025062656641
0.36,0.12,2.2108843537414966
0.38,0.12,3.3003300330033
0.4,0.12,2.4432809773123907
0.42,0.12,3.0456852791878175
0.44,0.12,3.3707865168539324
0.46,0.12,3.0303030303030303
0.48,0.12,0.8492569002123143
0.5,0.12,1.2221203788573174
0.0,0.14,0.8607975921745673
0.02,0.14,0.7192548048579177
0.04,0.14,1.662865830482706
0.06,0.14,4.000981836033382
0.08,0.14,5.446727185857621
0.1,0.14,6.8490245971162
0.12,0.14,6.5697361335487345
0.14,0.14,6.77344010677344
0.16,0.14,7.030919102075392
0.18,0.14,6.3444108761329305
0.2,0.14,6.3439065108514185
0.22,0.14,4.39121756487026
0.24,0.14,4.122990915443745
0.26,0.14,4.177777777777777
0.28,0.14,4.916420845624385
0.3,0.14,4.563492063492063
0.32,0.14,2.5830258302583027
0.34,0.14,3.634085213032581
0.36,0.14,3.231292517006803
0.38,0.14,1.9801980198019802
0.4,0.14,2.2687609075043627
0.42,0.14,4.230118443316413
0.44,0.14,3.932584269662921
0.46,0.14,1.7316017316017316
0.48,0.14,2.9723991507431
0.5,0.14,1.3443324167430493
0.0,0.16,0.9706546275395033
0.02,0.16,0.5777620563612781
0.04,0.16,1.7863930064614217
0.06,0.16,3.4855179185076093
0.08,0.16,6.067845198279981
0.1,0.16,6.700593723494487
0.12,0.16,8.481421647819062
0.14,0.16,7.540874207540874
0.16,0.16,7.793307920372723
0.18,0.16,7.099697885196375
0.2,0.16,6.956037840845854
0.22,0.16,6.05455755156354
0.24,0.16,6.359189378057302
0.26,0.16,6.222222222222222
0.28,0.16,4.621435594886923
0.3,0.16,3.075396825396825
0.32,0.16,5.904059040590406
0.34,0.16,3.8847117794486214
0.36,0.16,4.081632653061225
0.38,0.16,4.785478547854786
0.4,0.16,2.2687609075043627
0.42,0.16,3.7225042301184432
0.44,0.16,1.6853932584269662
0.46,0.16,1.7316017316017316
0.48,0.16,2.335456475583864
0.5,0.16,1.374885426214482
0.0,0.18,0.9781790820165538
0.02,0.18,0.6367173682348779
0.04,0.18,1.7388825541619155
0.06,0.18,2.72459499263623
0.08,0.18,3.264851090938047
0.1,0.18,5.067854113655641
0.12,0.18,6.085083467959073
0.14,0.18,6.97364030697364
0.16,0.18,7.073274036425244
0.18,0.18,7.099697885196375
0.2,0.18,6.288258208124652
0.22,0.18,6.05455755156354
0.24,0.18,5.93990216631726
0.26,0.18,5.422222222222222
0.28,0.18,5.408062930186824
0.3,0.18,3.1746031746031744
0.32,0.18,4.182041820418204
0.34,0.18,3.7593984962406015
