delta,observed_loss,predicted_loss,selected_delta,oracle_delta,n,beta,gamma_over_eta,repeat_id,selection_rule
0.0,0.7043066415155207,1.0415562848376498,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.02,0.7043066415155207,1.3321523818021543,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.04,0.7043066415155207,0.9593816997727898,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.06,0.33763474801050863,0.6203118306782567,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.08,0.1923623015405726,0.4576429521735859,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.1,0.13340134734634818,0.3763259876574425,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.12,0.11095467344232963,0.2852484956593587,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.14,0.10595138854323614,0.275595314539709,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.16,0.10988521250299664,0.253510174793408,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.18,0.11855959878690299,0.2570109906422442,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.2,0.12975394055174272,0.2579923074634888,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.22,0.14223456044515234,0.2334197426722722,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.24,0.15529283236649252,0.2549998050907798,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.26,0.16851431863107777,0.255767924946419,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.28,0.18165538293002265,0.3080133340966466,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.3,0.19457528522021397,0.3199585789961574,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.32,0.20719665051283156,0.3206840349156094,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.34,0.21948213532406669,0.3546983809177597,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.36,0.23142038767833156,0.3502663244757101,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.38,0.24301753736941906,0.3512414598438795,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.4,0.25429238214824984,0.3874181283845084,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.42,0.26527402106801506,0.3756677030034577,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.44,0.27600139480933833,0.3979270717406954,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.46,0.286525256246403,0.4338422572978,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.48,0.4877888173294921,0.43700177926323,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
0.5,0.4877888173294921,0.4150882560358316,0.22,0.14,10,2.5,0.25,190,closest to median regret among seed-42 test predictions
