profile_group,repeat_id,gradient_at_zero,gamma_hat_default_over_eta,l6_delta,l6_gamma_hat_over_eta,gamma_over_eta,gradient
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.0,0.0294221926119984
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.2253659294740944,0.0548966949393872
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.3839815255842785,0.0972969871355302
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.3906165481054165,0.1000000000001335
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.4956173322392535,0.1621397669253979
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.5741881262414378,0.2504257962380378
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.6294873161260348,0.3519964015440643
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.6684076355746047,0.4441810813004248
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.695800283986632,0.5062133133884648
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7150796012598748,0.5357710258370842
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7286486460974364,0.5441143032660234
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7381987237892067,0.5425860579110198
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7449201979246876,0.5377739438152089
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7496508625341355,0.5326099214099712
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7529803684127566,0.5281423529518104
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7553237197832244,0.5246062298370332
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7569730022430431,0.5219315439556961
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7581337895951006,0.5199599954861313
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7589507674685236,0.5185293652911274
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7595257675703767,0.5175015436195657
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.759930460436471,0.5167679211450094
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7602152887614394,0.516246569778567
low,285,0.0294221926119984,0.3906165481054165,0.14,0.4659652717414761,0.7604157547975405,0.5158771669206865
