method,quantile,rmse
Default,x0.90,0.1607249115503732
Default,x0.95,0.2142348831869535
Default,x0.99,0.3776808422305834
L6,x0.90,0.1612617167341513
L6,x0.95,0.212335024666795
L6,x0.99,0.3575848512153361
Mean-Normalized,x0.90,0.1608407867872968
Mean-Normalized,x0.95,0.2135617969655864
Mean-Normalized,x0.99,0.3753334752205453
LSE,x0.90,0.1594164415684983
LSE,x0.95,0.213325463993534
LSE,x0.99,0.3815138912918444
WMLE,x0.90,0.1546793323490279
WMLE,x0.95,0.1985605836051415
WMLE,x0.99,0.3296031083132306
