method,quantile,rmse,rmse_min,rmse_max
Mean-Normalized,x0.90,0.1609059101869143,0.1605897145132814,0.1612872292601647
Mean-Normalized,x0.95,0.2134249552547042,0.2126975263774414,0.2140155424210848
Mean-Normalized,x0.99,0.3744360617973186,0.3726203441660174,0.3753543660053932
Default,x0.90,0.1607249115503732,0.1607249115503732,0.1607249115503732
Default,x0.95,0.2142348831869535,0.2142348831869535,0.2142348831869535
Default,x0.99,0.3776808422305834,0.3776808422305834,0.3776808422305834
L6,x0.90,0.1612617167341513,0.1612617167341513,0.1612617167341513
L6,x0.95,0.212335024666795,0.212335024666795,0.212335024666795
L6,x0.99,0.3575848512153361,0.3575848512153361,0.3575848512153361
WMLE,x0.90,0.1546793323490279,0.1546793323490279,0.1546793323490279
WMLE,x0.95,0.1985605836051415,0.1985605836051415,0.1985605836051415
WMLE,x0.99,0.3296031083132306,0.3296031083132306,0.3296031083132306
LSE,x0.90,0.1594164415684983,0.1594164415684983,0.1594164415684983
LSE,x0.95,0.213325463993534,0.213325463993534,0.213325463993534
LSE,x0.99,0.3815138912918444,0.3815138912918444,0.3815138912918444
