方法,分位点,相对 Bias,相对 RMSE,相对 MAE,P95(|相对误差|),失败率
Mean-normalized,x0.90,0.022545198259742535,0.1609059101869143,0.10905474188172994,0.31917896759659486,0.0
Mean-normalized,x0.95,0.05303661711228256,0.2134249552547042,0.1400280525440527,0.41746932806902565,0.0
Mean-normalized,x0.99,0.14119011088989294,0.3744360617973186,0.2365298188645404,0.7322692362823598,0.0
Default,x0.90,0.0211809023668228,0.1607249115503732,0.1093661419705468,0.3202139687384583,0.0
Default,x0.95,0.0503538660281439,0.2142348831869535,0.1423906007132022,0.4194743432567475,0.0
Default,x0.99,0.1319921509253811,0.3776808422305834,0.2453954290115686,0.7284306160259084,0.0
L6,x0.90,0.0213072204185558,0.1612617167341513,0.1094010958631777,0.3209938553962448,0.0
L6,x0.95,0.0463761634897547,0.212335024666795,0.1395421090365569,0.415925599208706,0.0
L6,x0.99,0.1137504567370774,0.3575848512153361,0.2219695150696655,0.6923817151788146,0.0
WMLE,x0.90,0.0129840051387426,0.1546793323490279,0.1087746159360118,0.3052484242066277,2.0833333333333333e-05
WMLE,x0.95,0.0185596557273219,0.1985605836051415,0.1414189695246371,0.387858302796594,2.0833333333333333e-05
WMLE,x0.99,0.0361159525334028,0.3296031083132306,0.2396692035400582,0.6346572603943038,2.0833333333333333e-05
LSE,x0.90,0.0300360529861937,0.1594164415684983,0.1082595531796916,0.318161214932296,0.0
LSE,x0.95,0.0548819895115582,0.213325463993534,0.1417622070779607,0.4158290588141644,0.0
LSE,x0.99,0.1143844253842818,0.3815138912918444,0.2506011562929407,0.7330371700695183,0.0
