label,estimator,family,mapping,variant,observed_j1_diff,ci_low,ci_high
$\beta$ · interp,MDM-0.1,PG-beta,interpolated,one_step,0.0403291325751845,0.0372385946380222,0.0429354585019552
$\beta$ · grid,MDM-0.1,PG-beta,nearest_grid,one_step,0.0435453014091281,0.0403870173116212,0.0461890036221791
"$\beta,\,n$ · interp",MDM-0.1,PG-beta-n,interpolated,one_step,0.0417459677657729,0.0390319966187545,0.0441398161629638
"$\beta,\,n$ · grid",MDM-0.1,PG-beta-n,nearest_grid,one_step,0.0427833150394579,0.0400129084404274,0.0452424265874429
"$\beta,\gamma/\eta,\,n$ · interp",MDM-0.1,PG-full,interpolated,one_step,0.0522631283261429,0.0491591744828948,0.0549240091423921
"$\beta,\gamma/\eta,\,n$ · grid",MDM-0.1,PG-full,nearest_grid,one_step,0.053145022519387,0.0499374886393804,0.0557687786377912
$\beta$ · interp,WMLE,PG-beta,interpolated,one_step,0.0202870284451366,0.0185863609394768,0.0219466613063602
$\beta$ · grid,WMLE,PG-beta,nearest_grid,one_step,0.0225687983879383,0.0208586747869995,0.0242837357503353
"$\beta,\,n$ · interp",WMLE,PG-beta-n,interpolated,one_step,0.025290294954084,0.0232633145079371,0.0271199711321718
"$\beta,\,n$ · grid",WMLE,PG-beta-n,nearest_grid,one_step,0.0269100551525858,0.0249026631623916,0.0287410022156485
"$\beta,\gamma/\eta,\,n$ · interp",WMLE,PG-full,interpolated,one_step,0.0638780456782424,0.0597660282246935,0.0679726713620583
"$\beta,\gamma/\eta,\,n$ · grid",WMLE,PG-full,nearest_grid,one_step,0.0635989214166889,0.0597361571898084,0.0673794551607832
