beta,method,seed_min,seed_max,primary_J1
1.5,Default,0.5476987191772456,0.5476987191772456,0.5476987191772456
1.5,L6,0.3974603153780581,0.3974603153780581,0.3974603153780581
1.5,Mean-normalized,0.55073544752639,0.564807435372821,0.5541004658721302
2.0,Default,0.5204978344244865,0.5204978344244865,0.5204978344244865
2.0,L6,0.4032794060260262,0.4032794060260262,0.4032794060260262
2.0,Mean-normalized,0.4962065234554079,0.4985393258574475,0.4962065234554079
2.5,Default,0.5318700939484555,0.5318700939484555,0.5318700939484555
2.5,L6,0.436575988144923,0.436575988144923,0.436575988144923
2.5,Mean-normalized,0.5060729425598918,0.5076481485222295,0.5076405932341838
3.0,Default,0.5723656222089817,0.5723656222089817,0.5723656222089817
3.0,L6,0.4708530415821175,0.4708530415821175,0.4708530415821175
3.0,Mean-normalized,0.5383935497018311,0.5412639733004838,0.5412639733004838
3.5,Default,0.6136100743597207,0.6136100743597207,0.6136100743597207
3.5,L6,0.4963108122099591,0.4963108122099591,0.4963108122099591
3.5,Mean-normalized,0.56256894436371,0.5638012067480244,0.56256894436371
4.0,Default,0.6811755452846217,0.6811755452846217,0.6811755452846217
4.0,L6,0.5373104816231123,0.5373104816231123,0.5373104816231123
4.0,Mean-normalized,0.6061460862384332,0.6126361245966513,0.6107057856404917
4.5,Default,0.7305429111984516,0.7305429111984516,0.7305429111984516
4.5,L6,0.5595063462252573,0.5595063462252573,0.5595063462252573
4.5,Mean-normalized,0.6500259239954698,0.6557212473707045,0.6557212473707045
5.0,Default,0.789769332128496,0.789769332128496,0.789769332128496
5.0,L6,0.5982199497793134,0.5982199497793134,0.5982199497793134
5.0,Mean-normalized,0.7010811009869802,0.711314262465927,0.711314262465927
