n,candidate,repeats_per_cell,training_samples,confirmation_samples,R_mean_loss,J1
7,extra_trees,40,1600,4000,0.4626355505135044,0.6801731768553538
7,extra_trees,80,3200,4000,0.4610720619009336,0.6790228728849519
7,extra_trees,120,4800,4000,0.4572926747261224,0.6762341863039182
7,extra_trees,160,6400,4000,0.4572900872171525,0.6762322731259967
7,extra_trees,200,8000,4000,0.4547216299896287,0.6743305050119183
10,mlp_wide,40,1600,4000,0.3645766157879574,0.6038018017428877
10,mlp_wide,80,3200,4000,0.3565827736100752,0.5971455213011944
10,mlp_wide,120,4800,4000,0.3551507991601985,0.5959452987986386
10,mlp_wide,160,6400,4000,0.3515287706271078,0.5928986174946842
10,mlp_wide,200,8000,4000,0.3494226960176301,0.5911198660319497
15,extra_trees,40,1600,4000,0.2634794664764145,0.5133025097117825
15,extra_trees,80,3200,4000,0.2618434588232894,0.5117064185871518
15,extra_trees,120,4800,4000,0.259548522285236,0.509459048683244
15,extra_trees,160,6400,4000,0.2594631814642532,0.5093752854863035
15,extra_trees,200,8000,4000,0.2589715624755466,0.5088924861653458
20,extra_trees,40,1600,4000,0.2027270503635573,0.4502522075054794
20,extra_trees,80,3200,4000,0.2011754880982703,0.4485259057159021
20,extra_trees,120,4800,4000,0.2009910461151463,0.4483202495037965
20,extra_trees,160,6400,4000,0.1998423537111414,0.4470373068449002
20,extra_trees,200,8000,4000,0.1995168124744402,0.446673048744202
