method,param,true_value,min,max,mean,median,p2_5,p97_5,n_success_total
mle,beta,2.000000,1.070956,8.237916,2.282729,1.868209,1.162008,6.347123,888/1000
mle,eta,1000.000000,417.810607,2347.064717,1006.309423,896.220107,545.703728,2121.208272,888/1000
mle,gamma,1000.000000,0.000000,1493.347886,976.162478,1068.989356,0.000034,1363.509281,888/1000
wmle,beta,2.000000,1.425788,5.367606,2.600036,2.200000,1.504489,5.000000,1000/1000
wmle,eta,1000.000000,521.581170,2435.587813,1244.266456,1049.308458,674.198669,2181.719723,1000/1000
wmle,gamma,1000.000000,0.000000,1405.763377,770.388738,955.574867,0.000004,1275.883883,1000/1000
lse,beta,2.000000,0.702321,7.324139,2.205415,1.923339,0.958002,5.381610,1000/1000
lse,eta,1000.000000,348.751932,2316.441031,1035.268884,973.524291,555.684967,2022.416325,1000/1000
lse,gamma,1000.000000,0.000000,1612.008636,962.132047,1021.280028,0.000000,1368.066126,1000/1000
lre,beta,2.000000,0.860599,9.379967,4.638009,4.660113,1.392415,6.510400,1000/1000
lre,eta,1000.000000,469.312607,2416.975446,1982.705734,2041.014271,774.675818,2277.587971,1000/1000
lre,gamma,1000.000000,0.000000,1367.710661,68.805178,0.000024,0.000000,1123.246347,1000/1000
MDM-0.1,beta,2.000000,0.767773,4.139577,2.017743,1.932585,1.041321,3.380737,1000/1000
MDM-0.1,eta,1000.000000,345.904892,1704.029698,983.383532,965.949986,565.174818,1494.656855,1000/1000
MDM-0.1,gamma,1000.000000,476.011833,1609.769157,1008.567750,1014.248461,624.204710,1353.365777,1000/1000
MDM-MLP,beta,2.000000,0.771540,3.968274,1.881856,1.852937,1.052425,2.950170,1000/1000
MDM-MLP,eta,1000.000000,351.579031,1410.336727,931.847644,950.143024,570.321192,1226.515572,1000/1000
MDM-MLP,gamma,1000.000000,802.616736,1610.098567,1055.861510,1033.133300,875.940616,1343.401177,1000/1000
MDM-L6-oracle,beta,2.000000,0.772543,3.061239,1.856501,1.917060,1.054319,2.451823,1000/1000
MDM-L6-oracle,eta,1000.000000,351.579031,1410.336727,922.604781,943.249115,570.324336,1203.884168,1000/1000
MDM-L6-oracle,gamma,1000.000000,843.608098,1609.643206,1064.060245,1042.615864,895.874193,1343.401177,1000/1000
