run_id,phase,seed,representation,family,train_n,test_n,J1,J1_hindsight,J1_minus_hindsight,mean_curve_rmse,mean_regret,median_regret,p95_regret,near5_hit,n_samples
F13_J_seed2026,confirm,2026,F13,J,"7,10,20","7,10,20",0.5308889374023182,0.4887114461420549,0.04217749126026332,0.1634961605248661,0.043004186265903924,0.006710314798124952,0.19058435046911246,0.45111111111111113,
F13_J_seed2026,confirm,2026,F13,J,"7,10,20",7,0.6368389309860208,0.5864600855982591,0.05037884538776172,,0.061628392019500336,0.009435663404794651,0.27273471793653364,0.48133333333333334,3000.0
F13_J_seed2026,confirm,2026,F13,J,"7,10,20",10,0.5335921612994073,0.4929447185511582,0.04064744274824916,,0.04172609905269216,0.0068281473873999,0.18221404627850163,0.465,3000.0
F13_J_seed2026,confirm,2026,F13,J,"7,10,20",20,0.3940111330265899,0.3599815345588963,0.0340295984676936,,0.025658067725519294,0.005610333482373,0.11760370399465492,0.407,3000.0
F13_S_7to7_seed2026,confirm,2026,F13,S,7,7,0.6549593810253181,0.5864600855982591,0.06849929542705901,0.27051999202655613,0.08503635879315043,0.026417465979845785,0.3276104067185878,0.35933333333333334,
F13_S_7to7_seed2026,confirm,2026,F13,S,7,7,0.6549593810253181,0.5864600855982591,0.06849929542705901,,0.08503635879315043,0.026417465979845785,0.3276104067185878,0.35933333333333334,3000.0
F13_S_10to10_seed2026,confirm,2026,F13,S,10,10,0.5269273625003338,0.4929447185511582,0.033982643949175606,0.16375318268807332,0.034657949804077645,0.0045873695003336434,0.1677342427240058,0.5033333333333333,
F13_S_10to10_seed2026,confirm,2026,F13,S,10,10,0.5269273625003338,0.4929447185511582,0.033982643949175606,,0.034657949804077645,0.0045873695003336434,0.1677342427240058,0.5033333333333333,3000.0
F13_S_20to20_seed2026,confirm,2026,F13,S,20,20,0.38716830142618647,0.3599815345588963,0.027186766867290157,0.0873655645031907,0.02031258840586054,0.0023764606383693005,0.095882400285184,0.5043333333333333,
F13_S_20to20_seed2026,confirm,2026,F13,S,20,20,0.38716830142618647,0.3599815345588963,0.027186766867290157,,0.02031258840586054,0.0023764606383693005,0.095882400285184,0.5043333333333333,3000.0
F13_T_7to10-20_seed2026,confirm,2026,F13,T,7,"10,20",0.5200120087898314,0.4316139483212159,0.08839806046861554,0.4285718687034912,0.08412188890020654,0.03045028871966035,0.31272834329976623,0.2705,
F13_T_7to10-20_seed2026,confirm,2026,F13,T,7,10,0.5771272052009667,0.4929447185511582,0.08418248664980854,,0.09008131543559815,0.03429057517730831,0.3290216532861156,0.30666666666666664,3000.0
F13_T_7to10-20_seed2026,confirm,2026,F13,T,7,20,0.4557950938614772,0.3599815345588963,0.0958135593025809,,0.07816246236481494,0.027492139559211655,0.2987858976476992,0.23433333333333334,3000.0
