comparison,test_n,representation,train_n,n_seeds,mean_effect_J1,ci_low_J1,ci_high_J1,mean_effect_regret,ci_low_regret,ci_high_regret,per_seed_J1_effects,per_seed_regret_effects
F12_minus_F13,7,,,3,0.00285264464381918,-0.0022633012129785884,0.008101500541423255,0.003636869202761068,-0.003111098102741553,0.009816509590641443,"[0.008199281015616067, 0.009525722636410161, -0.009167069720568688]","[0.010496153722292907, 0.0122234414330274, -0.011808987547037103]"
F12_minus_F13,10,,,3,0.004758160456054446,-0.0006523982653974364,0.010131938034788962,0.005114809835797295,-0.0007058216337705018,0.010452928629188101,"[0.008175561839823042, 0.009778740981507883, -0.0036798214531675866]","[0.008767640024221195, 0.010531342845403094, -0.003954553362232403]"
F12_minus_F13,20,,,3,0.004474882644541008,0.0004478039292350074,0.008372959830369396,0.0036098809038606675,0.00036812683890014264,0.006712315856874419,"[0.000625565692301322, 0.016293752738862077, -0.0034946704975403753]","[0.0005010063928648015, 0.013105326334103502, -0.0027766900153863017]"
J_minus_S,7,F12,"7,10,20",3,-0.004966299070991627,-0.010018446962041823,0.0005501522728566107,-0.006415117806938861,-0.013663290004699055,0.0006758772532542865,"[-0.002663950407211124, 0.0006358921806296491, -0.012870838986393407]","[-0.00343914458137419, 0.0008216320992823073, -0.0166278409387247]"
J_minus_S,7,F13,"7,10,20",3,-0.0068623206376600505,-0.009698770897687151,-0.003732574005302014,-0.00883986175520847,-0.012794759251871662,-0.004713968266919515,"[-0.010818125267993195, -0.018120450039297298, 0.008351613394310342]","[-0.013876948392439907, -0.023407966773650098, 0.010765329900464596]"
J_minus_S,7,RAW,"7,10,20",3,-0.0023524288260844775,-0.006647693983893088,0.0015286795822509493,-0.003049342234741667,-0.008716677816298925,0.0019038381936834594,"[-0.0036398439144275097, -0.009332617771204088, 0.005915175207378165]","[-0.004684124326021097, -0.012087204951119604, 0.0076233025729156995]"
J_minus_S,10,F12,"7,10,20",3,0.009483315521297442,0.004853315819905756,0.01413885596645655,0.010156536889732766,0.005354164294279696,0.014741165108832294,"[0.010735820713673183, 0.01194622758113073, 0.005767898269088412]","[0.0114858276168395, 0.012839752565803997, 0.006144030486554798]"
J_minus_S,10,F13,"7,10,20",3,0.004555568177959916,0.00032697319377888827,0.008728322404943804,0.0048562408765027015,0.0003315254242367498,0.009603184209265056,"[-0.0006659397260649902, 0.006664798799073557, 0.007667845460871181]","[-0.0007091664508237991, 0.007068149248614507, 0.008209739831717397]"
J_minus_S,10,RAW,"7,10,20",3,0.007224026839269333,0.0021698896248142003,0.012175084796665295,0.007728410379884666,0.0022682669870004043,0.013429476421579807,"[0.009494148421077098, 0.0033164267686945914, 0.008861505328036312]","[0.010144747463218598, 0.0035706278514573975, 0.009469855824978002]"
J_minus_S,20,F12,"7,10,20",3,0.01531081516402181,0.01145569549588454,0.01889923093592841,0.012118748154273334,0.008507289385761254,0.01600862004239101,"[0.014069103459567522, 0.022862210011130202, 0.009001132021367708]","[0.0110786001996033, 0.018238272287332102, 0.007039371975884598]"
