run_id,phase,seed,representation,family,train_n,test_n,status,n_iter,param_count,J1,J1_hindsight,J1_minus_hindsight,mean_curve_rmse,mean_regret,median_regret,p95_regret,near5_hit,elapsed_s,time_iso
F13_J_seed42,explore,42,F13,J,"7,10,20","7,10,20",completed,66,46426,0.531573391334112,0.4887114461420549,0.042861945192057,0.1772263187167484,0.0437313927841903,0.0082856932771063,0.1809466212861193,0.4428888888888889,97.4,2026-07-19T17:12:48+00:00
F13_S_7to7_seed42,explore,42,F13,S,7,7,completed,120,46426,0.6467839796677569,0.5864600855982591,0.0603238940694977,0.2566235531605121,0.074394084354944,0.0164468575160249,0.2800982266633034,0.4383333333333333,43.8,2026-07-19T17:13:32+00:00
F13_S_10to10_seed42,explore,42,F13,S,10,10,completed,130,46426,0.5327884031904699,0.4929447185511582,0.0398436846393117,0.1598843219398809,0.0408689870267701,0.0073684986937784,0.1849137452556683,0.4823333333333333,48.3,2026-07-19T17:14:20+00:00
F13_S_20to20_seed42,explore,42,F13,S,20,20,completed,159,46426,0.3831892065936531,0.3599815345588963,0.0232076720347568,0.0862184660536735,0.0172472628264955,0.0031629107965362,0.0766115768391207,0.4776666666666667,57.6,2026-07-19T17:15:18+00:00
F13_T_7to10-20_seed42,explore,42,F13,T,7,"10,20",completed,120,46426,0.5312711890736987,0.4316139483212159,0.0996572407524828,0.5066311471977151,0.0959584759543526,0.0362728217578778,0.3545069067946643,0.295,46.1,2026-07-19T17:16:04+00:00
F13_T_10to7-20_seed42,explore,42,F13,T,10,"7,20",completed,130,46426,0.5817245936910347,0.4865809990244663,0.0951435946665684,0.4052960707317142,0.1016424342933518,0.0337387397171286,0.3782971404367521,0.2803333333333333,48.5,2026-07-19T17:16:52+00:00
F13_T_20to7-10_seed42,explore,42,F13,T,20,"7,10",completed,159,46426,0.7015448531953942,0.541724066083185,0.1598207871122091,0.3982753444338708,0.1987002172712482,0.0669966806699161,0.7985992301442003,0.2281666666666666,35.7,2026-07-19T17:17:28+00:00
F13_L_hold7_seed42,explore,42,F13,L,"10,20",7,completed,101,46426,0.6429581051618702,0.5864600855982591,0.0564980195636111,0.244994424152372,0.0694596929934252,0.0092424255288281,0.3017756417882176,0.5046666666666667,24.2,2026-07-19T17:17:53+00:00
F13_L_hold10_seed42,explore,42,F13,L,"7,20",10,completed,69,46426,0.5405302502991013,0.4929447185511582,0.0475855317479431,0.2031666199191822,0.0491784559409285,0.0138205955360822,0.1974637750614191,0.41,16.8,2026-07-19T17:18:09+00:00
F13_L_hold20_seed42,explore,42,F13,L,"7,10",20,completed,43,46426,0.5031211336843341,0.3599815345588963,0.1431395991254377,0.1708008181753015,0.1235441699364317,0.008357653336076,0.6978397842707167,0.4433333333333333,11.1,2026-07-19T17:18:21+00:00
F12_J_seed42,explore,42,F12,J,"7,10,20","7,10,20",completed,46,46452,0.5377346344504651,0.4887114461420549,0.0490231883084101,0.1765889045484198,0.0503196594973166,0.0052532071312952,0.2058217521267059,0.4774444444444444,18.5,2026-07-19T17:18:39+00:00
F12_S_7to7_seed42,explore,42,F12,S,7,7,completed,46,46452,0.6468290858225909,0.5864600855982591,0.0603690002243317,0.2560725932752429,0.0744524342661712,0.0219619409546224,0.2799313640202753,0.3966666666666666,6.6,2026-07-19T17:18:46+00:00
F12_S_10to10_seed42,explore,42,F12,S,10,10,completed,55,46452,0.5295622045905548,0.4929447185511582,0.0366174860393966,0.1647200529432552,0.037441632983328,0.004422554562776,0.1712363479669906,0.5006666666666667,7.9,2026-07-19T17:18:54+00:00
