seed,family,representation,test_n,train_n,model_J1,specialist_J1,transfer_cost_J1,rel_transfer_cost,model_mean_regret,specialist_mean_regret,delta_mean_regret
42,J,F13,7,"7,10,20",0.6359658543997637,0.6467839796677569,-0.010818125267993195,-0.016726025393440175,0.0605171359625041,0.074394084354944,-0.013876948392439907
42,J,F12,7,"7,10,20",0.6441651354153798,0.6468290858225909,-0.002663950407211124,-0.00411847652741729,0.071013289684797,0.0744524342661712,-0.00343914458137419
42,J,RAW,7,"7,10,20",0.6416313408090584,0.6452711847234859,-0.0036398439144275097,-0.005640797234711899,0.0677553455085125,0.0724394698345336,-0.004684124326021097
42,L,F13,7,"10,20",0.6429581051618702,0.6467839796677569,-0.0038258745058866728,-0.005915227689857077,0.0694596929934252,0.074394084354944,-0.004934391361518797
42,L,F12,7,"10,20",0.6388366745334513,0.6468290858225909,-0.007992411289139634,-0.012356295448550304,0.0641768647290413,0.0744524342661712,-0.010275569537129894
42,L,RAW,7,"10,20",0.7585597346658063,0.6452711847234859,0.1132885499423204,0.1755673469145647,0.2314774390563409,0.0724394698345336,0.1590379692218073
42,T,F13,7,10,0.6781235373686109,0.6467839796677569,0.03133955770085395,0.04845444334745675,0.1159160999334003,0.074394084354944,0.04152201557845629
42,T,F13,7,20,0.7663141225011012,0.6467839796677569,0.11953014283334429,0.18480690089872837,0.2433019023447151,0.074394084354944,0.16890781798977111
42,T,F12,7,10,0.6432157526573351,0.6468290858225909,-0.0036133331652558054,-0.00558622554930508,0.0697910724666246,0.0744524342661712,-0.004661361799546598
42,T,F12,7,20,0.6995659952413847,0.6468290858225909,0.05273690941879383,0.08153144404711919,0.1454571496981517,0.0744524342661712,0.07100471543198052
42,T,RAW,7,10,0.7464401413673378,0.6452711847234859,0.10116895664385195,0.15678517658774002,0.2132374526445739,0.0724394698345336,0.1407979828100403
42,T,RAW,7,20,0.7693878561117176,0.6452711847234859,0.12411667138823168,0.1923480767879301,0.2480222411322674,0.0724394698345336,0.1755827712977338
42,J,F13,10,"7,10,20",0.532122463464405,0.5327884031904699,-0.0006659397260649902,-0.0012499140786045209,0.0401598205759463,0.0408689870267701,-0.0007091664508237991
42,J,F12,10,"7,10,20",0.540298025304228,0.5295622045905548,0.010735820713673183,0.020273011594499783,0.0489274606001675,0.037441632983328,0.0114858276168395
42,J,RAW,10,"7,10,20",0.539010233647639,0.5295160852265619,0.009494148421077098,0.017929858385727554,0.0475375364294017,0.0373927889661831,0.010144747463218598
42,L,F13,10,"7,20",0.5405302502991013,0.5327884031904699,0.00774184710863135,0.014530810096975154,0.0491784559409285,0.0408689870267701,0.008309468914158395
42,L,F12,10,"7,20",0.5431456761573509,0.5295622045905548,0.013583471566796068,0.0256503795947796,0.0520127299809452,0.037441632983328,0.014571096997617203
42,L,RAW,10,"7,20",0.6076491051257942,0.5295160852265619,0.07813301989923227,0.1475555173471299,0.1262429394126979,0.0373927889661831,0.0888501504465148
42,T,F13,10,7,0.5772081783292826,0.5327884031904699,0.04441977513881268,0.08337226349675778,0.0901747855827283,0.0408689870267701,0.0493057985559582
42,T,F13,10,20,0.6301531780013983,0.5327884031904699,0.09736477481092831,0.1827456720677172,0.1540985321977812,0.0408689870267701,0.11322954517101108
42,T,F12,10,7,0.5599818284546687,0.5295622045905548,0.0304196238641139,0.057442966285015835,0.0705851526519535,0.037441632983328,0.033143519668625505
42,T,F12,10,20,0.5577808395412445,0.5295622045905548,0.02821863495068966,0.05328672383730189,0.068124969411855,0.037441632983328,0.030683336428527004
42,T,RAW,10,7,0.5790290879754038,0.5295160852265619,0.04951300274884185,0.09350613537576846,0.0922801891741472,0.0373927889661831,0.05488740020796409
42,T,RAW,10,20,0.6501897886411074,0.5295160852265619,0.12067370341454553,0.22789431101590307,0.1797522657056874,0.0373927889661831,0.14235947673950428
42,J,F13,20,"7,10,20",0.4001298877083519,0.3831892065936531,0.01694068111469882,0.0442097032567603,0.0305172218141204,0.0172472628264955,0.0132699589876249
42,J,F12,20,"7,10,20",0.4007554534006532,0.3866863499410857,0.014069103459567522,0.03638376027938676,0.0310182282069852,0.0199396280073819,0.0110786001996033
42,J,RAW,20,"7,10,20",0.4019167136001743,0.3868710338576235,0.015045679742550777,0.03889068559236693,0.0319503394477866,0.0200824916146886,0.011867847833098001
42,L,F13,20,"7,10",0.5031211336843341,0.3831892065936531,0.11993192709068101,0.3129835731982423,0.1235441699364317,0.0172472628264955,0.10629690710993621
42,L,F12,20,"7,10",0.4213786399220383,0.3866863499410857,0.034692289980952584,0.0897168725667151,0.0479732529591689,0.0199396280073819,0.028033624951786996
42,L,RAW,20,"7,10",0.5313766561153271,0.3868710338576235,0.14450562225770364,0.3735240160442838,0.1527744454409287,0.0200824916146886,0.1326919538262401
42,T,F13,20,7,0.48096660128262,0.3831892065936531,0.0977773946889669,0.25516740296042156,0.1017421663259768,0.0172472628264955,0.0844949034994813
42,T,F13,20,10,0.4657847935223745,0.3831892065936531,0.08259558692872143,0.21554779077143635,0.0873687686533032,0.0172472628264955,0.0701215058268077
42,T,F12,20,7,0.4614260319906413,0.3866863499410857,0.07473968204955561,0.19328244211605275,0.0833272777752505,0.0199396280073819,0.06338764976786859
42,T,F12,20,10,0.4149214115212361,0.3866863499410857,0.028235061580150433,0.07301799400069911,0.0425730725153971,0.0199396280073819,0.022633444508015202
42,T,RAW,20,7,0.5009162136309353,0.3868710338576235,0.1140451797733118,0.29478862409555007,0.1213303478549749,0.0200824916146886,0.1012478562402863
42,T,RAW,20,10,0.49107114422956,0.3868710338576235,0.1042001103719365,0.2693406878590044,0.1115641634715514,0.0200824916146886,0.0914816718568628
