route,n,fold,seed,mean_magnitude,mean_absolute_error,compensation,rmsre
P,7,1,42,0.2167393174378329,0.1370465345953759,0.33044363600597876,0.2000116026057052
Q,7,1,42,1.3306248927951374,0.1441578342368706,0.8749034698866558,0.19813710418558012
QCP,7,1,42,0.22587001820324762,0.13922370355608005,0.3481537597836381,0.19228473149992567
P,7,1,2026,0.21400271145382163,0.13614113121818133,0.3217532842253098,0.19966710525188175
Q,7,1,2026,1.3521601851072835,0.1434773518709421,0.8760342743391792,0.19671323422500486
QCP,7,1,2026,0.22504786905697471,0.14161083633366084,0.332074714721351,0.19171272069369127
P,7,1,3407,0.21267621622180533,0.1372520835123791,0.3167693074366025,0.19963564061640326
Q,7,1,3407,1.3634857048945621,0.14181853925444904,0.8820801200674862,0.19674040753714117
QCP,7,1,3407,0.2213887329445725,0.14044090125317493,0.33017169762646725,0.1928619132750186
P,7,1,17,0.21472566699880047,0.13745894652357496,0.3227838219680522,0.19946370783356732
Q,7,1,17,1.3225124767561511,0.14495351229450798,0.8662959052152224,0.1971847897290908
QCP,7,1,17,0.2356935818970037,0.14195143042470473,0.36027205351708697,0.1928728840918375
P,7,1,73,0.21897942892199945,0.14114612395534826,0.31408409646618984,0.20200234034958336
Q,7,1,73,1.3638196098719937,0.1430966132976899,0.8756349889868615,0.19666261585301825
QCP,7,1,73,0.22253083583646677,0.1428287510755059,0.3210094029873675,0.19190888130436198
P,7,1,314,0.21477964601350152,0.1390335226838455,0.31810866721146774,0.1998656915625792
Q,7,1,314,1.4063687000711578,0.14341106702969952,0.8836110004797357,0.19648616555903692
QCP,7,1,314,0.2323277760600592,0.14100233894136224,0.3640221330852368,0.19272632742471182
P,7,1,2718,0.2125032866066942,0.13821059671218,0.3151310726521034,0.19927241331193532
Q,7,1,2718,1.3370568254507202,0.1436792439004432,0.87487729502541,0.1972019441460316
QCP,7,1,2718,0.23282656941601212,0.1399885043217523,0.35415142162490465,0.19169118122318132
P,7,1,4099,0.2171812830621547,0.14071783159047827,0.3174349803138717,0.20048141125645022
Q,7,1,4099,1.3507868789044941,0.1442024589570767,0.8751733013754548,0.19730946564148338
QCP,7,1,4099,0.23669514367833205,0.14369191650301397,0.3470741646640836,0.19282571798881953
P,7,1,8128,0.21398913731268882,0.13821075033454933,0.3172879400165255,0.19930706345850402
Q,7,1,8128,1.320822778065241,0.14550722881068898,0.8694370149789965,0.1965427244774205
QCP,7,1,8128,0.22919048888388208,0.1411903586176976,0.3499753987164174,0.19180165474418193
P,7,1,12011,0.21513264956030198,0.13847649150055455,0.31867701374023816,0.1994031020472726
Q,7,1,12011,1.339467370022423,0.14466242665943874,0.8686616299488268,0.19639763950328296
QCP,7,1,12011,0.22397622110667384,0.1401019130567818,0.3352017819708347,0.1914621779343165
P,7,2,42,0.22218938206981345,0.14275297987167804,0.3341717699031905,0.2131461708861522
Q,7,2,42,1.3417644708333907,0.14189867818672722,0.8744026744467789,0.20853268806639788
QCP,7,2,42,0.22763753607146897,0.14140892088444873,0.3624226510296821,0.20651503123684256
P,7,2,2026,0.21770140835251137,0.1409185202675231,0.3259185350469593,0.21462729388282695
Q,7,2,2026,1.3772567048075097,0.14189762516830368,0.8823505622989039,0.20644061984942422
QCP,7,2,2026,0.22091458284825147,0.14160152475687907,0.33784414718066214,0.20491185063335624
P,7,2,3407,0.2190929020226499,0.13956436255966484,0.3370576349291001,0.2138070537189311
Q,7,2,3407,1.3200111725858157,0.1416479685145102,0.8735892908660401,0.20701060060437082
QCP,7,2,3407,0.22327295374531364,0.14389104857914628,0.3286705660667594,0.20561824002809445
P,7,2,17,0.22009581769528083,0.13947211061615486,0.34263720067067016,0.21418392655789842
