route,term,p05,p25,p50,p75,p95
P,c_beta,-0.19151489571519736,-0.08009020341911409,-0.029444134334474723,0.023286042580140637,0.1508040949729344
P,c_eta,-0.007812061599751325,-0.003445060964194133,-0.0012795185926644708,0.0011439074077767369,0.0066077328698246965
P,c_gamma,-0.17734650381711192,-0.053619693893714515,0.0005751516814684815,0.0600552702874515,0.21923934513950455
P,sum,-0.2236306799018016,-0.09987636264132504,-0.03328173572958884,0.038818011071861336,0.24896160008673823
Q,c_beta,0.04229552845799262,0.15986092099306395,0.2644685364316311,0.4320082051561228,1.0727379056067985
Q,c_eta,-1.3662900013936574,-0.9567187766691807,-0.6307938773422592,-0.4666756123396073,-0.37958855637036104
Q,c_gamma,0.012558296561443923,0.19457845509774618,0.31728282202755576,0.47722763279795144,0.7634597053507193
Q,sum,-0.24727366186275063,-0.11198968554032254,-0.03890470087065313,0.0347417503286318,0.22780938622687705
QCP,c_beta,-0.18861996172191967,-0.08023779162701021,-0.029609665583910004,0.022763123595925985,0.1557420180712356
QCP,c_eta,-0.018046742876527546,-0.007260484496246713,-0.0023480483317441913,0.0013208914571342487,0.010732156385741662
QCP,c_gamma,-0.1974904875160264,-0.06050332473205572,-0.0004862757247516571,0.05751038006224181,0.19945608976100151
QCP,sum,-0.24144314252344617,-0.10763551667149937,-0.03699170624316373,0.034042731783343064,0.22870210752469686
