reliability,n,beta,gamma_over_eta,p_rmsre,q_rmsre,qcp_rmsre,qcp_vs_q_relative_rmsre_improvement,delta_mse,relative_rmsre_gain,difficulty_quartile
0.95,7,1.5,0.1,0.636791077281056,0.5578216475192304,0.5477913899310654,0.0179811192928277,0.10542746922215934,0.1397627738912388,Q4
0.95,7,1.5,0.25,0.3819479546925787,0.3109322140156854,0.318381000090966,-0.0239563021762191,0.04451777887492048,0.1664283152210524,Q4
0.95,7,1.5,0.5,0.2439182883264237,0.2781739545481677,0.2666581395916788,0.0413978906659099,-0.011610432030402879,-0.09322733207615608,Q4
0.95,7,1.5,0.75,0.165568810970603,0.2004978880215202,0.1963724205248257,0.02057611447883,-0.011149096376559722,-0.18604717503039825,Q4
0.95,7,1.5,1.0,0.1094463450277159,0.1328087966528956,0.1333186823820482,-0.0038392466613882,-0.005795368632159617,-0.21811909158123943,Q2
0.95,7,2.0,0.1,0.438092562869467,0.4070913525405584,0.3948706255999492,0.030019618113582,0.03600228267984265,0.0986593723171606,Q4
0.95,7,2.0,0.25,0.2820869403248531,0.2552072484387245,0.2561262888344215,-0.0036011531855754,0.01397236606974371,0.09203067487114125,Q4
0.95,7,2.0,0.5,0.2059659387832386,0.2515805659080877,0.2382199267289197,0.0531068015168118,-0.014326765551871082,-0.15659864993320882,Q4
0.95,7,2.0,0.75,0.1498603731029644,0.1779412818529601,0.1775606347425778,0.0021391725765855,-0.009069647583627431,-0.18484046893825234,Q3
0.95,7,2.0,1.0,0.1019089431284902,0.1155769636804969,0.1143820902907629,0.010338335181024,-0.0026978298897183863,-0.12239502029322535,Q2
0.95,7,2.5,0.1,0.3014608445304866,0.2865881549800793,0.2786271571096085,0.0277785307317536,0.01324554810605176,0.0757434600053638,Q4
0.95,7,2.5,0.25,0.2313472596937656,0.2298255430867809,0.2280468744654198,0.0077392120887512,0.0015161776143676822,0.01426593612007565,Q4
0.95,7,2.5,0.5,0.2024741077730127,0.2347341826679188,0.2329007371951145,0.0078107306399348,-0.01324698906755023,-0.1502741745932874,Q4
0.95,7,2.5,0.75,0.1295681719722787,0.1460877653932055,0.1464732362290207,-0.0026386250400755,-0.004666497743164511,-0.13047235288893977,Q3
0.95,7,2.5,1.0,0.0963774363930786,0.1046189535200848,0.102350424747561,0.0216837264778055,-0.001186999200304236,-0.061974966112621654,Q2
0.95,7,3.0,0.1,0.2398505747252735,0.2215900334866814,0.2193969108190206,0.0098972080700216,0.00939329371911473,0.08527669333159049,Q4
0.95,7,3.0,0.25,0.1937098174327211,0.1954422326805986,0.1938036993683776,0.0083837218279161,-3.638051905035383e-05,-0.0004846524399266805,Q4
0.95,7,3.0,0.5,0.1609337774504853,0.1869599838016027,0.1843451976397879,0.013985806527399,-0.008083471168370136,-0.1454723834870877,Q4
0.95,7,3.0,0.75,0.1238507312151332,0.1315007584997923,0.1341379046320538,-0.0200542275371411,-0.002653973836554793,-0.08306106323305773,Q3
0.95,7,3.0,1.0,0.0896298625377042,0.0958445295455563,0.0917126277520301,0.0431104603790902,-0.00037769383065468926,-0.023237402751228542,Q2
0.95,7,3.5,0.1,0.1749163821548711,0.1706948888119883,0.1575527796473874,0.0769918142017495,0.005772862371530702,0.09926801762976067,Q4
0.95,7,3.5,0.25,0.1685139964600147,0.1752527763584289,0.173537400570285,0.009788009204691,-0.0017182623937657057,-0.029810011131403247,Q4
0.95,7,3.5,0.5,0.142112211140266,0.1621187056306503,0.1601046249134929,0.0124234936944664,-0.005437610363514703,-0.12660709188085328,Q3
0.95,7,3.5,0.75,0.1092595083725717,0.114745550758212,0.1145682507166035,0.0015451583127792,-0.001188243902446453,-0.04858837846797859,Q2
0.95,7,3.5,1.0,0.0848133878758783,0.0904886376637833,0.085016380873561,0.0604745184755108,-3.447425385420897e-05,-0.002393407488682886,Q2
0.95,7,4.0,0.1,0.1479482464556099,0.1434996835729395,0.1306236483980552,0.089728665975347,0.004826146108471131,0.1170990428923584,Q3
0.95,7,4.0,0.25,0.1518428793339123,0.1616115076004967,0.1594453434852047,0.0134035264409933,-0.0023665575547018557,-0.050067966207187675,Q3
0.95,7,4.0,0.5,0.1390884910501223,0.155078780247494,0.1533473696519329,0.0111647163641467,-0.0041698074365666,-0.10251659568779292,Q3
0.95,7,4.0,0.75,0.1041243439526751,0.1075607412114956,0.1065465070482037,0.0094294084613795,-0.0005102791605979332,-0.023262217110625816,Q2
0.95,7,4.0,1.0,0.083450275195091,0.0870389813149594,0.0825181387262446,0.0519404354280717,0.00015470521129267237,0.011169962791222066,Q1
0.95,7,4.5,0.1,0.1578672412985353,0.1550620751689717,0.1416445511684055,0.0865300170009017,0.004858886999510929,0.10276159890228176,Q3
0.95,7,4.5,0.25,0.16450658990908,0.1763516700489606,0.1730947140798533,0.0184685292075948,-0.002899361918871947,-0.0522053504088793,Q4
0.95,7,4.5,0.5,0.1453236193156848,0.1562050386872246,0.1562588328148448,-0.0003443815133762,-0.0032978685016475384,-0.07524732421785862,Q3
0.95,7,4.5,0.75,0.1015532988628107,0.1016715773484465,0.1000424516053917,0.0160234136770736,0.0003045803867022089,0.014877382363127523,Q2
0.95,7,4.5,1.0,0.0975857342917176,0.0979183623967708,0.0957845240601972,0.0217920141262897,0.00034830048781521114,0.01845772073749996,Q2
0.95,7,5.0,0.1,0.1494132953598406,0.1431724649217003,0.136231253038487,0.0484814722370627,0.003765378525850696,0.08822536367735245,Q3
0.95,7,5.0,0.25,0.1754634904113546,0.187025297926413,0.1843465253405831,0.0143230494244896,-0.0031962049378107225,-0.05062611548649376,Q4
0.95,7,5.0,0.5,0.142250699721197,0.1481884532843646,0.1494454895568503,-0.0084826870422457,-0.0020986927777164946,-0.05057823862908695,Q3
0.95,7,5.0,0.75,0.1024989689309707,0.1001049069881455,0.0993971271439778,0.0070703811177967,0.0006262497474360078,0.030262175506193367,Q2
0.95,7,5.0,1.0,0.1017772967355232,0.1001590049833284,0.1000900206118207,0.0006887485705266,0.0003406059047160494,0.016578118871510616,Q2
0.95,10,1.5,0.1,0.537657732351106,0.4571293481095499,0.4508699626981648,0.0136928102237816,0.08579211389348904,0.16141824888006318,Q4
0.95,10,1.5,0.25,0.2780583830355084,0.2366015385399626,0.240999782860906,-0.0185892464946947,0.019235569037317657,0.1332763276907568,Q4
0.95,10,1.5,0.5,0.1962601093192037,0.2504739687681772,0.2316200495536798,0.0752729687129579,-0.015129816845263287,-0.18016875847636227,Q4
0.95,10,1.5,0.75,0.1265123656273503,0.1497728484813524,0.1484280723939463,0.0089787708589483,-0.006025514017954193,-0.1732297602524484,Q3
0.95,10,1.5,1.0,0.0895450861873971,0.1025809474256813,0.1036134315832073,-0.010065067475361,-0.002717420744139604,-0.1571090720306909,Q2
0.95,10,2.0,0.1,0.3616819275364002,0.3201635375272659,0.325622611244182,-0.0170508914259207,0.02478373175296615,0.09969897179501497,Q4
0.95,10,2.0,0.25,0.2359865758009546,0.2315912701193203,0.232470679014043,-0.0037972454413744,0.0016470473570094832,0.014898715212839586,Q4
0.95,10,2.0,0.5,0.1895385185862848,0.2259781454627612,0.2175968890222246,0.0370887920306332,-0.0114235560842669,-0.14803518907512525,Q4
0.95,10,2.0,0.75,0.1267243928157051,0.1346432027221295,0.1383100100473918,-0.0272335123580635,-0.003070587144800487,-0.09142373440712093,Q3
0.95,10,2.0,1.0,0.0906183944850569,0.0947350920475192,0.0963522352657095,-0.0170701604150986,-0.0010720598216492436,-0.06327457922020585,Q2
0.95,10,2.5,0.1,0.2532906878424471,0.2273839048674857,0.2312080494513667,-0.0168180091115493,0.010699010416594365,0.08718298560117754,Q4
0.95,10,2.5,0.25,0.2117035833386674,0.2149271534441809,0.2167911666968927,-0.0086727675998182,-0.002180002759367819,-0.02403163554433818,Q4
0.95,10,2.5,0.5,0.1607876582818192,0.1843023099731403,0.1803901643218919,0.0212267857728889,-0.006687940328328097,-0.12191548934505003,Q3
0.95,10,2.5,0.75,0.1171907217517008,0.1170619145043572,0.1200621259710295,-0.0256292704538042,-0.0006812488279987986,-0.02450197572306556,Q3
0.95,10,2.5,1.0,0.0833747539123438,0.0894417304190573,0.0847233482692663,0.052753699282026,-0.0002266961520115008,-0.01617509250270599,Q1
0.95,10,3.0,0.1,0.217070152582881,0.1980749498602016,0.2000354908358045,-0.009897975372386,0.007105253548434019,0.07847537556123663,Q4
0.95,10,3.0,0.25,0.17147615833507,0.1773985631406355,0.1768709260059121,0.0029743033166798,-0.0018792515888348404,-0.03146074488268247,Q4
0.95,10,3.0,0.5,0.1570999468393627,0.1712972944347049,0.1703394329280079,0.0055918075639082,-0.004335129113304713,-0.08427428751572275,Q3
0.95,10,3.0,0.75,0.1075089394582719,0.1082943999340127,0.1091999885954181,-0.0083622852331905,-0.000366465445797071,-0.01572938162786497,Q2
0.95,10,3.0,1.0,0.074077073484386,0.0801099896836929,0.0734177369142593,0.0835383052208267,9.724872239972975e-05,0.008900683289893574,Q1
0.95,10,3.5,0.1,0.1561794138732227,0.1417886645246669,0.1413457674222926,0.0031236425271305,0.0044133833495865575,0.09497824382265374,Q3
0.95,10,3.5,0.25,0.1468714986075669,0.1548790272581725,0.1527561189298013,0.0137068805631922,-0.0017631947672630682,-0.04006645522122576,Q3
0.95,10,3.5,0.5,0.1252164248570346,0.1401038334772311,0.1360280296151856,0.0290913086450834,-0.0028244717870124156,-0.08634334329937232,Q3
0.95,10,3.5,0.75,0.0896346650483614,0.0876395108539636,0.0877412936704244,-0.0011613804717642,0.00033583856337228435,0.021123204698934916,Q2
0.95,10,3.5,1.0,0.0750183503927644,0.0816865414412715,0.0737642479981321,0.0969840723252449,0.0001865886129216402,0.016717275014264565,Q1
0.95,10,4.0,0.1,0.1463135019802747,0.1433967806168371,0.1321369157065862,0.0785224386615611,0.003947476369282384,0.09689185264391886,Q3
0.95,10,4.0,0.25,0.146102458896106,0.1576655326107779,0.1548494582977009,0.0178610649166356,-0.0026324262396030564,-0.059868940383918545,Q3
0.95,10,4.0,0.5,0.1084124013033779,0.115466568336776,0.1127869842208102,0.023206579658195,-0.0009676550532606333,-0.04035131465440567,Q2
0.95,10,4.0,0.75,0.0857280238178924,0.0874172009717415,0.083646770291881,0.043131450537741,0.0003525118874584199,0.024277400006705974,Q2
0.95,10,4.0,1.0,0.0671460266081681,0.0736098514102754,0.0660789749130215,0.1023079975434193,0.00014215796370909296,0.015891509133867165,Q1
0.95,10,4.5,0.1,0.1256871017490761,0.1267337581078068,0.1154549794726557,0.0889958508573281,0.0024673952610512594,0.0814094854128149,Q3
0.95,10,4.5,0.25,0.1311239303256599,0.1420981334125106,0.1401872981701604,0.013447293053478,-0.0024589934642009516,-0.06912062368776395,Q3
0.95,10,4.5,0.5,0.1103960641285747,0.1155386264547546,0.1124159859598506,0.027026809913885,-0.00045006292424495074,-0.018297045707384774,Q2
0.95,10,4.5,0.75,0.0844063668128727,0.0850516312754307,0.0819340143915487,0.036655580112107,0.00041125204423470875,0.02929106552832872,Q1
0.95,10,4.5,1.0,0.0679941027615022,0.0720501828078261,0.0665291905556756,0.0766270401683257,0.00019706481434832428,0.0215446950004613,Q1
0.95,10,5.0,0.1,0.1244419954913886,0.1329224696731853,0.120302815980016,0.0949399580386753,0.0010130427091571848,0.033261918494862264,Q3
0.95,10,5.0,0.25,0.1392334236006337,0.1514258827714927,0.1504852763700368,0.0062116619975418,-0.003259872156612855,-0.08081287149612182,Q3
0.95,10,5.0,0.5,0.1096099927910782,0.1090130565395319,0.1090905434470605,-0.0007108039164144,0.00011360385008522128,0.004739069228914206,Q2
0.95,10,5.0,0.75,0.0851553454578425,0.0869024276949177,0.0823994688655172,0.0518162604755841,0.0004617603907251574,0.03236293127000034,Q2
0.95,10,5.0,1.0,0.0732495683173697,0.0740614544239609,0.0727547501410852,0.0176435136609055,7.22455905892731e-05,0.006755236756353145,Q1
0.95,15,1.5,0.1,0.4307019394354354,0.3822678304328238,0.3793387479804986,0.0076623828089555,0.04160627491403324,0.11925460916722064,Q4
0.95,15,1.5,0.25,0.2230044334373865,0.2032282467138093,0.2010860149059116,0.0105410140693406,0.009295391941989237,0.09828691830751868,Q4
0.95,15,1.5,0.5,0.1556961597150704,0.1945324613891711,0.1823380890708419,0.0626855396330682,-0.009005884575985564,-0.17111487787834467,Q3
0.95,15,1.5,0.75,0.0963542822721169,0.1146837584083115,0.1108171830765018,0.0337151082722928,-0.0029963003528361374,-0.15010127690578212,Q2
0.95,15,1.5,1.0,0.0668680866615994,0.0727073268212625,0.0734021517234687,-0.0095564633247248,-0.0009165348638519527,-0.09771574734800437,Q1
0.95,15,2.0,0.1,0.2943730197059916,0.2720996419307352,0.2727966144791118,-0.0025614607333956,0.012237481859558974,0.07329613715424566,Q4
0.95,15,2.0,0.25,0.2174541556110764,0.2081248611848644,0.2112420677265123,-0.0149775789586187,0.0026630986151538125,0.02856734499787905,Q4
0.95,15,2.0,0.5,0.1424870014909211,0.1615039038439873,0.1604557095099932,0.0064902105091317,-0.005443489120481565,-0.1261076998677455,Q3
0.95,15,2.0,0.75,0.1134659124119917,0.1225269524092609,0.1198539857005921,0.0218153365941937,-0.001490464608831961,-0.056299492533100626,Q3
0.95,15,2.0,1.0,0.0749990443962251,0.0775629560576446,0.0792102591057665,-0.0212382705849636,-0.0006494084872557216,-0.0561502448923652,Q1
0.95,15,2.5,0.1,0.228384249638285,0.2061130798152581,0.2125830170221103,-0.0313902310937824,0.00696782635661964,0.0691870505133374,Q4
0.95,15,2.5,0.25,0.181081953921535,0.1802717416431422,0.1815783396828949,-0.0072479359651342,-0.00018001940595584187,-0.0027412215884030644,Q4
0.95,15,2.5,0.5,0.1230288979656893,0.1342392722419438,0.1352607146405787,-0.0076091175225824,-0.003159351190428074,-0.09942230546761999,Q3
0.95,15,2.5,0.75,0.0983802746814456,0.101982269923886,0.1008089810215614,0.0115048321948538,-0.0004837722082088394,-0.024686923755599555,Q2
0.95,15,2.5,1.0,0.0741988228576811,0.0768122310249385,0.076722123668358,0.001173086048642,-0.00038081894671727814,-0.034007288977033756,Q1
0.95,15,3.0,0.1,0.1761988941033715,0.1607423484858344,0.1636348951410011,-0.0179949259321761,0.004269671375444695,0.07130577649936565,Q4
0.95,15,3.0,0.25,0.1488068158258157,0.1496708912342303,0.1500641862213901,-0.0026277319785867,-0.00037579155006980947,-0.008449682822634808,Q3
0.95,15,3.0,0.5,0.1218759695825445,0.1327707219356381,0.1308904898543516,0.0141614962536544,-0.0022785683726268043,-0.07396470610805439,Q3
0.95,15,3.0,0.75,0.0943214174700921,0.0950668377689098,0.0946426032130969,0.0044624872959816,-6.069254938430649e-05,-0.003405225998714956,Q2
0.95,15,3.0,1.0,0.0640475313602626,0.0670442549011069,0.0648070368720685,0.0333692727637645,-9.78657547938246e-05,-0.011858466605586093,Q1
0.95,15,3.5,0.1,0.1509096281665912,0.145494250569162,0.1399934428392913,0.0378077326653933,0.0031755518353808986,0.07233591030553321,Q3
0.95,15,3.5,0.25,0.1333816313810763,0.1374279456368487,0.1355050056848271,0.0139923502684305,-0.000570946975767702,-0.015919540657620468,Q3
0.95,15,3.5,0.5,0.1043402203046677,0.1102469534590957,0.1108190053899397,-0.0051888230277145,-0.0013939703823888944,-0.06209288293962101,Q2
0.95,15,3.5,0.75,0.0774237600955532,0.080441534635344,0.0752446689099568,0.0646042588439611,0.0003326784279647551,0.028144992995781215,Q1
0.95,15,3.5,1.0,0.0616907583570337,0.0674730851444307,0.0604953621108957,0.1034149100874635,0.0001460608297375282,0.019377233770083935,Q1
0.95,15,4.0,0.1,0.1195371617881475,0.1194758046706081,0.1111721420744911,0.0695007882056957,0.001929887874934916,0.06997840327246097,Q3
0.95,15,4.0,0.25,0.1152680379730869,0.1218476420553509,0.1198486304778022,0.0164058289830559,-0.0010769736492397732,-0.03973861779259913,Q3
0.95,15,4.0,0.5,0.0888744604470093,0.0941874222032,0.0923657977129201,0.0193404219764071,-0.0006327708673970547,-0.039283920806388206,Q2
0.95,15,4.0,0.75,0.0597882094663382,0.0654210434282903,0.0563262754042422,0.1390189998118442,0.0004019806902761931,0.057903290514915495,Q1
0.95,15,4.0,1.0,0.051267328962413,0.0594277727412491,0.0509214517765073,0.1431371322256804,3.534476791311209e-05,0.006746541957730612,Q1
0.95,15,4.5,0.1,0.1009989028234547,0.1070181874855057,0.096429798462481,0.0989400892671515,0.0009020723400269427,0.04523914847828059,Q2
0.95,15,4.5,0.25,0.103542294432058,0.1137840576866934,0.1115659016397465,0.01949443614548,-0.0017259436724346034,-0.07749110884299948,Q2
0.95,15,4.5,0.5,0.0789055060085857,0.0834313663444853,0.0806561704833667,0.0332632196104749,-0.00027933895857095836,-0.02218684808371285,Q1
0.95,15,4.5,0.75,0.0706027245933371,0.0771007428425814,0.0677651858882304,0.1210825811809826,0.00039262430153618605,0.04019021534155465,Q1
0.95,15,4.5,1.0,0.0485170619242101,0.0550768506647774,0.0471141009792066,0.1445752542031796,0.000134166786678761,0.028916857067625146,Q1
0.95,15,5.0,0.1,0.1009208923006007,0.1120444465355081,0.0998004060661283,0.1092784234111909,0.00022490545178534445,0.01110261917953459,Q2
0.95,15,5.0,0.25,0.1046364075288418,0.1151914784829716,0.113827827220095,0.0118381262297818,-0.0020079964691059396,-0.08784150668322299,Q2
0.95,15,5.0,0.5,0.0865438568323939,0.0871714278533546,0.0888983554149277,-0.0198107063759268,-0.0004130784400529124,-0.02720584301082929,Q2
0.95,15,5.0,0.75,0.0649772347529542,0.0669269601005862,0.0618986525624169,0.0751312704269269,0.00039059784709771696,0.04737939683401693,Q1
0.95,15,5.0,1.0,0.0589154138792459,0.0660377213058307,0.0579626313915589,0.1222799599167695,0.00011135935472911121,0.016172040981326963,Q1
0.95,20,1.5,0.1,0.3209407813321,0.2839839352653648,0.2866515480588562,-0.0093935341483267,0.020833875117520106,0.10683975134267021,Q4
0.95,20,1.5,0.25,0.1905374034580573,0.178270298799499,0.1794146479687341,-0.0064191801827973,0.004114886210793728,0.058375706225951784,Q4
0.95,20,1.5,0.5,0.1315750460662576,0.1460074836308048,0.1418581030884693,0.0284189579818227,-0.0028117286645209724,-0.07815355061349116,Q3
0.95,20,1.5,0.75,0.0855937384467508,0.0920771144495684,0.0901295538281952,0.0211514080672017,-0.0007970484119787478,-0.05299237378521782,Q2
0.95,20,1.5,1.0,0.0593467453468405,0.0634426634283308,0.0592227282983156,0.0665157309289558,1.4704636166623652e-05,0.002089702607954491,Q1
0.95,20,2.0,0.1,0.2501174926664463,0.2288576019852468,0.2377912295915477,-0.0390357476824248,0.006014091267089669,0.04928189125634952,Q4
0.95,20,2.0,0.25,0.1700804509550285,0.1777355094038201,0.1748580630671895,0.0161894848490461,-0.001647982422543371,-0.028090307177185636,Q4
0.95,20,2.0,0.5,0.1317354251079889,0.1463637834219297,0.1390033502531343,0.0502886232967695,-0.001967709153212975,-0.055170620500807344,Q3
0.95,20,2.0,0.75,0.0926465316333151,0.0948441329040068,0.0950653505399511,-0.0023324335324795,-0.0004540410496009263,-0.026108035174046584,Q2
0.95,20,2.0,1.0,0.068611245814015,0.0752038245803217,0.067076435500006,0.108071486066978,0.00020825485276472575,0.022369661063572854,Q1
0.95,20,2.5,0.1,0.1916309625794181,0.1748410346963473,0.1831669459230744,-0.0476198922134441,0.003172295740327881,0.04416831467324056,Q4
0.95,20,2.5,0.25,0.1582476223541763,0.1603863351107525,0.1595074144726485,0.0054800219575878,-0.0004003052909992734,-0.007960891290060834,Q3
0.95,20,2.5,0.5,0.1119044736663769,0.1185372954749891,0.1133842372035579,0.043472041864819,-0.0003333740196838422,-0.013223452903166732,Q2
0.95,20,2.5,0.75,0.0880831748013248,0.0866217291614082,0.08892294316959,-0.0265662441798382,-0.00014864413886139186,-0.009533811311403406,Q2
0.95,20,2.5,1.0,0.0612904301631832,0.0635995846680628,0.0593440125776045,0.0669119478164655,0.00023480500077715594,0.03175728381080778,Q1
0.95,20,3.0,0.1,0.1805577408033384,0.164250045136626,0.1697647090831421,-0.0335748093215376,0.003781041313921662,0.05977606760128862,Q4
0.95,20,3.0,0.25,0.1428120680539394,0.1411906644797815,0.145156568555192,-0.0280889964646238,-0.0006751426128751362,-0.016416683360170214,Q3
0.95,20,3.0,0.5,0.1058499723643001,0.1112511681351852,0.1056871953636454,0.0500127132577953,3.4433385689746146e-05,0.0015378086268599267,Q2
0.95,20,3.0,0.75,0.0769939941907391,0.0760097652532633,0.0769118235833872,-0.0118676636760847,1.2646534521490276e-05,0.001067233986437155,Q1
0.95,20,3.0,1.0,0.0558339182392556,0.058614597634255,0.0554583702517927,0.0538471218749407,4.179559496295376e-05,0.0067261621484924206,Q1
0.95,20,3.5,0.1,0.1322996462883928,0.126033449844861,0.1217948288264636,0.0336309211849305,0.0026692160791662797,0.07940170481658226,Q3
0.95,20,3.5,0.25,0.1123470972237568,0.1133183011644939,0.1156002187101073,-0.0201372375173618,-0.0007415403112203799,-0.02895599055729403,Q2
0.95,20,3.5,0.5,0.0827098084864097,0.0874273568848919,0.0822448982930372,0.0592773106326203,7.66891246265361e-05,0.005620980170071177,Q1
0.95,20,3.5,0.75,0.06365628774931,0.0656128509394994,0.0640939719497012,0.0231491082623244,-5.5914270266131313e-05,-0.006875741829540649,Q1
0.95,20,3.5,1.0,0.0515273884849723,0.0597691779246258,0.050918078804726,0.1480880183940604,6.24210149169687e-05,0.01182496722930182,Q1
0.95,20,4.0,0.1,0.097887042474436,0.1036646705534556,0.0900156618711448,0.1316649983976224,0.0014790537022917657,0.08041289637846472,Q2
0.95,20,4.0,0.25,0.1023479906608664,0.1095981475992563,0.1080059725997288,0.0145273896904656,-0.0011901789248965709,-0.05528180770651692,Q2
0.95,20,4.0,0.5,0.0714969289035297,0.0786004253351317,0.0706828510495775,0.1007319521719596,0.00011574541013962148,0.011386193315388815,Q1
0.95,20,4.0,0.75,0.0604709406404288,0.063939246958243,0.0606033438597936,0.0521730119941516,-1.603062505011908e-05,-0.002189534641971136,Q1
0.95,20,4.0,1.0,0.0456251673754208,0.052728180997481,0.0447450451344926,0.1514016928323342,7.953683394738278e-05,0.019290279719660575,Q1
0.95,20,4.5,0.1,0.0830984314530421,0.0955390929249129,0.0802437285299832,0.1600953486857026,0.000466293341562298,0.03435327085171358,Q1
0.95,20,4.5,0.25,0.0990621099052236,0.1081456308908524,0.1053524752439695,0.0258277252985089,-0.0012858424211566067,-0.06349920615222238,Q2
0.95,20,4.5,0.5,0.0621334107779105,0.0717894181670801,0.0604542607041898,0.1578945442420119,0.00020584309760641756,0.02702491385387884,Q1
0.95,20,4.5,0.75,0.0576747739356422,0.060160639777007,0.0577076219541785,0.0407744637011986,-3.790083078951314e-06,-0.0005695387479620617,Q1
0.95,20,4.5,1.0,0.0436562376376061,0.0534341635716939,0.0418320673569025,0.2171288074758485,0.0001559452253187077,0.041784871519304545,Q1
0.95,20,5.0,0.1,0.0800188558582728,0.0987676731772602,0.0830782439749866,0.1588518661780712,-0.0004989773291003584,-0.03823333992843514,Q1
0.95,20,5.0,0.25,0.1025977995433024,0.1110100615709887,0.1106924057419832,0.0028615048447865,-0.001726500217820174,-0.07889648934687332,Q2
0.95,20,5.0,0.5,0.0705926131820416,0.0739168274819528,0.0699872943193312,0.0531615505763021,8.509566972866346e-05,0.008574818744128687,Q1
0.95,20,5.0,0.75,0.055797090455154,0.0587141821466819,0.0563006155382167,0.0411070463765573,-5.644400672145033e-05,-0.00902421755247973,Q1
0.95,20,5.0,1.0,0.0470282922501778,0.0527533549347251,0.0453157891333093,0.1409875411832815,0.00015813952719357987,0.036414316466318764,Q1
