fit_id,rule_id,module,route,n,loss,architecture,optimizer,training_size,seed,fit_kind,test_state
G3-fit-0000,A-E1_historical,A-E1,H0_hsm,shared,raw_train_z_mse,historical_128_64_32,adam_historical,7000,420101,historical,sealed
G3-fit-0001,A-E1_historical,A-E1,H0_hsm,shared,raw_train_z_mse,historical_128_64_32,adam_historical,7000,420102,historical,sealed
G3-fit-0002,A-E1_historical,A-E1,H0_hsm,shared,raw_train_z_mse,historical_128_64_32,adam_historical,7000,420103,historical,sealed
G3-fit-0003,A-E1_historical,A-E1,H0_hsm,shared,raw_train_z_mse,historical_128_64_32,adam_historical,7000,420104,historical,sealed
G3-fit-0004,A-E1_historical,A-E1,H0_hsm,shared,raw_train_z_mse,historical_128_64_32,adam_historical,7000,420105,historical,sealed
G3-fit-0005,A-E1_historical,A-E1,H0_hsm,shared,raw_train_z_mse,historical_128_64_32,adam_historical,7000,420106,historical,sealed
G3-fit-0006,A-E1_historical,A-E1,H0_hsm,shared,raw_train_z_mse,historical_128_64_32,adam_historical,7000,420107,historical,sealed
G3-fit-0007,A-E1_historical,A-E1,H0_hsm,shared,raw_train_z_mse,historical_128_64_32,adam_historical,7000,420108,historical,sealed
G3-fit-0008,A-E1_historical,A-E1,H0_hsm,shared,raw_train_z_mse,historical_128_64_32,adam_historical,7000,420109,historical,sealed
G3-fit-0009,A-E1_historical,A-E1,H0_hsm,shared,raw_train_z_mse,historical_128_64_32,adam_historical,7000,420110,historical,sealed
G3-fit-0010,A-E1_historical,A-E1,H0_kde_scott1024,shared,raw_train_z_mse,historical_128_64_32,adam_historical,7000,420101,historical,sealed
G3-fit-0011,A-E1_historical,A-E1,H0_kde_scott1024,shared,raw_train_z_mse,historical_128_64_32,adam_historical,7000,420102,historical,sealed
G3-fit-0012,A-E1_historical,A-E1,H0_kde_scott1024,shared,raw_train_z_mse,historical_128_64_32,adam_historical,7000,420103,historical,sealed
G3-fit-0013,A-E1_historical,A-E1,H0_kde_scott1024,shared,raw_train_z_mse,historical_128_64_32,adam_historical,7000,420104,historical,sealed
G3-fit-0014,A-E1_historical,A-E1,H0_kde_scott1024,shared,raw_train_z_mse,historical_128_64_32,adam_historical,7000,420105,historical,sealed
