method_id,admitted_core,contract_id,case_status,residual,message
mle,False,core,contract_pass,,"finite, converged, and support-legal estimate"
mle,False,determinism,contract_pass,0.0,normalized residual 0 <= 1e-12
mle,False,scale_equivariance,contract_failure,0.9999999998242747,normalized residual 1 > 0.001
mle,False,translation_equivariance,contract_pass,1.254514064093588e-07,normalized residual 1.25451e-07 <= 0.001
mle,False,failure_propagation,contract_pass,,degenerate sample propagated as invalid or unconverged
mps,False,core,implementation_not_admitted,,repository implementation is pending or raises NotImplementedError
mps,False,determinism,implementation_not_admitted,,repository implementation is pending or raises NotImplementedError
mps,False,scale_equivariance,implementation_not_admitted,,repository implementation is pending or raises NotImplementedError
mps,False,translation_equivariance,implementation_not_admitted,,repository implementation is pending or raises NotImplementedError
mps,False,failure_propagation,implementation_not_admitted,,repository implementation is pending or raises NotImplementedError
wmle,True,core,contract_pass,,"finite, converged, and support-legal estimate"
wmle,True,determinism,contract_pass,0.0,normalized residual 0 <= 1e-12
wmle,True,scale_equivariance,contract_pass,2.186944880496554e-08,normalized residual 2.18694e-08 <= 0.001
wmle,True,translation_equivariance,contract_pass,4.4289699852274653e-08,normalized residual 4.42897e-08 <= 0.001
wmle,True,failure_propagation,contract_pass,,degenerate sample propagated as invalid or unconverged
mdm,True,core,contract_pass,,"finite, converged, and support-legal estimate"
mdm,True,determinism,contract_pass,0.0,normalized residual 0 <= 1e-12
mdm,True,scale_equivariance,contract_pass,3.1728812595773653e-12,normalized residual 3.17288e-12 <= 0.001
mdm,True,translation_equivariance,contract_pass,2.0144494087834084e-10,normalized residual 2.01445e-10 <= 0.001
mdm,True,failure_propagation,contract_pass,,degenerate sample propagated as invalid or unconverged
lre,False,core,contract_pass,,"finite, converged, and support-legal estimate"
lre,False,determinism,contract_pass,0.0,normalized residual 0 <= 1e-12
lre,False,scale_equivariance,contract_pass,2.863853261392277e-15,normalized residual 2.86385e-15 <= 0.001
lre,False,translation_equivariance,contract_failure,1.0,normalized residual 1 > 0.001
lre,False,failure_propagation,contract_pass,,degenerate sample propagated as invalid or unconverged
mmle,False,core,contract_pass,,"finite, converged, and support-legal estimate"
mmle,False,determinism,contract_pass,0.0,normalized residual 0 <= 1e-12
mmle,False,scale_equivariance,contract_pass,2.835739834165491e-15,normalized residual 2.83574e-15 <= 0.001
mmle,False,translation_equivariance,contract_failure,0.005656892172708286,normalized residual 0.00565689 > 0.001
mmle,False,failure_propagation,contract_pass,,degenerate sample propagated as invalid or unconverged
lse,False,core,implementation_not_admitted,,repository implementation is pending or raises NotImplementedError
lse,False,determinism,implementation_not_admitted,,repository implementation is pending or raises NotImplementedError
lse,False,scale_equivariance,implementation_not_admitted,,repository implementation is pending or raises NotImplementedError
lse,False,translation_equivariance,implementation_not_admitted,,repository implementation is pending or raises NotImplementedError
lse,False,failure_propagation,implementation_not_admitted,,repository implementation is pending or raises NotImplementedError
mm,False,core,implementation_not_admitted,,repository implementation is pending or raises NotImplementedError
mm,False,determinism,implementation_not_admitted,,repository implementation is pending or raises NotImplementedError
mm,False,scale_equivariance,implementation_not_admitted,,repository implementation is pending or raises NotImplementedError
mm,False,translation_equivariance,implementation_not_admitted,,repository implementation is pending or raises NotImplementedError
mm,False,failure_propagation,implementation_not_admitted,,repository implementation is pending or raises NotImplementedError
pwm,False,core,implementation_not_admitted,,repository implementation is pending or raises NotImplementedError
pwm,False,determinism,implementation_not_admitted,,repository implementation is pending or raises NotImplementedError
pwm,False,scale_equivariance,implementation_not_admitted,,repository implementation is pending or raises NotImplementedError
pwm,False,translation_equivariance,implementation_not_admitted,,repository implementation is pending or raises NotImplementedError
pwm,False,failure_propagation,implementation_not_admitted,,repository implementation is pending or raises NotImplementedError
