n,fold,seed,mean_diff,ci_lo,ci_hi,q_better,signif
7,1,42,-0.01761430667871973,-0.023229557274282435,-0.012243061983774567,True,True
7,1,2026,-0.009981512550529923,-0.019450037766232466,-0.0016848396645133999,True,True
7,1,3407,-0.041508229751481676,-0.049659839100762965,-0.03381069195641228,True,True
7,2,42,-0.01097695362221122,-0.011620367640261774,-0.01036540294851141,True,True
7,2,2026,-0.004141263653482893,-0.004630170186682997,-0.0036392886729336156,True,True
7,2,3407,-0.008680836307176157,-0.009277650630868379,-0.008096678305373249,True,True
7,3,42,0.008673133840801983,0.007955229657396132,0.00938345944176534,False,True
7,3,2026,0.009618934828996638,0.008794016552611233,0.01042250812455543,False,True
7,3,3407,0.008829551347181122,0.007992505931034424,0.00962802617946097,False,True
7,4,42,0.016340049965355475,0.014681636838065833,0.017987117975544274,False,True
7,4,2026,0.018361390540981716,0.016932752076517895,0.019755044121664605,False,True
7,4,3407,0.01722819423856245,0.015590735523266662,0.01886803594139484,False,True
7,5,42,-0.006728548145223859,-0.009634872035956346,-0.004067190709941019,True,True
7,5,2026,-0.0006207263914861431,-0.003317484769392152,0.001853231225305412,True,False
7,5,3407,-0.003727786737396574,-0.006213410514723406,-0.0014836662610062936,True,True
10,1,42,0.008585144763032172,0.006507759847211836,0.010472928817222768,False,True
10,1,2026,0.007577124211071274,0.005691479754211835,0.00933098833954655,False,True
10,1,3407,0.013854194578879868,0.011674441049973512,0.015947963604765192,False,True
10,2,42,-0.03124674948287221,-0.04094198606332913,-0.022259700705362418,True,True
10,2,2026,-0.058652147826778606,-0.06642502766097097,-0.051623078632886135,True,True
10,2,3407,-0.031503908600388764,-0.04010025728373284,-0.023474678190733775,True,True
10,3,42,-0.0007767071445108104,-0.0009808624896875224,-0.000581763410329671,True,True
10,3,2026,-0.004519898645101092,-0.004776625269315837,-0.004263355783888362,True,True
10,3,3407,0.00011287032873011795,-6.268928075584425e-05,0.00029083195802244633,False,False
10,4,42,0.0013068659834265188,0.0008403560985196914,0.0018104884383369985,False,True
10,4,2026,0.0004902850774988824,5.5238005405856917e-05,0.0009881035918490554,False,True
10,4,3407,0.0012293796351988313,0.0007716672097081628,0.0017340602521654454,False,True
10,5,42,0.007236390004029459,0.006075086403770099,0.008390446599504506,False,True
10,5,2026,0.00941580125414693,0.007886215799896627,0.01092117689227512,False,True
10,5,3407,0.00826683484076915,0.006994399490231603,0.00958014920255492,False,True
15,1,42,0.009109922645613866,0.008150135020881445,0.01014044758553194,False,True
15,1,2026,0.0075015927106454,0.006706221145136577,0.008355011100596096,False,True
15,1,3407,0.006746076907296879,0.006006944486581669,0.007533441290959586,False,True
15,2,42,0.0037543151163973642,0.0024351567574415994,0.004975343776645385,False,True
15,2,2026,0.006541450241878704,0.004667516955753419,0.008187503787188827,False,True
15,2,3407,0.005460727662902409,0.0037403194177883926,0.007052025709705927,False,True
15,3,42,-0.04062769421277139,-0.04755422214554384,-0.03461748480359369,True,True
15,3,2026,-0.009429584121471034,-0.01293995646295801,-0.006276455157355067,True,True
15,3,3407,-0.0397325802783209,-0.04509544170803782,-0.03505873437718187,True,True
15,4,42,-0.003151427779494836,-0.0033237665514480705,-0.0029689738791303616,True,True
15,4,2026,-0.0026357270376476533,-0.0028344315282472343,-0.0024246302888563044,True,True
15,4,3407,-0.006431654669427333,-0.006732744509225351,-0.006115096069358651,True,True
15,5,42,-0.0016531050024550982,-0.00202284496286912,-0.0013129922407263729,True,True
15,5,2026,-0.0018798648995158862,-0.0022243100651627035,-0.0015412386366172458,True,True
15,5,3407,0.0006363073258186841,0.000341244851746593,0.0009205103019938967,False,True
20,1,42,-0.00010301526449694944,-0.0003373499495711643,9.723112463687685e-05,True,False
20,1,2026,-0.0008251122642240403,-0.0010839520659602403,-0.0006023587959755707,True,True
20,1,3407,-0.0013689997192223686,-0.0016904781811052539,-0.0010964118532870027,True,True
20,2,42,0.0008368204685415357,0.00034461922922128594,0.0013340020445997166,False,True
20,2,2026,0.0006997906411643403,0.0001425104329647887,0.0012495556214506896,False,True
20,2,3407,0.0014708925884101326,0.0008893865982224416,0.0020551357071152978,False,True
20,3,42,0.009724307841814635,0.008388353755156175,0.011049192032649714,False,True
20,3,2026,0.007515948912246794,0.0065123937751000146,0.008499755249035828,False,True
20,3,3407,0.00943057440739864,0.008175881731860398,0.010683060235081586,False,True
20,4,42,-0.017362027314284722,-0.020726203604471177,-0.014430928747032059,True,True
20,4,2026,0.019910054844697662,0.014115983869828973,0.025114448034625463,False,True
20,4,3407,0.004194109165125438,7.164147141834602e-05,0.007929651114731413,False,True
20,5,42,-0.006041774630311906,-0.006312572284230436,-0.0057671575050088335,True,True
20,5,2026,-0.0030895213678270514,-0.003299424281095672,-0.002867424447285353,True,True
20,5,3407,-0.0023974739965335694,-0.0025689104857125615,-0.0022244082739575287,True,True
