group,n,seed,fold,fit_id,n_test,p_rrmse,q_rrmse,p_metric,q_metric,mean_diff,ci_lo,ci_hi,rel_improve
cell,7.0,42.0,1.0,n7_f1_s42,2400,0.42998703639670366,0.40899210846971173,0.18488885146922016,0.16727454479050044,-0.01761430667871973,-0.023229557274282435,-0.012243061983774567,-0.04882688581248789
cell,7.0,42.0,2.0,n7_f2_s42,2400,0.17026129800150852,0.13420862854133958,0.02898890959715849,0.01801195597494727,-0.01097695362221122,-0.011620367640261774,-0.01036540294851141,-0.21174905796765106
cell,7.0,42.0,3.0,n7_f3_s42,2400,0.13588714884535613,0.16473752171901201,0.018465317221319975,0.027138451062121954,0.008673133840801983,0.007955229657396132,0.00938345944176534,0.21231126798081928
cell,7.0,42.0,4.0,n7_f4_s42,2400,0.21481171080729322,0.24996824011324248,0.04614407109995617,0.06248412106531165,0.016340049965355475,0.014681636838065833,0.017987117975544274,0.1636620702559743
cell,7.0,42.0,5.0,n7_f5_s42,2400,0.2584777513319175,0.24511670646526876,0.06681074793360459,0.06008219978838073,-0.006728548145223859,-0.009634872035956346,-0.004067190709941019,-0.051691276319916324
cell,10.0,42.0,1.0,n10_f1_s42,2400,0.21002784870768967,0.22955792732077965,0.04411169723278018,0.05269684199581236,0.008585144763032172,0.006507759847211836,0.010472928817222768,0.09298804293458883
cell,10.0,42.0,2.0,n10_f2_s42,2400,0.38850724719767593,0.3459640612003563,0.15093788112511608,0.11969113164224386,-0.03124674948287221,-0.04094198606332913,-0.022259700705362418,-0.10950422753806006
cell,10.0,42.0,3.0,n10_f3_s42,2400,0.12434293231524197,0.12117944409941002,0.015461164816752847,0.014684457672242036,-0.0007767071445108104,-0.0009808624896875224,-0.000581763410329671,-0.025441640766615366
cell,10.0,42.0,4.0,n10_f4_s42,2400,0.12177522057624873,0.12702783289429348,0.014829204346394034,0.01613607032982055,0.0013068659834265188,0.0008403560985196914,0.0018104884383369985,0.04313367114581295
cell,10.0,42.0,5.0,n10_f5_s42,2400,0.1880702331616256,0.20641415311334074,0.03537041260146822,0.04260680260549768,0.007236390004029459,0.006075086403770099,0.008390446599504506,0.09753760413510289
cell,15.0,42.0,1.0,n15_f1_s42,2400,0.14779881960730795,0.17593866466165825,0.02184449107731356,0.03095441372292743,0.009109922645613866,0.008150135020881445,0.01014044758553194,0.19039289440278395
cell,15.0,42.0,2.0,n15_f2_s42,2400,0.17284498039223775,0.18338402973866186,0.02987538724679305,0.03362970236319041,0.0037543151163973642,0.0024351567574415994,0.004975343776645385,0.06097399717659028
cell,15.0,42.0,3.0,n15_f3_s42,2400,0.3785005195136837,0.32036689757113956,0.14326264327212843,0.10263494905935704,-0.04062769421277139,-0.04755422214554384,-0.03461748480359369,-0.15358927913028256
cell,15.0,42.0,4.0,n15_f4_s42,2400,0.09486007622377753,0.07646571965061234,0.008998434061180881,0.0058470062816860435,-0.003151427779494836,-0.0033237665514480705,-0.0029689738791303616,-0.19391041316235494
cell,15.0,42.0,5.0,n15_f5_s42,2400,0.11401038650657677,0.1065141456752291,0.012998368231379023,0.011345263228923924,-0.0016531050024550982,-0.00202284496286912,-0.0013129922407263729,-0.06575050801108587
cell,20.0,42.0,1.0,n20_f1_s42,2400,0.08617566229268835,0.08557586988799189,0.0074262447715834675,0.007323229507086517,-0.00010301526449694944,-0.0003373499495711643,9.723112463687685e-05,-0.006960113664799169
cell,20.0,42.0,2.0,n20_f2_s42,2400,0.13804557569510312,0.14104396987299378,0.019056580968992442,0.01989340143753398,0.0008368204685415357,0.00034461922922128594,0.0013340020445997166,0.021720320718667002
cell,20.0,42.0,3.0,n20_f3_s42,2400,0.1495756931387239,0.17915690279680643,0.0223728879779297,0.032097195819744344,0.009724307841814635,0.008388353755156175,0.011049192032649714,0.19776749174511565
cell,20.0,42.0,4.0,n20_f4_s42,2400,0.32582328971627034,0.297991256259723,0.10616081612153264,0.08879878880724791,-0.017362027314284722,-0.020726203604471177,-0.014430928747032059,-0.08542063853318682
cell,20.0,42.0,5.0,n20_f5_s42,2400,0.1003636549033936,0.06349085442215735,0.010072863225567483,0.004031088595255577,-0.006041774630311906,-0.006312572284230436,-0.0057671575050088335,-0.3673919659136434
pooled_all_seeds,,,,,48000,0.22226976564505702,0.21416834683839625,0.04940384871990857,0.04586808078749159,-0.003535767932416986,-0.004216430085070569,-0.0028448295373430547,-0.0364485866224286
