fit_id,n,fold,seed,route,converged,nan_flag,best_epoch,stopped_epoch,best_val_loss,last_train_loss,rrmse_x95,n_test,n_nonfinite,n_illegal,n_support_viol,runtime_s,init_param_sha,batch_order_sha,network_sha,scaler_sha,train_rows_sha,val_rows_sha,test_rows_sha
n7_f1_s42_rP,7,1,42,P,True,False,123,143,0.08597620285843507,0.08208398454959806,0.4299870363967037,2400,0,0,228,12.456925630569458,902d70c901bd0a4a645c69e67728048e30e07ef25ec94427086f3264603f9e8e,24d4cd7d49534ec374f60148b884a8117fa5a38f42ec99d01a9872b95a523406,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,102da7fe6d4cdaec75f5cb23632a53e3c3cfa2aa13b08702298b474f3677bf1a,69326fb8352cc6897ed3b0720075ef0bfd2496294a445f54067122b2de9eebf2,d41cc63c1299e51e5d984a8b5650b6914f91332425a96a388b585ab3bd21f45a,1c96cc34836502c521cd6efe5c1d8a87f0f4fea0f695db33d9008d45db8cc5f9
n7_f1_s42_rQ,7,1,42,Q,True,False,32,52,0.027617996681054344,0.024263214645630898,0.40899210846971173,2400,0,0,131,4.959060907363892,902d70c901bd0a4a645c69e67728048e30e07ef25ec94427086f3264603f9e8e,24d4cd7d49534ec374f60148b884a8117fa5a38f42ec99d01a9872b95a523406,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,102da7fe6d4cdaec75f5cb23632a53e3c3cfa2aa13b08702298b474f3677bf1a,69326fb8352cc6897ed3b0720075ef0bfd2496294a445f54067122b2de9eebf2,d41cc63c1299e51e5d984a8b5650b6914f91332425a96a388b585ab3bd21f45a,1c96cc34836502c521cd6efe5c1d8a87f0f4fea0f695db33d9008d45db8cc5f9
n7_f1_s2026_rP,7,1,2026,P,True,False,71,91,0.08659872993508907,0.08384957673733212,0.4113008297235743,2400,0,0,176,7.972518444061279,d342c8583a8649af6181faa989255a17c215bcb47881225b6743df412acf6d6a,ece16abf335b36a0b316ae98f68d9cafdabb7880802a13762068168e778e510f,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,102da7fe6d4cdaec75f5cb23632a53e3c3cfa2aa13b08702298b474f3677bf1a,69326fb8352cc6897ed3b0720075ef0bfd2496294a445f54067122b2de9eebf2,d41cc63c1299e51e5d984a8b5650b6914f91332425a96a388b585ab3bd21f45a,1c96cc34836502c521cd6efe5c1d8a87f0f4fea0f695db33d9008d45db8cc5f9
n7_f1_s2026_rQ,7,1,2026,Q,True,False,31,51,0.02770631576470825,0.02436797328048532,0.39898228028418853,2400,0,0,128,4.764533519744873,d342c8583a8649af6181faa989255a17c215bcb47881225b6743df412acf6d6a,ece16abf335b36a0b316ae98f68d9cafdabb7880802a13762068168e778e510f,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,102da7fe6d4cdaec75f5cb23632a53e3c3cfa2aa13b08702298b474f3677bf1a,69326fb8352cc6897ed3b0720075ef0bfd2496294a445f54067122b2de9eebf2,d41cc63c1299e51e5d984a8b5650b6914f91332425a96a388b585ab3bd21f45a,1c96cc34836502c521cd6efe5c1d8a87f0f4fea0f695db33d9008d45db8cc5f9
n7_f1_s3407_rP,7,1,3407,P,True,False,86,106,0.08680404020771948,0.08282367068856014,0.4606912907128269,2400,0,0,283,9.223712682723999,64a2a2f4b5a1a294ac7f6369c1df943f0765eda8b185e2d0ef04a4dac65838cf,d8cd616900d854408341df6d0017855a883ca7f1391e08f44452ad7b34dd2780,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,102da7fe6d4cdaec75f5cb23632a53e3c3cfa2aa13b08702298b474f3677bf1a,69326fb8352cc6897ed3b0720075ef0bfd2496294a445f54067122b2de9eebf2,d41cc63c1299e51e5d984a8b5650b6914f91332425a96a388b585ab3bd21f45a,1c96cc34836502c521cd6efe5c1d8a87f0f4fea0f695db33d9008d45db8cc5f9
n7_f1_s3407_rQ,7,1,3407,Q,True,False,34,54,0.0276452409212143,0.024431078323771272,0.4131927341897105,2400,0,0,169,4.858889579772949,64a2a2f4b5a1a294ac7f6369c1df943f0765eda8b185e2d0ef04a4dac65838cf,d8cd616900d854408341df6d0017855a883ca7f1391e08f44452ad7b34dd2780,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,102da7fe6d4cdaec75f5cb23632a53e3c3cfa2aa13b08702298b474f3677bf1a,69326fb8352cc6897ed3b0720075ef0bfd2496294a445f54067122b2de9eebf2,d41cc63c1299e51e5d984a8b5650b6914f91332425a96a388b585ab3bd21f45a,1c96cc34836502c521cd6efe5c1d8a87f0f4fea0f695db33d9008d45db8cc5f9
n7_f2_s42_rP,7,2,42,P,True,False,155,175,0.08002097467847162,0.08248839758206933,0.17026129800150863,2400,0,0,0,15.43263840675354,902d70c901bd0a4a645c69e67728048e30e07ef25ec94427086f3264603f9e8e,24d4cd7d49534ec374f60148b884a8117fa5a38f42ec99d01a9872b95a523406,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,c15d3c8abae61209cab43f711bbc68e09d0c81ddfec60e0c3bbdd5662c75947a,8264251267146a2f4a074b1b66a469ec168b4659799de8cd0999710f7fbb75aa,8adb6dc5fd68033226692992f4f68a55c06d0dddaada419bc72e2df50d2aae6c,049d435e17b207702cef3e472fe3bb45c32b79109266ad5901a0d3d362df3245
n7_f2_s42_rQ,7,2,42,Q,True,False,76,96,0.04358260684245927,0.04555432155855566,0.13420862854133975,2400,0,0,0,9.053116798400879,902d70c901bd0a4a645c69e67728048e30e07ef25ec94427086f3264603f9e8e,24d4cd7d49534ec374f60148b884a8117fa5a38f42ec99d01a9872b95a523406,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,c15d3c8abae61209cab43f711bbc68e09d0c81ddfec60e0c3bbdd5662c75947a,8264251267146a2f4a074b1b66a469ec168b4659799de8cd0999710f7fbb75aa,8adb6dc5fd68033226692992f4f68a55c06d0dddaada419bc72e2df50d2aae6c,049d435e17b207702cef3e472fe3bb45c32b79109266ad5901a0d3d362df3245
n7_f2_s2026_rP,7,2,2026,P,True,False,124,144,0.07961801354781992,0.08227044986842424,0.154785821791685,2400,0,0,0,12.73510193824768,d342c8583a8649af6181faa989255a17c215bcb47881225b6743df412acf6d6a,ece16abf335b36a0b316ae98f68d9cafdabb7880802a13762068168e778e510f,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,c15d3c8abae61209cab43f711bbc68e09d0c81ddfec60e0c3bbdd5662c75947a,8264251267146a2f4a074b1b66a469ec168b4659799de8cd0999710f7fbb75aa,8adb6dc5fd68033226692992f4f68a55c06d0dddaada419bc72e2df50d2aae6c,049d435e17b207702cef3e472fe3bb45c32b79109266ad5901a0d3d362df3245
n7_f2_s2026_rQ,7,2,2026,Q,True,False,100,120,0.04378013963966621,0.04576933149834869,0.14077424116025056,2400,0,0,0,10.916990995407104,d342c8583a8649af6181faa989255a17c215bcb47881225b6743df412acf6d6a,ece16abf335b36a0b316ae98f68d9cafdabb7880802a13762068168e778e510f,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,c15d3c8abae61209cab43f711bbc68e09d0c81ddfec60e0c3bbdd5662c75947a,8264251267146a2f4a074b1b66a469ec168b4659799de8cd0999710f7fbb75aa,8adb6dc5fd68033226692992f4f68a55c06d0dddaada419bc72e2df50d2aae6c,049d435e17b207702cef3e472fe3bb45c32b79109266ad5901a0d3d362df3245
n7_f2_s3407_rP,7,2,3407,P,True,False,168,188,0.07937908619618109,0.08222067852981056,0.169023280326894,2400,0,0,0,15.93720030784607,64a2a2f4b5a1a294ac7f6369c1df943f0765eda8b185e2d0ef04a4dac65838cf,d8cd616900d854408341df6d0017855a883ca7f1391e08f44452ad7b34dd2780,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,c15d3c8abae61209cab43f711bbc68e09d0c81ddfec60e0c3bbdd5662c75947a,8264251267146a2f4a074b1b66a469ec168b4659799de8cd0999710f7fbb75aa,8adb6dc5fd68033226692992f4f68a55c06d0dddaada419bc72e2df50d2aae6c,049d435e17b207702cef3e472fe3bb45c32b79109266ad5901a0d3d362df3245
n7_f2_s3407_rQ,7,2,3407,Q,True,False,107,127,0.04367024005176392,0.04543607156478417,0.1410249374589035,2400,0,0,0,11.173389196395874,64a2a2f4b5a1a294ac7f6369c1df943f0765eda8b185e2d0ef04a4dac65838cf,d8cd616900d854408341df6d0017855a883ca7f1391e08f44452ad7b34dd2780,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,c15d3c8abae61209cab43f711bbc68e09d0c81ddfec60e0c3bbdd5662c75947a,8264251267146a2f4a074b1b66a469ec168b4659799de8cd0999710f7fbb75aa,8adb6dc5fd68033226692992f4f68a55c06d0dddaada419bc72e2df50d2aae6c,049d435e17b207702cef3e472fe3bb45c32b79109266ad5901a0d3d362df3245
n7_f3_s42_rP,7,3,42,P,True,False,191,211,0.07649693520562971,0.07817817564589799,0.13588714884535633,2400,0,0,4,19.078970909118652,902d70c901bd0a4a645c69e67728048e30e07ef25ec94427086f3264603f9e8e,24d4cd7d49534ec374f60148b884a8117fa5a38f42ec99d01a9872b95a523406,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,f41b5e4f4982016e452315eec75d29a59e1b9d30ad81fdce8e84986dbbc285dd,225d5957e6524db3d4fe0459e89324dc533a031ca8aa2e35d2437cc1d5281ce6,1c79c5d01f2c7c6cbbb7fc19eb236c933c0dbfba1e7dcc1a2a16985ea6727a95,01af2420ead3a203656ec737fd8fb7dfa9fce71a904bac94c1cc8cb90b7cd262
