n,fold,seed,P_mse,P_mae,P_median_abs_error,P_q90_abs_error,P_q95_abs_error,P_cvar90_abs_error,P_within_10pct,P_within_20pct,P_over_10pct,P_over_20pct,P_under_10pct,P_under_20pct,P_over_any,P_signed_bias,P_positive_mse_contribution,P_negative_mse_contribution,Q_mse,Q_mae,Q_median_abs_error,Q_q90_abs_error,Q_q95_abs_error,Q_cvar90_abs_error,Q_within_10pct,Q_within_20pct,Q_over_10pct,Q_over_20pct,Q_under_10pct,Q_under_20pct,Q_over_any,Q_signed_bias,Q_positive_mse_contribution,Q_negative_mse_contribution,Q_lower_abs_error_rate
7,1,42,0.040551874880223715,0.13852486672146672,0.10420393198728561,0.26866554617881777,0.3622273847460746,0.455543348689874,0.48833333333333334,0.7941666666666667,0.16458333333333333,0.0925,0.34708333333333335,0.11333333333333333,0.33875,-0.02181656561010944,0.02629926651120967,0.014252608369014045,0.03925831154943714,0.14415783433348678,0.11012561246752739,0.29265589416027066,0.36642778664827286,0.4364136505872011,0.4608333333333333,0.7520833333333333,0.15375,0.08291666666666667,0.3854166666666667,0.165,0.32208333333333333,-0.04303850106738082,0.01952419386215792,0.019734117687279222,0.4683333333333333
7,1,2026,0.04166970534150036,0.13889287185874916,0.09949511289596558,0.27999643981456757,0.369810895621776,0.46588428715864816,0.5020833333333333,0.7870833333333334,0.17458333333333334,0.09625,0.3233333333333333,0.11666666666666667,0.3625,-0.016564845935617994,0.02712894719171187,0.014540758149788481,0.03869609668874984,0.14347735251417665,0.11226791143417358,0.29412726163864134,0.36978901624679533,0.43508625390628974,0.455,0.76375,0.1525,0.07833333333333334,0.3925,0.15791666666666668,0.32,-0.04344171411135903,0.019465957286028863,0.01923013940272098,0.42625
7,1,3407,0.040702814701420585,0.13929955481007322,0.10486702248454094,0.2693522840738296,0.3619519963860509,0.45531461921830974,0.4795833333333333,0.7875,0.16125,0.09208333333333334,0.3591666666666667,0.12041666666666667,0.32666666666666666,-0.02544494776230664,0.02584625903806137,0.014856555663359226,0.03888596903826695,0.14501685519315288,0.11396418884396553,0.2986726880073547,0.36338535249233245,0.4322963707149029,0.4533333333333333,0.7566666666666667,0.15041666666666667,0.07708333333333334,0.39625,0.16625,0.3145833333333333,-0.04656304545136057,0.018715646490459203,0.020170322547807748,0.4575
7,1,17,0.041226935232629165,0.1361884814037512,0.09932683035731316,0.27128738462924956,0.37104797065258,0.466886796678106,0.505,0.8054166666666667,0.18166666666666667,0.10666666666666667,0.31333333333333335,0.08791666666666667,0.37666666666666665,-0.0057346698894677195,0.02934995184697913,0.011876983385650042,0.038881841177905045,0.14495351213894234,0.1132676899433136,0.2959926754236221,0.3674084678292273,0.43277936391532423,0.45208333333333334,0.7566666666666667,0.14083333333333334,0.07666666666666666,0.40708333333333335,0.16666666666666666,0.3070833333333333,-0.04968473142354014,0.018637973929230292,0.020243867248674753,0.3933333333333333
7,1,73,0.04135836558145833,0.1413016989585109,0.10620278120040894,0.27574750781059265,0.3674056828021997,0.45836822626491386,0.4725,0.78375,0.16041666666666668,0.08875,0.3670833333333333,0.1275,0.32083333333333336,-0.029140830420607625,0.025509480951206906,0.015848884630251418,0.038581223248413926,0.1450635640418083,0.11397571116685867,0.2940418809652328,0.363864955306053,0.42861519965032735,0.445,0.7516666666666667,0.14791666666666667,0.07875,0.40708333333333335,0.16958333333333334,0.31,-0.048434482005798904,0.01840929042439332,0.020171932824020602,0.4741666666666667
7,1,314,0.04177140485012649,0.1366908590707438,0.09762292355298996,0.2721279561519623,0.37322016656398765,0.4696886648734411,0.5120833333333333,0.7970833333333334,0.18125,0.1025,0.30666666666666664,0.10041666666666667,0.37833333333333335,-0.007341501136143052,0.029148343903301767,0.012623060946824723,0.03860681329446032,0.14341106734820794,0.1110728494822979,0.28960346877574916,0.360190999507904,0.43147415220737456,0.4575,0.7583333333333333,0.15375,0.08166666666666667,0.38875,0.16,0.31333333333333335,-0.04254347780826265,0.019541429941832462,0.01906538335262786,0.4083333333333333
7,1,2718,0.04131441157705755,0.13970503248448343,0.10371125862002373,0.2730858236551284,0.35840507298707963,0.4594272737701734,0.4845833333333333,0.7904166666666667,0.16666666666666666,0.09416666666666666,0.34875,0.11541666666666667,0.34375,-0.021402388146737696,0.02668668954301297,0.014627722034044579,0.038888606910190165,0.14367924336439547,0.11010721325874329,0.29158996045589447,0.36437406837940217,0.434345955401659,0.45958333333333334,0.7641666666666667,0.14958333333333335,0.08,0.3908333333333333,0.15583333333333332,0.3129166666666667,-0.04395002080290444,0.019768824410202647,0.01911978249998752,0.4575
7,1,4099,0.041692154717044856,0.13819564771717827,0.10044629499316216,0.2744923532009124,0.37462440431118005,0.46661967324713866,0.49875,0.79125,0.17458333333333334,0.09875,0.32666666666666666,0.11,0.36041666666666666,-0.01412211293318857,0.02804153969813177,0.013650615018913095,0.03877065144198572,0.1435326701164225,0.11046192422509193,0.2950552403926848,0.36704186648130405,0.43357809173564116,0.45958333333333334,0.75375,0.16041666666666668,0.08,0.38,0.16625,0.33125,-0.04112947760024023,0.019251098807790107,0.019519552634195615,0.46291666666666664
7,1,8128,0.03956929399123409,0.13963312754544555,0.10795896500349045,0.26692865788936615,0.35226802974939264,0.4449381312976281,0.46541666666666665,0.78875,0.15958333333333333,0.09,0.375,0.12125,0.3120833333333333,-0.030284963003080822,0.02433301088914915,0.015236283102084946,0.03862904252400357,0.1455072285674002,0.11379902064800262,0.30118837952613825,0.3648992747068398,0.43002104995151363,0.44458333333333333,0.7575,0.14666666666666667,0.07458333333333333,0.40875,0.16791666666666666,0.31083333333333335,-0.049811250049985274,0.018094613285556414,0.020534429238447154,0.4716666666666667
7,1,12011,0.042222698394787345,0.13762778289099514,0.09804509580135345,0.26958422660827636,0.37375723421573565,0.47320835093657176,0.5070833333333333,0.79875,0.17833333333333334,0.10125,0.3145833333333333,0.1,0.36666666666666664,-0.008638958128309848,0.029600641489127295,0.012622056905660045,0.038334965193641726,0.1421419784044277,0.10818388313055038,0.2905618578195572,0.3602779269218444,0.43198004936178525,0.46458333333333335,0.7641666666666667,0.15833333333333333,0.085,0.3770833333333333,0.15083333333333335,0.32916666666666666,-0.037283711078653144,0.020288491417929974,0.01804647377571176,0.44166666666666665
