n,seed,p_rrmse,q_rrmse,mean_diff
7,42,0.2090466469526291,0.2037816047668457,-0.002173562525512405
7,2026,0.2096828818321228,0.2028808444738388,-0.002806281695413889
7,3407,0.2103859931230545,0.20301401615142822,-0.003047576395371763
10,42,0.17561563849449158,0.1691541075706482,-0.0022277380664739222
10,2026,0.17663902044296265,0.16904211044311523,-0.002626111442957881
10,3407,0.17662088572978973,0.16892221570014954,-0.002660221928822136
15,42,0.14411607384681702,0.14026419818401337,-0.0010953970283395502
15,2026,0.14373604953289032,0.14058078825473785,-0.000897089981013577
15,3407,0.14534726738929749,0.14099347591400146,-0.0012466682996865068
20,42,0.12124120444059372,0.1193041279911995,-0.000465955297390833
20,2026,0.12170595675706863,0.11908462643623352,-0.0006311911565774989
20,3407,0.12141460180282593,0.1188591942191124,-0.0006139980714069792
