region,value,n_cells,n_samples,p_rrmse,q_rrmse,mean_diff,q_better_cells
beta,1.5,20,18000,0.2815980972869859,0.2542775596647995,-0.01464041104656515,8
beta,2.0,20,18000,0.21162518330449925,0.2071325056118494,-0.001881343327620082,7
beta,2.5,20,18000,0.17000034421035584,0.16810385221186552,-0.0006412119031707475,12
beta,3.0,20,18000,0.1464378773036781,0.1440016973486405,-0.0007075630699176285,10
beta,3.5,20,18000,0.11978211867858052,0.1215185021111391,0.0004189904002053641,5
beta,4.0,20,18000,0.10657584237132464,0.11111605200693853,0.0009883668364512293,3
beta,4.5,20,18000,0.102792636296845,0.10909820132722325,0.0013360914559798858,2
beta,5.0,20,18000,0.10304160164493938,0.10992478215373852,0.001465886061992497,4
gamma_over_eta,0.1,32,28800,0.26335459045596116,0.23539473280828369,-0.01394496008034376,26
gamma_over_eta,0.25,32,28800,0.18450233880365646,0.17714998657761594,-0.0026589952795697345,13
gamma_over_eta,0.5,32,28800,0.13888944417549587,0.1573265687231645,0.005461371522826419,1
gamma_over_eta,0.75,32,28800,0.09924393636732655,0.10710299603274756,0.0016216928535087785,7
gamma_over_eta,1.0,32,28800,0.07607034371293633,0.08227600838506739,0.000982644363175408,4
