n,fold,seed,p_rrmse,q_rrmse,q_minus_p_mse,p_best_epoch,q_best_epoch
7,1,42,0.20137496013192566,0.1981371034857926,-0.0012935627903949613,76,87
7,1,2026,0.20413158860213296,0.1967132343454871,-0.0029736088985679323,69,66
7,1,3407,0.20174938548639998,0.19719525637467558,-0.0018168454074659972,101,45
10,1,42,0.1756624911497453,0.16717831948679973,-0.002908720290503868,92,44
10,1,2026,0.1784875396157938,0.1668589869146928,-0.004015880283901947,86,47
10,1,3407,0.18103892412837472,0.1670967319493034,-0.0048537742214220655,54,70
15,1,42,0.15174484647467795,0.14214636093331107,-0.0028209105050404372,78,70
15,1,2026,0.15166401564497736,0.1426328094029566,-0.0026578553233797824,60,68
15,1,3407,0.150998372731957,0.1430262762217247,-0.002343992877845921,39,54
20,1,42,0.12021607458888253,0.11830120911393241,-0.00045672851174140077,113,87
20,1,2026,0.12025849234293329,0.11834724599342321,-0.0004560343463675191,94,84
20,1,3407,0.11976068366063204,0.11798156040804161,-0.0004229727545456103,132,94
