n,fold,seed,route,n_rows,target_mse,static_local_mse,cross_term,nonlinear_remainder_mse,u_parallel_energy,u_perp_energy,sensitivity_angle_deg,sensitivity_norm_ratio,mean_exact_compensation,square_identity_max_abs_error,stored_relative_error_max_abs_difference
7,1,42,P,2400,0.04055187459379772,0.03916363081636571,0.0008482916587576598,0.0005399521186743468,0.01225556433509011,0.06754174204438283,5.913621236463253,1.0070522289629533,0.33705262332933933,3.3574014336908153e-16,1.4793059599504943e-07
7,1,42,M95,2400,0.05305219471579956,0.02557189193563107,0.003500755838423179,0.02397954694174531,0.010764102513605682,1.2259814310501027,26.935438696521544,0.8873327340604199,0.8336403634639387,3.3306690738754696e-16,5.8795815549572694e-08
7,1,42,Q,2400,0.03925831205504743,6.1001859757651005,-12.108226699372025,6.047299035661971,0.7548080573845223,9.531363795585905,22.504436132118805,1.0658823097906691,0.8749034698866558,2.842170943040401e-14,1.4924768998447746e-07
7,1,2026,P,2400,0.041669705320044534,0.04023973841315162,0.0008695995170590096,0.0005603673898339107,0.012108191095031263,0.06845761443463663,5.9872261287669035,1.0071339120345124,0.35766325595008214,3.3626784489522096e-16,1.1672885569247171e-07
7,1,2026,M95,2400,0.053366866817138404,0.02627525876654832,0.0010097933849466357,0.02608181466564345,0.010722059917670593,1.3183407286883515,27.058961009021946,0.8870983039907653,0.8335593828110465,3.3306690738754696e-16,5.673546499274096e-08
7,1,2026,Q,2400,0.038696096519261626,9.292559652223506,-18.450230483417375,9.196366927713129,1.056543653359596,13.114742948376696,22.862989671947254,1.0709554681534088,0.8760342743391792,1.1368683772161603e-13,1.5943924114303343e-07
7,1,3407,P,2400,0.04070281438170664,0.039417146795991065,0.0007679151662485639,0.0005177524194670182,0.012350064884673493,0.0668270910404606,5.799170611303972,1.006865959384949,0.3221020343098226,3.492191614656546e-16,9.551482949010648e-08
7,1,3407,M95,2400,0.048129440186789246,0.025177814986238094,0.003208809360787384,0.019742815839763773,0.010925684937878795,1.1478623188308235,26.91739277743893,0.8874363892766686,0.8241289421501204,3.3306690738754696e-16,5.615048248586163e-08
7,1,3407,Q,2400,0.038885969278861454,4.692768531770534,-9.27895682358094,4.625074261089268,0.6735339636455355,8.520603769601328,22.53128134552312,1.0673370458605438,0.8708183158796974,5.684341886080802e-14,9.00599572695171e-08
7,3,42,P,2400,0.0437681436749794,0.04300157932030815,0.00017401473776220366,0.0005925496169090453,0.01308027653916748,0.07275036261707352,6.040536926974175,1.00672787590456,0.32945289812721484,2.8449465006019636e-16,1.6309358130683904e-07
7,3,42,M95,2400,0.06031136420259537,0.028491877897017955,0.006863836059979311,0.024955650245598104,0.011287757310439623,1.188973239071648,26.858095602485893,0.8874641255499294,0.8314203782996004,4.996003610813204e-16,5.6958162186759864e-08
7,3,42,Q,2400,0.042752381359540924,5.515366233797529,-10.92175876500728,5.449144912569292,0.7423340726444412,9.410086873851117,22.70246682558641,1.070230021605594,0.8760536524388239,5.684341886080802e-14,1.6663253554760615e-07
7,3,2026,P,2400,0.04733932248965632,0.046986199811460815,-0.00021807755399652295,0.0005712002321920363,0.013549937896345631,0.07327220516367419,5.8735773896069094,1.0058483803091747,0.34456481566151875,3.657877901399806e-16,1.0803103922540913e-07
7,3,2026,M95,2400,0.06012999398326295,0.02921570210506625,0.0029816713648634008,0.027932620513333298,0.010716217659075456,1.3150752792937714,27.058961009021946,0.8870983039907653,0.832328477943067,2.7755575615628914e-16,6.871957358711711e-08
7,3,2026,Q,2400,0.04313971141511471,7.5300889569573926,-14.895991803010556,7.40904255746828,0.968905907630825,12.047931506732452,23.104797936481326,1.078048202409398,0.8762455941069572,1.1368683772161603e-13,9.234008324643384e-08
7,3,3407,P,2400,0.04537794285620903,0.04469243505183976,8.274773309386715e-05,0.0006027600712754158,0.013112774866177684,0.07207164278058756,5.924536009008769,1.006902234456279,0.3289510690733671,4.867932229188354e-16,1.824907225334016e-07
7,3,3407,M95,2400,0.057324526657611966,0.028884770294593687,0.0012458410544347843,0.027193915308583505,0.010985094540220237,1.307148195246642,27.058961009021946,0.8870983039907653,0.831967098350305,3.885780586188048e-16,5.9480883551898955e-08
7,3,3407,Q,2400,0.04247979586966958,7.956883056611194,-15.775670762944731,7.861267502203208,0.9524637868036541,11.828851257193639,22.79920938411303,1.0717222332667877,0.8763344536993022,5.684341886080802e-14,1.1940690169964796e-07
10,1,42,P,2400,0.030857310906645855,0.030480671791832177,6.665451814539591e-05,0.0003099845966682768,0.008680777546851504,0.04658538838608008,4.649178108118641,1.004185913561027,0.3701698690860144,1.4999937056336954e-16,1.0309274167674687e-07
10,1,42,M95,2400,0.05461763024664241,0.020312866805492543,0.0069034329260280235,0.027401330515121843,0.007342065500893183,1.1895170856450576,25.325772859968954,0.8939772404715242,0.8431865405826218,3.885780586188048e-16,7.078715649755374e-08
10,1,42,Q,2400,0.02794859039360761,27.968557384536567,-55.738530592452854,27.797921798309908,3.792786129016881,43.1316018877238,26.102529535998684,1.1496731000118046,0.9150345627488786,2.2737367544323206e-13,8.523999939225035e-08
10,1,2026,P,2400,0.03185780216175983,0.031363668681394376,0.0001842093043287629,0.00030992417603669444,0.008658209308228757,0.0471790455281137,4.738485237055564,1.0042706606727687,0.3588601774129468,1.7111251380663023e-16,9.110130505529668e-08
10,1,2026,M95,2400,0.047074410510489016,0.020409170596332887,0.006453789815163415,0.02021145009899272,0.0074757248078182814,1.0882133314115818,24.936710197780002,0.8956970291455076,0.8493261962181815,2.5673907444456745e-16,5.769342981132297e-08
10,1,2026,Q,2400,0.027841921482055294,25.335949487724385,-50.495191074661534,25.1870835084192,3.654630775636437,41.32788042689071,26.24161321425797,1.1531939925370107,0.9153970638170934,2.2737367544323206e-13,9.256702337978595e-08
10,1,3407,P,2400,0.03277509185202518,0.03289728433837861,-0.00040742124202998366,0.0002852287556765629,0.008750102516053964,0.04768417402542722,4.605748188826101,1.003919337143487,0.377599365327257,3.0184188481996443e-16,1.4030362449624079e-07
10,1,3407,M95,2400,0.05395722858663243,0.02050431079076839,0.006785060757678489,0.02666785703818555,0.007552206657288581,1.1572222895419872,25.247651708439715,0.8946850302672713,0.8430084089277841,4.440892098500626e-16,5.8882323683562277e-08
10,1,3407,Q,2400,0.0279213178611491,31.995807435398117,-63.81881993642303,31.850933818886066,4.439844225467042,50.554029990060734,26.39407560877936,1.1566329776723498,0.9137781990512455,2.2737367544323206e-13,1.0478117662415798e-07
10,3,42,P,2400,0.03000488220890088,0.03026294380249088,-0.0005936826754594772,0.0003356210818694725,0.008966154418044183,0.053560267153650705,4.682482487019479,1.0040020927761089,0.3791991204453598,1.6754057586805884e-16,8.97620000550603e-08
10,3,42,M95,2400,0.04439345583349519,0.01885988939712513,0.0024251314157788385,0.023108435020591223,0.007883881518759855,1.1512809295352173,25.97465427505164,0.8904288611254422,0.8457113181183893,3.3306690738754696e-16,5.832193683552589e-08
10,3,42,Q,2400,0.02952667839367216,32.52754495066613,-64.81513199403877,32.3171137217663,4.542667279957172,51.02536506432885,26.477652178787988,1.1585364756144372,0.9149982145893925,2.2737367544323206e-13,7.621702158289168e-08
10,3,2026,P,2400,0.02955947121298324,0.029629279408130333,-0.00042443616864364895,0.0003546279734965553,0.00887097463094941,0.05332618790954767,4.736749593786361,1.004384310396551,0.36356157195025224,1.3877787807814457e-16,1.245151732831573e-07
10,3,2026,M95,2400,0.039248969937151455,0.018455771482550024,0.0023864984134706496,0.018406700041130788,0.007678090167903588,1.0597418159557526,25.856729203398576,0.8902866052691263,0.8435257882248579,2.7755575615628914e-16,4.9048179295851924e-08
10,3,2026,Q,2400,0.02966849037044567,31.795048536441058,-63.28364423223924,31.518264186168622,4.2913656178629465,48.480759793910515,26.384242505490406,1.1564737871430775,0.9136521844331581,2.2737367544323206e-13,8.196804207605268e-08
10,3,3407,P,2400,0.030231320455352987,0.030946989745597796,-0.0010604259363230246,0.0003447566460782108,0.009038392670065242,0.05429788998911245,4.591284519313091,1.0036687475115176,0.37913601989013157,1.0657707355532509e-16,9.929816502385336e-08
10,3,3407,M95,2400,0.05010055850171713,0.019634018849983767,0.006442928788870461,0.0240236108628629,0.007836317076556378,1.1346612117053712,24.997714884306394,0.8957399239679631,0.8383433916459515,3.3306690738754696e-16,5.86207375974368e-08
10,3,3407,Q,2400,0.029676793833741305,34.30356651874116,-68.34035439874208,34.066464673834666,4.658039689046981,52.80717760947109,26.46212200394793,1.1581701202341124,0.9114929895270094,2.2737367544323206e-13,8.109327354066664e-08
15,1,42,P,2400,0.023026498174665105,0.023033005352129286,-0.00019282687882494042,0.00018631970136076276,0.006282327242558979,0.03780817963733296,4.0079854743742205,1.0028649039569602,0.37485653017263054,1.9030797445730718e-16,1.6231672361755045e-07
15,1,42,M95,2400,0.034006498982722594,0.015435101639708702,0.005207655115966755,0.013363742227047138,0.005182867106655996,0.9277676210190358,22.726165356507316,0.9106623776997217,0.8544890519921496,3.7816971776294395e-16,5.932795077434605e-08
15,1,42,Q,2400,0.0202055879888568,60.57083674822022,-120.94866594202506,60.3980347817937,10.844430493085047,117.66387423682023,27.901151111834732,1.1938567085630234,0.9314773803546925,2.2737367544323206e-13,1.502083839532986e-07
15,1,2026,P,2400,0.023001973810670193,0.023064271473807182,-0.00024326897150648785,0.00018097130836949846,0.0063849699483422544,0.037779568328545426,3.889167032207815,1.0024244153337654,0.36314239500829304,1.7982678876798247e-16,1.0385224724629438e-07
15,1,2026,M95,2400,0.034150494642490536,0.015070191540519954,0.005488628114143164,0.013591674987827413,0.00502027703175198,0.9380399432449658,22.996472443072022,0.9089578145324815,0.8545825763149617,2.220446049250313e-16,5.932461055735416e-08
15,1,2026,Q,2400,0.02034411835826069,56.39595725672185,-112.54443214757642,56.16881900921283,10.268525261181209,111.8078468874498,27.88234076166375,1.1932906054234798,0.9321483809947445,4.547473508864641e-13,1.1622552786860751e-07
15,1,3407,P,2400,0.022800508842761243,0.023177494086830428,-0.0005642541197991639,0.00018726887572997932,0.006637535998653055,0.038852509062354844,3.8516860874950565,1.002115247282911,0.39153677495365113,1.9223222155523214e-16,1.6617091502801884e-07
15,1,3407,M95,2400,0.03444253221823806,0.015269713283801733,0.005451724685832258,0.013721094248604071,0.005127229458236709,0.9661925995569474,23.945679668690364,0.9033745237626287,0.8535939143029255,1.6653345369377348e-16,5.59833468471993e-08
15,1,3407,Q,2400,0.020456515519876543,66.52311372563155,-132.76868934500712,66.26603213489543,11.460081584519772,124.49769926675862,27.91487209167114,1.1941054791786918,0.9324710536879922,4.547473508864641e-13,1.195340921800181e-07
15,3,42,P,2400,0.023861000879875683,0.024081454587914997,-0.00041758289601128963,0.00019712918797197502,0.007075751301918959,0.036708879892549076,3.834735839248051,1.0025998060620631,0.33492870591797336,1.4300626655083803e-16,1.285698072450714e-07
15,3,42,M95,2400,0.036013672579989116,0.016727012011905146,0.005084589223535756,0.014202071344548216,0.0054071619819144705,0.93084511517767,22.385676775564257,0.9113694852320814,0.8544893685403406,4.753142324176451e-16,1.0474496336954076e-07
