region,value,n_rows,mean_s_norm,p_rms_actual,q_rms_actual,q_advantage_abs,q_advantage_relative
beta,1.5,60000,2.1648456848045905,0.2802870037576269,0.2542732152326698,0.02601378852495706,0.09281125480741881
beta,2.0,60000,1.8080311457282172,0.21091120160811633,0.20701220189377562,0.003898999714340712,0.01848645157114628
beta,2.5,60000,1.5997445883217858,0.16975876088300243,0.16797267159950907,0.0017860892834933584,0.010521337892683662
beta,3.0,60000,1.4664347281307741,0.14633947253703314,0.14390475531412503,0.0024347172229081115,0.01663746069804901
beta,3.5,60000,1.3751325869923172,0.12006091010773434,0.1214282002630992,-0.001367290155364853,-0.011388304104457826
beta,4.0,60000,1.3094141309756,0.10692855788977008,0.11117517817546456,-0.004246620285694475,-0.03971455679849537
beta,4.5,60000,1.2602811469289945,0.10342227100890734,0.10914304070205474,-0.005720769693147401,-0.055314678718036414
beta,5.0,60000,1.2224279735509913,0.10383531834062802,0.11005703345896074,-0.006221715118332721,-0.05991906431993215
gamma_over_eta,0.1,96000,2.593060633194446,0.2620577871174168,0.2352231811159683,0.02683460600144849,0.10239957490530538
gamma_over_eta,0.25,96000,1.8847313549071927,0.18444091159072332,0.17724166402721842,0.007199247563504901,0.03903281273885764
gamma_over_eta,0.5,96000,1.313399660560875,0.13912754184447815,0.15726656446962595,-0.0181390226251478,-0.13037693604494402
gamma_over_eta,0.75,96000,1.0125900569392978,0.09931420642977515,0.10722513991751194,-0.00791093348773679,-0.07965560791477092
gamma_over_eta,1.0,96000,0.8251632852939814,0.07723287274846112,0.08216793094763021,-0.00493505819916909,-0.06389841557806643
