[s3/e2] train n7_f1_s42_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n7_f1_s42_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n7_f1_s2026_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n7_f1_s2026_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n7_f1_s3407_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n7_f1_s3407_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n10_f1_s42_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n10_f1_s42_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n10_f1_s2026_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n10_f1_s2026_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n10_f1_s3407_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n10_f1_s3407_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n15_f1_s42_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n15_f1_s42_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n15_f1_s2026_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n15_f1_s2026_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n15_f1_s3407_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n15_f1_s3407_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n20_f1_s42_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n20_f1_s42_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n20_f1_s2026_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n20_f1_s2026_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n20_f1_s3407_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n20_f1_s3407_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n7_f3_s42_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n7_f3_s42_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n7_f3_s2026_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n7_f3_s2026_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n7_f3_s3407_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n7_f3_s3407_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n10_f3_s42_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n10_f3_s42_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n10_f3_s2026_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n10_f3_s2026_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n10_f3_s3407_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n10_f3_s3407_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n15_f3_s42_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n15_f3_s42_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n15_f3_s2026_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n15_f3_s2026_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n15_f3_s3407_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n15_f3_s3407_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n20_f3_s42_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n20_f3_s42_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n20_f3_s2026_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n20_f3_s2026_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n20_f3_s3407_rP_sm64 (hidden=(64, 32)) ...
[s3/e2] train n20_f3_s3407_rQ_sm64 (hidden=(64, 32)) ...
[s3/e2] train n7_f1_s42_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n7_f1_s42_rQ_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n7_f1_s2026_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n7_f1_s2026_rQ_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n7_f1_s3407_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n7_f1_s3407_rQ_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n10_f1_s42_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n10_f1_s42_rQ_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n10_f1_s2026_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n10_f1_s2026_rQ_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n10_f1_s3407_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n10_f1_s3407_rQ_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n15_f1_s42_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n15_f1_s42_rQ_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n15_f1_s2026_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n15_f1_s2026_rQ_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n15_f1_s3407_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n15_f1_s3407_rQ_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n20_f1_s42_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n20_f1_s42_rQ_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n20_f1_s2026_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n20_f1_s2026_rQ_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n20_f1_s3407_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n20_f1_s3407_rQ_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n7_f3_s42_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n7_f3_s42_rQ_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n7_f3_s2026_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n7_f3_s2026_rQ_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n7_f3_s3407_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n7_f3_s3407_rQ_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n10_f3_s42_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n10_f3_s42_rQ_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n10_f3_s2026_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n10_f3_s2026_rQ_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n10_f3_s3407_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n10_f3_s3407_rQ_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n15_f3_s42_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n15_f3_s42_rQ_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n15_f3_s2026_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n15_f3_s2026_rQ_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n15_f3_s3407_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n15_f3_s3407_rQ_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n20_f3_s42_rP_lg512 (hidden=(512, 256, 128)) ...
[s3/e2] train n20_f3_s42_rQ_lg512 (hidden=(512, 256, 128)) ...
