[s3/e3] interpolation master: 33600 midpoint samples (7 beta-mid x 4 goe-mid x 4 n x 300 repeats)
[s3/e3] train n7_f1_s42_rP (baseline retrain, interp root) ...
[s3/e3] train n7_f1_s42_rQ (baseline retrain, interp root) ...
[s3/e3] train n7_f1_s2026_rP (baseline retrain, interp root) ...
[s3/e3] train n7_f1_s2026_rQ (baseline retrain, interp root) ...
[s3/e3] train n7_f1_s3407_rP (baseline retrain, interp root) ...
[s3/e3] train n7_f1_s3407_rQ (baseline retrain, interp root) ...
[s3/e3] train n7_f2_s42_rP (baseline retrain, interp root) ...
[s3/e3] train n7_f2_s42_rQ (baseline retrain, interp root) ...
[s3/e3] train n7_f2_s2026_rP (baseline retrain, interp root) ...
[s3/e3] train n7_f2_s2026_rQ (baseline retrain, interp root) ...
[s3/e3] train n7_f2_s3407_rP (baseline retrain, interp root) ...
[s3/e3] train n7_f2_s3407_rQ (baseline retrain, interp root) ...
[s3/e3] train n7_f3_s42_rP (baseline retrain, interp root) ...
[s3/e3] train n7_f3_s42_rQ (baseline retrain, interp root) ...
[s3/e3] train n7_f3_s2026_rP (baseline retrain, interp root) ...
[s3/e3] train n7_f3_s2026_rQ (baseline retrain, interp root) ...
[s3/e3] train n7_f3_s3407_rP (baseline retrain, interp root) ...
[s3/e3] train n7_f3_s3407_rQ (baseline retrain, interp root) ...
[s3/e3] train n7_f4_s42_rP (baseline retrain, interp root) ...
[s3/e3] train n7_f4_s42_rQ (baseline retrain, interp root) ...
[s3/e3] train n7_f4_s2026_rP (baseline retrain, interp root) ...
[s3/e3] train n7_f4_s2026_rQ (baseline retrain, interp root) ...
[s3/e3] train n7_f4_s3407_rP (baseline retrain, interp root) ...
[s3/e3] train n7_f4_s3407_rQ (baseline retrain, interp root) ...
[s3/e3] train n7_f5_s42_rP (baseline retrain, interp root) ...
[s3/e3] train n7_f5_s42_rQ (baseline retrain, interp root) ...
[s3/e3] train n7_f5_s2026_rP (baseline retrain, interp root) ...
[s3/e3] train n7_f5_s2026_rQ (baseline retrain, interp root) ...
[s3/e3] train n7_f5_s3407_rP (baseline retrain, interp root) ...
[s3/e3] train n7_f5_s3407_rQ (baseline retrain, interp root) ...
[s3/e3] train n10_f1_s42_rP (baseline retrain, interp root) ...
[s3/e3] train n10_f1_s42_rQ (baseline retrain, interp root) ...
[s3/e3] train n10_f1_s2026_rP (baseline retrain, interp root) ...
[s3/e3] train n10_f1_s2026_rQ (baseline retrain, interp root) ...
[s3/e3] train n10_f1_s3407_rP (baseline retrain, interp root) ...
[s3/e3] train n10_f1_s3407_rQ (baseline retrain, interp root) ...
[s3/e3] train n10_f2_s42_rP (baseline retrain, interp root) ...
[s3/e3] train n10_f2_s42_rQ (baseline retrain, interp root) ...
[s3/e3] train n10_f2_s2026_rP (baseline retrain, interp root) ...
[s3/e3] train n10_f2_s2026_rQ (baseline retrain, interp root) ...
[s3/e3] train n10_f2_s3407_rP (baseline retrain, interp root) ...
[s3/e3] train n10_f2_s3407_rQ (baseline retrain, interp root) ...
[s3/e3] train n10_f3_s42_rP (baseline retrain, interp root) ...
[s3/e3] train n10_f3_s42_rQ (baseline retrain, interp root) ...
[s3/e3] train n10_f3_s2026_rP (baseline retrain, interp root) ...
[s3/e3] train n10_f3_s2026_rQ (baseline retrain, interp root) ...
[s3/e3] train n10_f3_s3407_rP (baseline retrain, interp root) ...
[s3/e3] train n10_f3_s3407_rQ (baseline retrain, interp root) ...
[s3/e3] train n10_f4_s42_rP (baseline retrain, interp root) ...
[s3/e3] train n10_f4_s42_rQ (baseline retrain, interp root) ...
[s3/e3] train n10_f4_s2026_rP (baseline retrain, interp root) ...
[s3/e3] train n10_f4_s2026_rQ (baseline retrain, interp root) ...
[s3/e3] train n10_f4_s3407_rP (baseline retrain, interp root) ...
[s3/e3] train n10_f4_s3407_rQ (baseline retrain, interp root) ...
[s3/e3] train n10_f5_s42_rP (baseline retrain, interp root) ...
[s3/e3] train n10_f5_s42_rQ (baseline retrain, interp root) ...
[s3/e3] train n10_f5_s2026_rP (baseline retrain, interp root) ...
[s3/e3] train n10_f5_s2026_rQ (baseline retrain, interp root) ...
[s3/e3] train n10_f5_s3407_rP (baseline retrain, interp root) ...
[s3/e3] train n10_f5_s3407_rQ (baseline retrain, interp root) ...
[s3/e3] train n15_f1_s42_rP (baseline retrain, interp root) ...
[s3/e3] train n15_f1_s42_rQ (baseline retrain, interp root) ...
[s3/e3] train n15_f1_s2026_rP (baseline retrain, interp root) ...
[s3/e3] train n15_f1_s2026_rQ (baseline retrain, interp root) ...
[s3/e3] train n15_f1_s3407_rP (baseline retrain, interp root) ...
[s3/e3] train n15_f1_s3407_rQ (baseline retrain, interp root) ...
[s3/e3] train n15_f2_s42_rP (baseline retrain, interp root) ...
[s3/e3] train n15_f2_s42_rQ (baseline retrain, interp root) ...
[s3/e3] train n15_f2_s2026_rP (baseline retrain, interp root) ...
[s3/e3] train n15_f2_s2026_rQ (baseline retrain, interp root) ...
[s3/e3] train n15_f2_s3407_rP (baseline retrain, interp root) ...
[s3/e3] train n15_f2_s3407_rQ (baseline retrain, interp root) ...
[s3/e3] train n15_f3_s42_rP (baseline retrain, interp root) ...
[s3/e3] train n15_f3_s42_rQ (baseline retrain, interp root) ...
[s3/e3] train n15_f3_s2026_rP (baseline retrain, interp root) ...
[s3/e3] train n15_f3_s2026_rQ (baseline retrain, interp root) ...
[s3/e3] train n15_f3_s3407_rP (baseline retrain, interp root) ...
[s3/e3] train n15_f3_s3407_rQ (baseline retrain, interp root) ...
[s3/e3] train n15_f4_s42_rP (baseline retrain, interp root) ...
[s3/e3] train n15_f4_s42_rQ (baseline retrain, interp root) ...
[s3/e3] train n15_f4_s2026_rP (baseline retrain, interp root) ...
[s3/e3] train n15_f4_s2026_rQ (baseline retrain, interp root) ...
[s3/e3] train n15_f4_s3407_rP (baseline retrain, interp root) ...
[s3/e3] train n15_f4_s3407_rQ (baseline retrain, interp root) ...
[s3/e3] train n15_f5_s42_rP (baseline retrain, interp root) ...
[s3/e3] train n15_f5_s42_rQ (baseline retrain, interp root) ...
[s3/e3] train n15_f5_s2026_rP (baseline retrain, interp root) ...
[s3/e3] train n15_f5_s2026_rQ (baseline retrain, interp root) ...
[s3/e3] train n15_f5_s3407_rP (baseline retrain, interp root) ...
[s3/e3] train n15_f5_s3407_rQ (baseline retrain, interp root) ...
[s3/e3] train n20_f1_s42_rP (baseline retrain, interp root) ...
[s3/e3] train n20_f1_s42_rQ (baseline retrain, interp root) ...
[s3/e3] train n20_f1_s2026_rP (baseline retrain, interp root) ...
[s3/e3] train n20_f1_s2026_rQ (baseline retrain, interp root) ...
[s3/e3] train n20_f1_s3407_rP (baseline retrain, interp root) ...
[s3/e3] train n20_f1_s3407_rQ (baseline retrain, interp root) ...
[s3/e3] train n20_f2_s42_rP (baseline retrain, interp root) ...
[s3/e3] train n20_f2_s42_rQ (baseline retrain, interp root) ...
[s3/e3] train n20_f2_s2026_rP (baseline retrain, interp root) ...
[s3/e3] train n20_f2_s2026_rQ (baseline retrain, interp root) ...
[s3/e3] train n20_f2_s3407_rP (baseline retrain, interp root) ...
[s3/e3] train n20_f2_s3407_rQ (baseline retrain, interp root) ...
[s3/e3] train n20_f3_s42_rP (baseline retrain, interp root) ...
[s3/e3] train n20_f3_s42_rQ (baseline retrain, interp root) ...
[s3/e3] train n20_f3_s2026_rP (baseline retrain, interp root) ...
[s3/e3] train n20_f3_s2026_rQ (baseline retrain, interp root) ...
[s3/e3] train n20_f3_s3407_rP (baseline retrain, interp root) ...
[s3/e3] train n20_f3_s3407_rQ (baseline retrain, interp root) ...
[s3/e3] train n20_f4_s42_rP (baseline retrain, interp root) ...
[s3/e3] train n20_f4_s42_rQ (baseline retrain, interp root) ...
[s3/e3] train n20_f4_s2026_rP (baseline retrain, interp root) ...
[s3/e3] train n20_f4_s2026_rQ (baseline retrain, interp root) ...
[s3/e3] train n20_f4_s3407_rP (baseline retrain, interp root) ...
[s3/e3] train n20_f4_s3407_rQ (baseline retrain, interp root) ...
[s3/e3] train n20_f5_s42_rP (baseline retrain, interp root) ...
[s3/e3] train n20_f5_s42_rQ (baseline retrain, interp root) ...
[s3/e3] train n20_f5_s2026_rP (baseline retrain, interp root) ...
[s3/e3] train n20_f5_s2026_rQ (baseline retrain, interp root) ...
[s3/e3] train n20_f5_s3407_rP (baseline retrain, interp root) ...
[s3/e3] train n20_f5_s3407_rQ (baseline retrain, interp root) ...
[s3/e3] done=120 skipped=0 (120 baseline retrains + interp eval)
[s3/e3] verifying byte-identity of retrained iid-test evidence vs S1 ...
[s3/e3] EVIDENCE IDENTITY PASS: 120/120 retrained iid-test evidence byte-identical to S1 pq_iid_main
