contract,n,fold,seed,mse_P,mse_Q,mse_QD
grid,7,1,42,0.04055187458410536,0.039258311750997366,
grid,7,1,2026,0.04166970538905999,0.03869609654490744,
grid,7,1,3407,0.04070281461070251,0.038885969142592354,
grid,7,1,17,0.04122693524730483,0.03888184117911787,
grid,7,1,73,0.04135836548684009,0.038581223100918605,
grid,7,1,314,0.04177140462959021,0.038606813402966275,
grid,7,1,2718,0.04131441154314594,0.03888860704422964,
grid,7,1,4099,0.041692154935374176,0.038770651233699376,
grid,7,1,8128,0.03956929399426821,0.03862904259801951,
grid,7,1,12011,0.04222269842780462,0.03833496547397145,
grid,7,2,42,0.048595410937094595,0.04310361554167076,
grid,7,2,2026,0.04671525018200191,0.04261772980628474,
grid,7,2,3407,0.04909055531489158,0.04330043394237739,
grid,7,2,17,0.046226841692403306,0.04269714015236231,
grid,7,2,73,0.04998165839540367,0.042870752502568686,
grid,7,2,314,0.04696118650645894,0.04256542442195256,
grid,7,2,2718,0.046592966677303845,0.042783039257254324,
grid,7,2,4099,0.046714049160954285,0.0432366375667691,
grid,7,2,8128,0.046016928416071384,0.042715635156346764,
grid,7,2,12011,0.04599733900495368,0.04241268469748793,
grid,7,3,42,0.04376814390351528,0.042752381739594586,
grid,7,3,2026,0.047339322567431744,0.04313971150549565,
grid,7,3,3407,0.045377943223869,0.0424797960010253,
grid,7,3,17,0.04476299599007556,0.042374696536717105,
grid,7,3,73,0.04727529248381101,0.0427852214276414,
grid,7,3,314,0.04514164599023762,0.04275714797463338,
grid,7,3,2718,0.04679722223246987,0.04303630677135235,
grid,7,3,4099,0.04690406903867818,0.04292287979178837,
grid,7,3,8128,0.045829253637425495,0.04300976986367409,
grid,7,3,12011,0.04642328079439508,0.042724530362620916,
grid,7,4,42,0.04304600545908623,0.041702656277565815,
grid,7,4,2026,0.04191657107183178,0.04129301757369826,
grid,7,4,3407,0.04369285670022123,0.04115226368971642,
grid,7,4,17,0.04294149078111922,0.041821271510243285,
grid,7,4,73,0.04295591496130594,0.04136741625327735,
grid,7,4,314,0.04234702185243236,0.04148165304098839,
grid,7,4,2718,0.042861356916501246,0.041481854770623196,
grid,7,4,4099,0.04150804198536594,0.042010925196864626,
grid,7,4,8128,0.04198740049715293,0.04117327058373763,
grid,7,4,12011,0.042377198901069495,0.04140502363742324,
grid,7,5,42,0.04254107646816127,0.04081773341457217,
grid,7,5,2026,0.04219372313692651,0.04005660843979642,
grid,7,5,3407,0.04244716581295458,0.04025499091006863,
grid,7,5,17,0.04185323906138593,0.04029140155600898,
grid,7,5,73,0.042427681900048655,0.040345409631965354,
grid,7,5,314,0.04307291692081017,0.04011971938946965,
grid,7,5,2718,0.043287096574165365,0.04085346767228544,
grid,7,5,4099,0.04232265192698832,0.040095345944132325,
grid,7,5,8128,0.04200403279728803,0.04075085624379013,
grid,7,5,12011,0.04244912106501457,0.040842269548776636,
grid,10,1,42,0.030857310886790414,0.027948590423995487,
grid,10,1,2026,0.03185780187852737,0.02784192155262659,
grid,10,1,3407,0.0327750921110725,0.027921317852903787,
grid,10,1,17,0.03061541574231495,0.027968940914389114,
grid,10,1,73,0.03192900945607406,0.027776525925339836,
grid,10,1,314,0.03029713921125502,0.028038431107161515,
grid,10,1,2718,0.033089006319244885,0.028428982630465973,
grid,10,1,4099,0.03167997311898452,0.028011486115504306,
grid,10,1,8128,0.031958587511794694,0.028030438411271348,
grid,10,1,12011,0.03121116626138137,0.027940572031264786,
grid,10,2,42,0.03085831381292288,0.02875569765704256,
grid,10,2,2026,0.030540949994067906,0.0286620124729919,
grid,10,2,3407,0.03075836868222198,0.028345654795807387,
grid,10,2,17,0.030086563115477177,0.02850516716504148,
grid,10,2,73,0.03112107262729148,0.028575494552533758,
grid,10,2,314,0.031431152043184814,0.028700059747362155,
grid,10,2,2718,0.03049727178716804,0.028434037388064562,
grid,10,2,4099,0.0306961496734889,0.028734182686964267,
grid,10,2,8128,0.030530059244125923,0.028479437315227146,
grid,10,2,12011,0.030533074268610082,0.028936911570077665,
grid,10,3,42,0.030004882486598477,0.029526678308952673,
