n,fold,seed,p_base_rrmse,p_continue_rrmse,q_finetune_rrmse,q_minus_p_base_mse,q_minus_p_continue_mse,p_continue_best_epoch,q_finetune_best_epoch
7,1,42,0.35275222355661284,0.36311436493193444,0.3917554440073272,0.029038196685243513,0.02162028588945601,20,50
7,1,2026,0.3778142360143099,0.372689423046764,0.3934080696709828,0.012026312347172214,0.015872503231319057,98,80
7,1,3407,0.38327706951371693,0.3690371856168746,0.3879012928031255,0.003566100943313546,0.014278968590312609,60,99
10,1,42,0.21465648859091527,0.21357346511644995,0.22983249842768566,0.0067455692393303965,0.0072093523316646676,5,32
10,1,2026,0.21878867755902412,0.21449941766048272,0.24441759529268386,0.01187147546063158,0.013729960711971998,22,43
10,1,3407,0.20881999295702586,0.21059195241150516,0.23491792875678902,0.01158064379280746,0.010837462830890128,93,42
15,1,42,0.14936807654145196,0.15142343281598514,0.1698492481553631,0.006537944809249062,0.005919711093164952,30,19
15,1,2026,0.1472933001340526,0.14272819326845268,0.17382093075034177,0.008518399702535012,0.009842378813238338,12,71
15,1,3407,0.1551131973277467,0.1551131973277467,0.17954435857067289,0.008176072709317866,0.008176072709317866,0,14
20,1,42,0.1014501967474417,0.0989928895647368,0.10201827474717573,0.00011558596229560291,0.0006081361980140567,8,28
20,1,2026,0.09381559291328158,0.0961006125085484,0.09573859460535723,0.00036451302333837064,-6.944922750923242e-05,81,22
20,1,3407,0.09658530443484228,0.09800192408146124,0.10081905613204858,0.0008357610465859986,0.00056010495568867,20,8
