n,fold,seed,init_param_sha,batch_order_sha,network_sha,scaler_sha,train_rows_sha,val_rows_sha,test_rows_sha,sample_bytes_sha,all_match
7,1,42,True,True,True,True,True,True,True,True,True
7,3,42,True,True,True,True,True,True,True,True,True
10,1,42,True,True,True,True,True,True,True,True,True
10,3,42,True,True,True,True,True,True,True,True,True
15,1,42,True,True,True,True,True,True,True,True,True
15,3,42,True,True,True,True,True,True,True,True,True
20,1,42,True,True,True,True,True,True,True,True,True
20,3,42,True,True,True,True,True,True,True,True,True
7,1,2026,True,True,True,True,True,True,True,True,True
7,3,2026,True,True,True,True,True,True,True,True,True
10,1,2026,True,True,True,True,True,True,True,True,True
10,3,2026,True,True,True,True,True,True,True,True,True
15,1,2026,True,True,True,True,True,True,True,True,True
15,3,2026,True,True,True,True,True,True,True,True,True
20,1,2026,True,True,True,True,True,True,True,True,True
20,3,2026,True,True,True,True,True,True,True,True,True
7,1,3407,True,True,True,True,True,True,True,True,True
7,3,3407,True,True,True,True,True,True,True,True,True
10,1,3407,True,True,True,True,True,True,True,True,True
10,3,3407,True,True,True,True,True,True,True,True,True
15,1,3407,True,True,True,True,True,True,True,True,True
15,3,3407,True,True,True,True,True,True,True,True,True
20,1,3407,True,True,True,True,True,True,True,True,True
20,3,3407,True,True,True,True,True,True,True,True,True
