n,seed,p_rrmse,q_rrmse,mean_diff
7,42,0.27182891964912415,0.26947709918022156,-0.0012730463197693693
7,2026,0.2749735414981842,0.2701720893383026,-0.0026175045194003787
7,3407,0.27248576283454895,0.26461291313171387,-0.004228486927022854
10,42,0.22762830555438995,0.22314006090164185,-0.002023158870427406
10,2026,0.24687282741069794,0.21928510069847107,-0.012860237473911674
10,3407,0.2445780485868454,0.22888265550136566,-0.007431155965533403
15,42,0.2240828573703766,0.19202974438667297,-0.013337697047607056
15,2026,0.24601499736309052,0.18976783752441406,-0.02451154292666696
15,3407,0.22073860466480255,0.18792901933193207,-0.013408215494110582
20,42,0.2120031714439392,0.16540437936782837,-0.017586732821137645
20,2026,0.23403923213481903,0.1668754518032074,-0.026926948264546318
20,3407,0.19300344586372375,0.16314630210399628,-0.010633612694677778
