fit_id,n,fold,seed,route,converged,nan_flag,best_epoch,stopped_epoch,best_val_loss,last_train_loss,rrmse_x95,n_test,n_nonfinite,n_illegal,n_support_viol,support_legality_ok,sample_bytes_sha,evidence_sha256,runtime_s,init_param_sha,batch_order_sha,network_sha,scaler_sha,train_rows_sha,val_rows_sha,test_rows_sha
n7_f1_s42_rP,7,1,42,P,True,False,57,77,0.20884137670543912,0.22283113344429906,0.389097691950437,2400,0,0,0,True,bd572d19eae50e08876928977865b2d54dfa3ed45c5242f6e2ba665d43445433,75ceed8a1039d7cf61df412bf8b1e06ad797dda7b719e9585cab1d4b2cec7ebf,7.5595338344573975,902d70c901bd0a4a645c69e67728048e30e07ef25ec94427086f3264603f9e8e,24d4cd7d49534ec374f60148b884a8117fa5a38f42ec99d01a9872b95a523406,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,102da7fe6d4cdaec75f5cb23632a53e3c3cfa2aa13b08702298b474f3677bf1a,69326fb8352cc6897ed3b0720075ef0bfd2496294a445f54067122b2de9eebf2,d41cc63c1299e51e5d984a8b5650b6914f91332425a96a388b585ab3bd21f45a,1c96cc34836502c521cd6efe5c1d8a87f0f4fea0f695db33d9008d45db8cc5f9
n7_f1_s42_rQ,7,1,42,Q,True,False,77,97,0.02758927305333806,0.023908476013671773,0.38820089930761925,2400,0,0,0,True,bd572d19eae50e08876928977865b2d54dfa3ed45c5242f6e2ba665d43445433,4e723b72374e3beae6c7bc44d4eac17748ed36289d4bcbfe15f479f43a716e53,9.383450269699097,902d70c901bd0a4a645c69e67728048e30e07ef25ec94427086f3264603f9e8e,24d4cd7d49534ec374f60148b884a8117fa5a38f42ec99d01a9872b95a523406,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,102da7fe6d4cdaec75f5cb23632a53e3c3cfa2aa13b08702298b474f3677bf1a,69326fb8352cc6897ed3b0720075ef0bfd2496294a445f54067122b2de9eebf2,d41cc63c1299e51e5d984a8b5650b6914f91332425a96a388b585ab3bd21f45a,1c96cc34836502c521cd6efe5c1d8a87f0f4fea0f695db33d9008d45db8cc5f9
n7_f1_s2026_rP,7,1,2026,P,True,False,88,108,0.2061422603405169,0.21551762404704589,0.3970200095273155,2400,0,0,0,True,bd572d19eae50e08876928977865b2d54dfa3ed45c5242f6e2ba665d43445433,689cd2b99096bdfcf7bf047760a91639d25a715774188b7e7ca4c2886e8f5702,10.111913919448853,d342c8583a8649af6181faa989255a17c215bcb47881225b6743df412acf6d6a,ece16abf335b36a0b316ae98f68d9cafdabb7880802a13762068168e778e510f,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,102da7fe6d4cdaec75f5cb23632a53e3c3cfa2aa13b08702298b474f3677bf1a,69326fb8352cc6897ed3b0720075ef0bfd2496294a445f54067122b2de9eebf2,d41cc63c1299e51e5d984a8b5650b6914f91332425a96a388b585ab3bd21f45a,1c96cc34836502c521cd6efe5c1d8a87f0f4fea0f695db33d9008d45db8cc5f9
n7_f1_s2026_rQ,7,1,2026,Q,True,False,55,75,0.027449947500417658,0.0232881016128717,0.3806001444381408,2400,0,0,0,True,bd572d19eae50e08876928977865b2d54dfa3ed45c5242f6e2ba665d43445433,fa36604677603bbfc4b7c38030058c74d04da6871d192f2492fcdca68dd7957f,7.397017955780029,d342c8583a8649af6181faa989255a17c215bcb47881225b6743df412acf6d6a,ece16abf335b36a0b316ae98f68d9cafdabb7880802a13762068168e778e510f,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,102da7fe6d4cdaec75f5cb23632a53e3c3cfa2aa13b08702298b474f3677bf1a,69326fb8352cc6897ed3b0720075ef0bfd2496294a445f54067122b2de9eebf2,d41cc63c1299e51e5d984a8b5650b6914f91332425a96a388b585ab3bd21f45a,1c96cc34836502c521cd6efe5c1d8a87f0f4fea0f695db33d9008d45db8cc5f9
n7_f1_s3407_rP,7,1,3407,P,True,False,69,89,0.21107663390953302,0.20706084408008632,0.4026732351359685,2400,0,0,0,True,bd572d19eae50e08876928977865b2d54dfa3ed45c5242f6e2ba665d43445433,90a1735787b6e83f9f15c9c923b1b28310113d7a30043e5ed5d9f7593bd07c92,8.452305555343628,64a2a2f4b5a1a294ac7f6369c1df943f0765eda8b185e2d0ef04a4dac65838cf,d8cd616900d854408341df6d0017855a883ca7f1391e08f44452ad7b34dd2780,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,102da7fe6d4cdaec75f5cb23632a53e3c3cfa2aa13b08702298b474f3677bf1a,69326fb8352cc6897ed3b0720075ef0bfd2496294a445f54067122b2de9eebf2,d41cc63c1299e51e5d984a8b5650b6914f91332425a96a388b585ab3bd21f45a,1c96cc34836502c521cd6efe5c1d8a87f0f4fea0f695db33d9008d45db8cc5f9
n7_f1_s3407_rQ,7,1,3407,Q,True,False,46,66,0.027552351512742466,0.023712970710155316,0.37869337343089227,2400,0,0,0,True,bd572d19eae50e08876928977865b2d54dfa3ed45c5242f6e2ba665d43445433,86a3c879e14ee7f4754172a309c5c56bd9e3df80d04928d04f8b67eadb04f3ef,6.917638301849365,64a2a2f4b5a1a294ac7f6369c1df943f0765eda8b185e2d0ef04a4dac65838cf,d8cd616900d854408341df6d0017855a883ca7f1391e08f44452ad7b34dd2780,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,102da7fe6d4cdaec75f5cb23632a53e3c3cfa2aa13b08702298b474f3677bf1a,69326fb8352cc6897ed3b0720075ef0bfd2496294a445f54067122b2de9eebf2,d41cc63c1299e51e5d984a8b5650b6914f91332425a96a388b585ab3bd21f45a,1c96cc34836502c521cd6efe5c1d8a87f0f4fea0f695db33d9008d45db8cc5f9
n7_f2_s42_rP,7,2,42,P,True,False,100,120,0.20041540667853053,0.19660847254800842,0.24856947378849029,2400,0,0,0,True,fb235847fed0c13936be060587d5725b6701e29ff1630564d5fa3876f1cb70ef,ae8ad09621984164058b2b485167a3f52a97de92ca396f3457484531bac48283,11.615282535552979,902d70c901bd0a4a645c69e67728048e30e07ef25ec94427086f3264603f9e8e,24d4cd7d49534ec374f60148b884a8117fa5a38f42ec99d01a9872b95a523406,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,c15d3c8abae61209cab43f711bbc68e09d0c81ddfec60e0c3bbdd5662c75947a,8264251267146a2f4a074b1b66a469ec168b4659799de8cd0999710f7fbb75aa,8adb6dc5fd68033226692992f4f68a55c06d0dddaada419bc72e2df50d2aae6c,049d435e17b207702cef3e472fe3bb45c32b79109266ad5901a0d3d362df3245
n7_f2_s42_rQ,7,2,42,Q,True,False,47,67,0.04329458432321582,0.04388790986494536,0.20414715222516933,2400,0,0,0,True,fb235847fed0c13936be060587d5725b6701e29ff1630564d5fa3876f1cb70ef,371cd629ca07c9f2f783e39f8ad81fd587feef83ea7003bc02d05ea6986ef006,7.233043909072876,902d70c901bd0a4a645c69e67728048e30e07ef25ec94427086f3264603f9e8e,24d4cd7d49534ec374f60148b884a8117fa5a38f42ec99d01a9872b95a523406,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,c15d3c8abae61209cab43f711bbc68e09d0c81ddfec60e0c3bbdd5662c75947a,8264251267146a2f4a074b1b66a469ec168b4659799de8cd0999710f7fbb75aa,8adb6dc5fd68033226692992f4f68a55c06d0dddaada419bc72e2df50d2aae6c,049d435e17b207702cef3e472fe3bb45c32b79109266ad5901a0d3d362df3245
n7_f2_s2026_rP,7,2,2026,P,True,False,91,111,0.1986728412986719,0.19700109414490347,0.24812449889847954,2400,0,0,0,True,fb235847fed0c13936be060587d5725b6701e29ff1630564d5fa3876f1cb70ef,7d271d4474f4a7365c81af95934c201b9b53cae0aeab8207a30d8550a48788ad,10.237411975860596,d342c8583a8649af6181faa989255a17c215bcb47881225b6743df412acf6d6a,ece16abf335b36a0b316ae98f68d9cafdabb7880802a13762068168e778e510f,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,c15d3c8abae61209cab43f711bbc68e09d0c81ddfec60e0c3bbdd5662c75947a,8264251267146a2f4a074b1b66a469ec168b4659799de8cd0999710f7fbb75aa,8adb6dc5fd68033226692992f4f68a55c06d0dddaada419bc72e2df50d2aae6c,049d435e17b207702cef3e472fe3bb45c32b79109266ad5901a0d3d362df3245
n7_f2_s2026_rQ,7,2,2026,Q,True,False,36,56,0.04332953380364555,0.04384483601557439,0.19702728103279712,2400,0,0,0,True,fb235847fed0c13936be060587d5725b6701e29ff1630564d5fa3876f1cb70ef,bca869b3e049e3a2488140106e9764a21005a3f16e8d928a9ada84c46a26141f,5.653510808944702,d342c8583a8649af6181faa989255a17c215bcb47881225b6743df412acf6d6a,ece16abf335b36a0b316ae98f68d9cafdabb7880802a13762068168e778e510f,d0520e47ccc3ac5c92bc1e2d3cdb1f947bf00e6c01d2dd3837559c4f531f1aa3,c15d3c8abae61209cab43f711bbc68e09d0c81ddfec60e0c3bbdd5662c75947a,8264251267146a2f4a074b1b66a469ec168b4659799de8cd0999710f7fbb75aa,8adb6dc5fd68033226692992f4f68a55c06d0dddaada419bc72e2df50d2aae6c,049d435e17b207702cef3e472fe3bb45c32b79109266ad5901a0d3d362df3245
