route,n,beta,gamma_over_eta,count,relative_bias,within_cell_variance,cell_mse,identity_residual
P,7,1.5,0.1,3000,0.4080105279960553,0.2390302834209138,0.40550287437653365,0.0
P,7,1.5,0.25,3000,0.16934075593858142,0.11720794773876736,0.14588423936061753,-2.7755575615628914e-17
P,7,1.5,0.5,3000,0.025387146126896066,0.0588516236610259,0.05949613084949427,-6.938893903907228e-18
P,7,1.5,0.75,3000,0.00799082953041064,0.027349177672799024,0.0274130310293831,-6.938893903907228e-18
P,7,1.5,1.0,3000,-0.0376658419866914,0.010559786798060286,0.011978502450626687,-3.469446951953614e-18
P,7,2.0,0.1,3000,0.20507307553301143,0.14987012829056026,0.1919250945991285,2.7755575615628914e-17
P,7,2.0,0.25,3000,0.06081408968017786,0.07587468865084879,0.0795730421544775,0.0
P,7,2.0,0.5,3000,-0.004229315367182911,0.04240408109526782,0.04242196820374291,0.0
P,7,2.0,0.75,3000,-0.0074792946831439625,0.022402191249786624,0.02245813109874393,0.0
P,7,2.0,1.0,3000,-0.041533193261514195,0.008660426382002049,0.010385432524500336,-1.734723475976807e-18
P,7,2.5,0.1,3000,0.09473039912997774,0.08190479203660961,0.09087864055593449,0.0
P,7,2.5,0.25,3000,-0.01580387802713085,0.05327179209613356,0.053521554656829985,0.0
P,7,2.5,0.5,3000,-0.030970472784843876,0.04003659422203553,0.040995764406552275,-1.3877787807814457e-17
P,7,2.5,0.75,3000,-0.01609619271894432,0.016528823870481713,0.016787911290527112,3.469446951953614e-18
P,7,2.5,1.0,3000,-0.04211134420399503,0.007515244966250578,0.009288610276917924,0.0
P,7,3.0,0.1,3000,0.037720704260769705,0.05610544687314204,0.057528298403070485,-6.938893903907228e-18
P,7,3.0,0.25,3000,-0.01784239089370295,0.037205142380549026,0.037523493293352715,-6.938893903907228e-18
P,7,3.0,0.5,3000,-0.043187582946913605,0.024034513343724678,0.025899680664521224,3.469446951953614e-18
P,7,3.0,0.75,3000,-0.03123534382191792,0.014363357008596483,0.01533900371226991,1.734723475976807e-18
P,7,3.0,1.0,3000,-0.053894135257966505,0.00512893453495752,0.008033512350161509,8.673617379884035e-19
P,7,3.5,0.1,3000,-0.016520047636851814,0.03032282859201762,0.030595740565941474,3.469446951953614e-18
P,7,3.5,0.25,3000,-0.07929770240992366,0.022108841200861547,0.02839696680835436,0.0
P,7,3.5,0.5,3000,-0.05322974379504679,0.017362474880329874,0.020195880504816202,6.938893903907228e-18
P,7,3.5,0.75,3000,-0.041901981424557255,0.010181864233475616,0.011937640280779557,0.0
P,7,3.5,1.0,3000,-0.05772601291069441,0.003861018185219764,0.007193310751785421,-4.336808689942018e-19
P,7,4.0,0.1,3000,-0.04253474420384403,0.02007947925534445,0.02188868371983089,-6.938893903907228e-18
P,7,4.0,0.25,3000,-0.08947603199173561,0.015050299567776705,0.023056259868762793,-5.204170427930421e-18
P,7,4.0,0.5,3000,-0.08124984374174749,0.012744071271747854,0.019345608379806232,-5.204170427930421e-18
P,7,4.0,0.75,3000,-0.0495807849641778,0.008383624746081857,0.010841878983745898,1.734723475976807e-18
P,7,4.0,1.0,3000,-0.0681311247166353,0.002322098268052396,0.0069639484232061075,-8.673617379884035e-19
P,7,4.5,0.1,3000,-0.08778359869870958,0.01721610585960207,0.024922066060098155,0.0
P,7,4.5,0.25,3000,-0.12188823448393184,0.012205676385132055,0.02706241809074201,3.469446951953614e-18
P,7,4.5,0.5,3000,-0.09913867081049527,0.01129047836756839,0.021118954417640137,0.0
P,7,4.5,0.75,3000,-0.06248773877241668,0.006408354990827043,0.01031307248771683,8.673617379884035e-19
P,7,4.5,1.0,3000,-0.08472289936337135,0.002345005790285199,0.009522975466821149,0.0
P,7,5.0,0.1,3000,-0.10908869247366723,0.01042398992681236,0.0223243327524267,-1.734723475976807e-18
