n,fold,seed,route,best_epoch,stopped_epoch,runtime_s
10,1,12011,P,78,138,23.631189346313477
10,1,17,P,154,214,37.50108361244202
10,1,2026,P,113,173,27.932225942611694
10,1,2718,P,273,333,57.31173038482666
10,1,314,P,165,225,33.487640380859375
10,1,3407,P,83,143,22.14275336265564
10,1,4099,P,92,152,24.411883115768433
10,1,42,P,138,198,33.96451210975647
10,1,73,P,130,190,34.06258821487427
10,1,8128,P,132,192,34.01778602600098
10,2,12011,P,144,204,32.954057693481445
10,2,17,P,113,173,30.205849647521973
10,2,2026,P,177,237,37.68937659263611
10,2,2718,P,190,250,44.26856327056885
10,2,314,P,131,191,28.35123062133789
10,2,3407,P,206,266,38.50601387023926
10,2,4099,P,170,230,35.483298540115356
10,2,42,P,317,377,66.5690689086914
10,2,73,P,182,242,39.73024868965149
10,2,8128,P,155,215,37.987955808639526
10,3,12011,P,140,200,33.7385470867157
10,3,17,P,279,339,59.68542766571045
10,3,2026,P,226,286,45.53206515312195
10,3,2718,P,202,262,45.1168155670166
10,3,314,P,193,253,36.50141263008118
10,3,3407,P,168,228,33.134650468826294
10,3,4099,P,386,446,69.60383248329163
10,3,42,P,175,235,40.49869227409363
10,3,73,P,120,180,28.779115676879883
10,3,8128,P,158,218,37.93665957450867
10,4,12011,P,140,200,34.36814308166504
10,4,17,P,230,290,49.507688999176025
10,4,2026,P,242,302,47.46977877616882
10,4,2718,P,221,281,48.71146321296692
10,4,314,P,202,262,38.319862842559814
10,4,3407,P,228,288,42.2246036529541
10,4,4099,P,163,223,34.93339991569519
10,4,42,P,202,262,44.89344835281372
10,4,73,P,214,274,43.46202564239502
10,4,8128,P,259,319,55.728864908218384
10,5,12011,P,198,258,42.308046102523804
10,5,17,P,100,160,27.43660306930542
10,5,2026,P,130,190,29.613656520843506
10,5,2718,P,258,318,54.71296763420105
10,5,314,P,265,325,47.973822355270386
10,5,3407,P,179,239,34.533604860305786
10,5,4099,P,79,139,24.393213033676147
10,5,42,P,176,236,41.02299952507019
10,5,73,P,151,211,33.56869459152222
10,5,8128,P,160,220,38.151148080825806
15,1,12011,P,273,333,52.08531451225281
15,1,17,P,237,297,51.12294292449951
15,1,2026,P,221,281,74.57010984420776
15,1,2718,P,242,302,52.20946455001831
15,1,314,P,239,299,44.38090515136719
15,1,3407,P,223,283,40.75859236717224
15,1,4099,P,146,206,53.412291049957275
15,1,42,P,163,223,38.54054880142212
15,1,73,P,134,194,31.028586864471436
15,1,8128,P,153,213,37.61968469619751
15,2,12011,P,281,341,55.07616853713989
15,2,17,P,284,344,60.33251357078552
15,2,2026,P,417,477,124.64133286476135
15,2,2718,P,114,174,30.197644233703613
15,2,314,P,197,257,37.815571308135986
