n,fold,seed,route,reliability,mse
7,1,42,P,0.9,0.02752412804806461
7,1,42,P,0.95,0.040004641176902535
7,1,42,P,0.99,0.07321708323525049
7,1,42,Q,0.9,0.04692093047735375
7,1,42,Q,0.95,0.03925831205504743
7,1,42,Q,0.99,0.1499601063516735
7,1,42,QP,0.9,0.02718461188809664
7,1,42,QP,0.95,0.03738417707137548
7,1,42,QP,0.99,0.06188335592485738
7,1,42,QCP,0.9,0.02620522609665627
7,1,42,QCP,0.95,0.03697341796799851
7,1,42,QCP,0.99,0.06398824351302407
7,1,2026,P,0.9,0.027377303498559193
7,1,2026,P,0.95,0.03986695291966602
7,1,2026,P,0.99,0.07288123502293027
7,1,2026,Q,0.9,0.04571898060688248
7,1,2026,Q,0.95,0.038696096519261626
7,1,2026,Q,0.99,0.15429966119073726
7,1,2026,QP,0.9,0.026175010997740958
7,1,2026,QP,0.95,0.03683398437051269
7,1,2026,QP,0.99,0.06329588553296149
7,1,2026,QCP,0.9,0.026301428649621053
7,1,2026,QCP,0.95,0.03675376727577728
7,1,2026,QCP,0.99,0.06246655840123701
7,1,3407,P,0.9,0.02740238001506548
7,1,3407,P,0.95,0.03985438900432172
7,1,3407,P,0.99,0.07263258497867812
7,1,3407,Q,0.9,0.044519861039175185
7,1,3407,Q,0.95,0.03870678795788039
7,1,3407,Q,0.99,0.1572036752772947
7,1,3407,QP,0.9,0.02672340986643081
7,1,3407,QP,0.95,0.03732636956561312
7,1,3407,QP,0.99,0.06337988938982847
7,1,3407,QCP,0.9,0.026526156484900587
7,1,3407,QCP,0.95,0.037195717592100795
7,1,3407,QCP,0.99,0.06365811173719488
7,1,17,P,0.9,0.02735497158030117
7,1,17,P,0.95,0.0397857707427147
7,1,17,P,0.99,0.07281530266094746
7,1,17,Q,0.9,0.047298362515170916
7,1,17,Q,0.95,0.038881841300505746
7,1,17,Q,0.99,0.1493603680979603
7,1,17,QP,0.9,0.027058624200751454
7,1,17,QP,0.95,0.03761087738679739
7,1,17,QP,0.99,0.06425580385326567
7,1,17,QCP,0.9,0.02649216777390341
7,1,17,QCP,0.95,0.03719994941790338
7,1,17,QCP,0.99,0.0644285587555431
7,1,73,P,0.9,0.02811751284427497
7,1,73,P,0.95,0.04080494550670892
7,1,73,P,0.99,0.07447047790522668
7,1,73,Q,0.9,0.04445994012755463
7,1,73,Q,0.95,0.038676184474151824
7,1,73,Q,0.99,0.15978873410334762
7,1,73,QP,0.9,0.026564193368394873
7,1,73,QP,0.95,0.03714483691538425
7,1,73,QP,0.99,0.06331050756889453
7,1,73,QCP,0.9,0.026500771253895657
7,1,73,QCP,0.95,0.036829018723491695
7,1,73,QCP,0.99,0.06192233092447826
7,1,314,P,0.9,0.02756960777281202
7,1,314,P,0.95,0.03994629466378804
7,1,314,P,0.99,0.07228050965290633
7,1,314,Q,0.9,0.04561123925007273
7,1,314,Q,0.95,0.03860681325609326
7,1,314,Q,0.99,0.1530662179793778
7,1,314,QP,0.9,0.026508183753293946
7,1,314,QP,0.95,0.03698821468617541
7,1,314,QP,0.99,0.06332471894460073
7,1,314,QCP,0.9,0.026789013499390328
7,1,314,QCP,0.95,0.03714343728261723
