n,fold,seed,mse_p,mse_q,mse_qp,mse_qcp
7,1,42,0.04000464081901457,0.039258311750997366,0.03738417670444667,0.03697341775865765
7,1,2026,0.039866952774263414,0.03869609654490744,0.036833984447397515,0.036753767151434295
7,1,3407,0.03985438931559682,0.0387067878354241,0.03732636991310379,0.03719571771702478
7,1,17,0.039785771254041764,0.03888184117911787,0.03761087771985808,0.03719994890308243
7,1,73,0.040804945781740425,0.03867618445982382,0.03714483685582367,0.03682901870488828
7,1,314,0.039946294654226375,0.038606813402966275,0.03698821427666788,0.0371434371344966
7,1,2718,0.03970949486388387,0.03888860704422964,0.03733330676886453,0.036745508968420555
7,1,4099,0.04019279604457387,0.03893102545280704,0.03735521802963947,0.03718175779358159
7,1,8128,0.03972330568279489,0.03862904259801951,0.03669914897002211,0.03678787509842232
7,1,12011,0.039761597261893114,0.03857203294771976,0.036838522695942844,0.03665776582866455
7,2,42,0.04543129023833656,0.04348588251928541,0.04215681027319861,0.04264845808356484
7,2,2026,0.04606487513004184,0.04261772980628474,0.042124641258910245,0.041988866704649845
7,2,3407,0.04571345549789634,0.042853389166616955,0.04242715298182956,0.04227886118397491
7,2,17,0.04587475410981895,0.04291572800461926,0.04234063231784173,0.04187977698639202
7,2,73,0.04622431244126935,0.04268482989706746,0.041861726437974575,0.04244767075472679
7,2,314,0.04699418742742056,0.04256542442195256,0.04165263110488104,0.04189907667853135
7,2,2718,0.04612934279886116,0.04236238747778006,0.041693502013033686,0.041732268904592994
7,2,4099,0.04576552160075773,0.04342014307318686,0.04259260294420405,0.041996886532151285
7,2,8128,0.046016928416071384,0.042664832173678856,0.04210921072742289,0.0421878126245833
7,2,12011,0.045136275732254504,0.0425427907423475,0.041767652324436425,0.0417525449614175
7,3,42,0.04413982175902499,0.04326084237468195,0.041278727306021355,0.04083920154969993
7,3,2026,0.0449979669229003,0.042672875919613225,0.04152046795787721,0.04127648918830079
7,3,3407,0.045311280632780095,0.0424797960010253,0.04111799694730393,0.04106148571602081
7,3,17,0.044857900247248256,0.042374696536717105,0.041133643070862695,0.04087422318058729
7,3,73,0.045613764475829044,0.04272061227560897,0.04132154741061067,0.04099657366079491
7,3,314,0.04514164599023762,0.04260362002927573,0.040883681693467906,0.04108130434926861
7,3,2718,0.0450775205975269,0.042357227135794574,0.04099405877892411,0.04104507430332502
7,3,4099,0.04690406903867818,0.042628157410322075,0.04141153153590999,0.04112350299404098
7,3,8128,0.045094151698222,0.04300976986367409,0.0410695182036881,0.041205341237758764
7,3,12011,0.04578478702919322,0.042724530362620916,0.041417844391367115,0.040948978119378386
7,4,42,0.04228163222849838,0.04109136808404081,0.03982483542963214,0.03981974128561956
7,4,2026,0.043071723474574955,0.04129301757369826,0.03987720311331754,0.03994392580594149
7,4,3407,0.04234817665665078,0.04115226368971642,0.039966138926020855,0.03967171910911834
7,4,17,0.04193801246784357,0.041821271510243285,0.03956565706364009,0.039550458476894014
7,4,73,0.04215925858448473,0.04136741625327735,0.03970953730650728,0.039810543481560275
7,4,314,0.04223035768384048,0.04148165304098839,0.0398039723975707,0.03984479239514212
7,4,2718,0.04188565982190684,0.040622080600733204,0.039887245447172266,0.03980710555877957
7,4,4099,0.041796933972190774,0.04118499894557699,0.04001927747215962,0.04013711507746334
7,4,8128,0.04161640674933099,0.04117327058373763,0.03986299734133933,0.03982740022211234
7,4,12011,0.0413094777493379,0.04140502363742324,0.039736388692453564,0.03971356282722538
7,5,42,0.04165674507327342,0.04081773341457217,0.03844077851489567,0.03848549795488596
7,5,2026,0.04198849628215522,0.04013280192923099,0.03837644119842418,0.03849992023749853
7,5,3407,0.04186793796624406,0.0401514458997539,0.038331534999306346,0.0384250215950686
7,5,17,0.04185323906138593,0.04029140155600898,0.03844168507698818,0.03847346495074146
7,5,73,0.0421840887235453,0.04012720839418366,0.03856058174099819,0.03860630551159232
7,5,314,0.041422702076546,0.04011971938946965,0.03826788039477302,0.038279264483496146
7,5,2718,0.04161995345447148,0.04085346767228544,0.03866308793991766,0.038639690134468656
7,5,4099,0.04219942659441763,0.040095345944132325,0.03849747118237342,0.038545904692145354
7,5,8128,0.04200403279728803,0.04075085624379013,0.03869664762578306,0.03850977664389639
7,5,12011,0.04114421184879988,0.040842269548776636,0.03865832867700222,0.03861103828408948
10,1,42,0.031184998801095983,0.027948590423995487,0.027531152286571263,0.02729237033800843
10,1,2026,0.031190896173001543,0.02784192155262659,0.027557178310288335,0.027404210884047094
10,1,3407,0.031169653539720864,0.027921317852903787,0.027642006166142524,0.0271232313932649
10,1,17,0.030623070413445936,0.027968940914389114,0.02754226631589031,0.027248852450103354
10,1,73,0.031202920818955412,0.027775942915675103,0.027389424495317005,0.027164829490286497
10,1,314,0.03073957593591358,0.028038431107161515,0.027200443280462765,0.02718799684846466
10,1,2718,0.03066082545533779,0.0278635725323796,0.02697307883909153,0.027294368362346
10,1,4099,0.030386501305236693,0.02830734983086599,0.027440234433716407,0.027441633423126596
10,1,8128,0.030957830764099335,0.028030438411271348,0.027592823580658028,0.027320479550048838
10,1,12011,0.03121116626138137,0.027940572031264786,0.027714547452892032,0.02737703194373566
10,2,42,0.03028856556571432,0.02875569765704256,0.028215808980742264,0.028169574568901783
10,2,2026,0.030444998153412294,0.028733419926376874,0.028284633926235207,0.02817221245310162
10,2,3407,0.030101975157923278,0.028345654795807387,0.028017381083690795,0.028726344874398332
10,2,17,0.03019832687694199,0.02850516716504148,0.02818797965330677,0.02835315148708307
10,2,73,0.030230709300862843,0.02852243690143851,0.02851191485438502,0.028149908564276648
10,2,314,0.02976800319452364,0.028700059747362155,0.028085268883154147,0.02842201678449117
10,2,2718,0.029799086469709437,0.028419117862552183,0.028216994959857626,0.028315998501759334
10,2,4099,0.030276586589847384,0.028587046125208553,0.028421986112800952,0.02862172693359785
10,2,8128,0.03093651384232433,0.028672716844391176,0.02822653404894287,0.028502616299104333
10,2,12011,0.030045387092044386,0.028765491520560668,0.02827125841269752,0.02859835851823519
10,3,42,0.02907495849344129,0.0300337127386398,0.028153611292034603,0.027946146936292444
10,3,2026,0.02852552102266792,0.029486512565379257,0.028544521616686296,0.02784560684329011
10,3,3407,0.02893241688363467,0.029769743853152373,0.02864949564636449,0.02827343518787891
10,3,17,0.02853222236826784,0.029555647868632715,0.027718947519125976,0.027757410730618003
10,3,73,0.028759310122406068,0.02979024348758567,0.027996991027722202,0.027822959373626936
10,3,314,0.028855266419589198,0.029796995710962615,0.028054590955161936,0.027933203845435822
10,3,2718,0.028902322224568754,0.02942069939689323,0.027934669895559462,0.02804356828770762
10,3,4099,0.0285111594107718,0.02989678960820267,0.0280087464166986,0.027727864843838084
10,3,8128,0.028733271947244954,0.029639785492303124,0.027836439052088706,0.027877773004409693
10,3,12011,0.029050442424900732,0.029364875210158382,0.02793938417622598,0.027901591248348314
10,4,42,0.0293843351693483,0.028018151172638454,0.026845297767780902,0.027715491260082322
10,4,2026,0.029008883532167514,0.027878283333218696,0.027618100186534576,0.027520620921783312
10,4,3407,0.028714648667899585,0.028082396824689344,0.027500232520346,0.02724889130287462
10,4,17,0.028630140261200025,0.028296526056653934,0.02763519504778498,0.027312064876693888
10,4,73,0.02895226611157387,0.02822758989175378,0.027361795340673557,0.02726014307050742
10,4,314,0.028568992266804732,0.0282284986534875,0.0273999956289873,0.027392152331233533
10,4,2718,0.029248526359931647,0.02796630046859662,0.02754080054776671,0.027619846385899944
10,4,4099,0.029198367021912357,0.027741001701268548,0.027355765600833675,0.02699010264309101
10,4,8128,0.0285371606916362,0.028318404280614107,0.027149711625179953,0.027451606298472077
10,4,12011,0.029341985473584534,0.028072917883166126,0.026885866560175782,0.027465110162630334
10,5,42,0.03290592417305564,0.028819122108251147,0.02847174354660764,0.028508493347124755
10,5,2026,0.032334492116320404,0.028532475260609706,0.02834872090135051,0.028202931904683558
10,5,3407,0.03221396181190079,0.028647407678218162,0.02837147297877505,0.028240691349022094
10,5,17,0.03116087836468953,0.028742951706473743,0.028470057842745883,0.028443809764749056
10,5,73,0.03274470319253914,0.028615779200245304,0.028283061634995093,0.028158108411626158
10,5,314,0.03079221367441143,0.028792569336785968,0.028223131772481615,0.028200905362264966
10,5,2718,0.03169828116723893,0.028818487713388297,0.02832795491043293,0.02824223108856828
10,5,4099,0.03300239286581884,0.028499030811635986,0.02813357666010023,0.028260033490286596
10,5,8128,0.03180354174857225,0.02870819733805907,0.02826589318395237,0.028027628857833175
10,5,12011,0.031829844792750826,0.028773197549684416,0.028337908124495423,0.028436273547474408
15,1,42,0.022186797431528273,0.020183921818653926,0.020094337355892323,0.019885656038039674
15,1,2026,0.02195149997917694,0.02074342495882835,0.019507318687246634,0.019363613407469397
15,1,3407,0.02225893263794488,0.020453288459755845,0.019417836869254863,0.020001088450825204
15,1,17,0.021615261415112025,0.02030287340836415,0.019924937250456864,0.020107500066345336
15,1,73,0.022396380586753098,0.02035169714304944,0.01999679438869523,0.02001826853460871
15,1,314,0.022013156552669902,0.02044850122388899,0.0199891660673874,0.019753629396987774
15,1,2718,0.02134283712766068,0.02047062636682357,0.019857219523472778,0.0198734150201824
15,1,4099,0.02277682007792181,0.02030662208513109,0.019582650312783775,0.019957870952795553
15,1,8128,0.021958332190380236,0.020193154076555083,0.02016148421447991,0.02008593301163611
15,1,12011,0.021844214756319095,0.020133941486247094,0.01972350958430067,0.0198398483788771
15,2,42,0.019028089704701965,0.018811536058790407,0.01807697136642962,0.01808434015296371
15,2,2026,0.018662859225913427,0.018832685936803165,0.018245049967430257,0.018086132923113
15,2,3407,0.018415806806215997,0.01877765604248159,0.0180296923032369,0.018059100896372433
15,2,17,0.018539403379106423,0.018854595435433354,0.018400144509387702,0.0180823014726155
15,2,73,0.0182156256862381,0.018894433431837263,0.018069421634229327,0.01810702687073659
15,2,314,0.018700061649844186,0.018770712191684205,0.018232999775223156,0.018156006518973172
15,2,2718,0.018424158087417975,0.01877633131255865,0.018070162096773954,0.018250820849342847
15,2,4099,0.01860530265054566,0.018781125428520323,0.01812519134502311,0.01816887002125701
15,2,8128,0.018667373277306974,0.01886806605333674,0.01805631306596499,0.018051576246696132
15,2,12011,0.018493834968762328,0.018695272463953173,0.018152983175513813,0.018095166652955706
15,3,42,0.02375914411607168,0.02239021540659333,0.02211538342673097,0.022850393899889056
15,3,2026,0.024083396818105177,0.022679148661262315,0.022494056767504343,0.022396900651162184
15,3,3407,0.023724409245416914,0.022194468622798596,0.02230485820032218,0.02225357434014638
15,3,17,0.023684378464075402,0.022536051505886483,0.02234141021507233,0.022271068768466337
15,3,73,0.023837452257069517,0.02257180724106453,0.022327323873370483,0.02231047113586793
15,3,314,0.024204367381757165,0.022607002364806804,0.022205730114035857,0.022398618479238602
15,3,2718,0.02380761056710039,0.022403856208157064,0.02238920364918899,0.02231214569253006
15,3,4099,0.0238354820802866,0.022936418763958293,0.02215772333711365,0.022161306626599906
15,3,8128,0.024858058523911854,0.022582684560316302,0.022432639079864647,0.022271680408269028
15,3,12011,0.024046622008352225,0.02229629258193795,0.022443064411517593,0.022131670040163864
15,4,42,0.018071346706235936,0.018001089241549816,0.017190566960285765,0.01708508621000833
15,4,2026,0.0180474971518905,0.017889242149037875,0.01721380555024716,0.01724310878910051
15,4,3407,0.017938553301813112,0.01783817634836166,0.017159373759888588,0.017211353974441637
15,4,17,0.018055499058837784,0.017818339246086636,0.017078138350053427,0.017216628292749475
15,4,73,0.01802468053029881,0.017969928875306202,0.01732070412147545,0.017117412644487136
15,4,314,0.01810201564261311,0.017740553258074526,0.017046765889892724,0.017160241449012233
15,4,2718,0.017926019858829557,0.017892413698912844,0.017173788891795886,0.017123410896751328
15,4,4099,0.018232249309563655,0.01792604090969687,0.017174238728346638,0.01729343039343232
15,4,8128,0.018156302451371616,0.017977796282837653,0.017103478320451296,0.01708943706120073
15,4,12011,0.01796043681699855,0.01778002931344228,0.017021367982288566,0.017108698960752098
15,5,42,0.01927052216148799,0.019271867557715112,0.018377829512981888,0.018420280525112586
15,5,2026,0.01976525433354276,0.01874544702121657,0.0181651049128874,0.01838606825511136
15,5,3407,0.01902455774408668,0.0187494515116169,0.018042577309115758,0.018076621903719517
15,5,17,0.018868923295949063,0.01906101096557096,0.018179604732581466,0.018239282820581425
15,5,73,0.019129288395341712,0.018741091013236524,0.018106697890827944,0.018388477248262362
15,5,314,0.019178288599885972,0.019192077157763946,0.018584335574819835,0.01865989947508717
15,5,2718,0.019362777086674644,0.019091125988601854,0.018541940967129706,0.01814859495626395
15,5,4099,0.019621031618902357,0.0189521933571982,0.018220166966625373,0.018168080259548122
15,5,8128,0.019796788150809798,0.0190652331740405,0.018604282390129307,0.018314229672047974
15,5,12011,0.019555250973956547,0.019095387752847883,0.018483129209318817,0.018192372586136707
20,1,42,0.01405747512425422,0.013916308527250868,0.013428147774028284,0.013552335854850227
20,1,2026,0.014355387141357928,0.013989002152870805,0.013468505928118572,0.013419438423561319
20,1,3407,0.01434262135216799,0.013919648594162762,0.013549479339987366,0.013314072179137335
