n,fold,seed,mse_p,mse_q,mse_qp
7,1,42,0.04055187458410536,0.039258311750997366,0.0374735994998117
7,1,2026,0.04166970538905999,0.03869609654490744,0.03798812636364964
7,1,3407,0.04070281461070251,0.038885969142592354,0.037376766158288915
7,1,17,0.04122693524730483,0.03888184117911787,0.03730150012158478
7,1,73,0.04135836548684009,0.038581223100918605,0.03714483685582367
7,1,314,0.04177140462959021,0.038606813402966275,0.037044186397163184
7,1,2718,0.04131441154314594,0.03888860704422964,0.03712103925864265
7,1,4099,0.041692154935374176,0.038770651233699376,0.03782064580223666
7,1,8128,0.03956929399426821,0.03862904259801951,0.03750193146551742
7,1,12011,0.04222269842780462,0.03833496547397145,0.03687347127265407
7,2,42,0.048595410937094595,0.04310361554167076,0.042319052966965795
7,2,2026,0.04671525018200191,0.04261772980628474,0.042486313338021935
7,2,3407,0.04909055531489158,0.04330043394237739,0.04302355133833316
7,2,17,0.046226841692403306,0.04269714015236231,0.04234063231784173
7,2,73,0.04998165839540367,0.042870752502568686,0.043039298580071314
7,2,314,0.04696118650645894,0.04256542442195256,0.042778973354437255
7,2,2718,0.046592966677303845,0.042783039257254324,0.043026506817101906
7,2,4099,0.046714049160954285,0.0432366375667691,0.04259260294420405
7,2,8128,0.046016928416071384,0.042715635156346764,0.04210921072742289
7,2,12011,0.04599733900495368,0.04241268469748793,0.04258826851547963
7,3,42,0.04376814390351528,0.042752381739594586,0.041278727306021355
7,3,2026,0.047339322567431744,0.04313971150549565,0.04145740842517848
7,3,3407,0.045377943223869,0.0424797960010253,0.04168631559591343
7,3,17,0.04476299599007556,0.042374696536717105,0.04147399618649783
7,3,73,0.04727529248381101,0.0427852214276414,0.04147389719633918
7,3,314,0.04514164599023762,0.04275714797463338,0.04180584587384459
7,3,2718,0.04679722223246987,0.04303630677135235,0.041274611544556826
7,3,4099,0.04690406903867818,0.04292287979178837,0.04154179722242213
7,3,8128,0.045829253637425495,0.04300976986367409,0.0410695182036881
7,3,12011,0.04642328079439508,0.042724530362620916,0.041417844391367115
7,4,42,0.04304600545908623,0.041702656277565815,0.04011454777403978
7,4,2026,0.04191657107183178,0.04129301757369826,0.03987720311331754
7,4,3407,0.04369285670022123,0.04115226368971642,0.04001747701475097
7,4,17,0.04294149078111922,0.041821271510243285,0.03996862880538185
7,4,73,0.04295591496130594,0.04136741625327735,0.040317758632033275
7,4,314,0.04234702185243236,0.04148165304098839,0.040769712835370425
7,4,2718,0.042861356916501246,0.041481854770623196,0.039887245447172266
7,4,4099,0.04150804198536594,0.042010925196864626,0.040290803635850685
7,4,8128,0.04198740049715293,0.04117327058373763,0.040000447634442195
7,4,12011,0.042377198901069495,0.04140502363742324,0.039736388692453564
7,5,42,0.04254107646816127,0.04081773341457217,0.038291659144248695
7,5,2026,0.04219372313692651,0.04005660843979642,0.038510531965389394
7,5,3407,0.04244716581295458,0.04025499091006863,0.038679708383849896
7,5,17,0.04185323906138593,0.04029140155600898,0.03844168507698818
7,5,73,0.042427681900048655,0.040345409631965354,0.03873602386087857
7,5,314,0.04307291692081017,0.04011971938946965,0.03827584878589101
7,5,2718,0.043287096574165365,0.04085346767228544,0.0389706587365269
7,5,4099,0.04232265192698832,0.040095345944132325,0.038382742209828014
7,5,8128,0.04200403279728803,0.04075085624379013,0.03869664762578306
7,5,12011,0.04244912106501457,0.040842269548776636,0.03880001771498378
10,1,42,0.030857310886790414,0.027948590423995487,0.027527160051136475
10,1,2026,0.03185780187852737,0.02784192155262659,0.02765320655700906
10,1,3407,0.0327750921110725,0.027921317852903787,0.02851458725377126
10,1,17,0.03061541574231495,0.027968940914389114,0.027968387978713056
10,1,73,0.03192900945607406,0.027776525925339836,0.02837546863146485
10,1,314,0.03029713921125502,0.028038431107161515,0.02737925687590773
10,1,2718,0.033089006319244885,0.028428982630465973,0.02797886837192252
10,1,4099,0.03167997311898452,0.028011486115504306,0.02899946105641455
10,1,8128,0.031958587511794694,0.028030438411271348,0.028028322790111974
10,1,12011,0.03121116626138137,0.027940572031264786,0.027714547452892032
10,2,42,0.03085831381292288,0.02875569765704256,0.028215808980742264
10,2,2026,0.030540949994067906,0.0286620124729919,0.029092931184798977
10,2,3407,0.03075836868222198,0.028345654795807387,0.02909199648728436
10,2,17,0.030086563115477177,0.02850516716504148,0.02945698499498804
10,2,73,0.03112107262729148,0.028575494552533758,0.02851191485438502
10,2,314,0.031431152043184814,0.028700059747362155,0.028586840030260106
10,2,2718,0.03049727178716804,0.028434037388064562,0.028216994959857626
10,2,4099,0.0306961496734889,0.028734182686964267,0.028788545593071906
10,2,8128,0.030530059244125923,0.028479437315227146,0.02822653404894287
10,2,12011,0.030533074268610082,0.028936911570077665,0.028757563045978464
10,3,42,0.030004882486598477,0.029526678308952673,0.02810450242733736
10,3,2026,0.029559471350532652,0.02966849012670604,0.027934381974158224
10,3,3407,0.03023132040189062,0.029676793602325755,0.028131702204192758
10,3,17,0.02924583990976234,0.02942125318141804,0.02768168872814476
10,3,73,0.02943121918398098,0.02979024348758567,0.027986494639993302
10,3,314,0.029458100087447606,0.029877754731243305,0.027905320123405866
10,3,2718,0.02938073179939051,0.02942069939689323,0.027882840836453465
10,3,4099,0.029363874519403754,0.029805008207061688,0.027882562912979563
10,3,8128,0.029189114655595035,0.029639785492303124,0.02783895892238495
10,3,12011,0.02948853737527924,0.02969292017524713,0.027792835762736487
10,4,42,0.02972259606213619,0.027971040711978395,0.027510615853903436
10,4,2026,0.02960078746323377,0.028171262623273664,0.027574524888865023
10,4,3407,0.030151699406600934,0.028082396824689344,0.0279529926799577
