beta,gamma_eta_ratio,eta,gamma,n,repeat_id,primary_class,high_has_root,low_geom_has_root,low_uniform_has_root,grid_gradient_has_root,min_abs_g_minus_offset,g_min,g_max,boundary_fraction,multipeak_fraction,beta_unstable,gradient_noise_suspect
1.5,0.0,1000.0,0.0,3,0,near_miss,False,False,True,True,0.0013388655013602674,0.10133886550136027,5.032788558373892,0.0,0.0,False,True
1.5,0.0,1000.0,0.0,3,1,all_above_offset,False,False,False,False,0.9310763506533649,1.031076350653365,3.098644466937839,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,3,2,strict_root,True,True,True,True,0.33402235728405005,-0.9984209466349362,10.902867597056682,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,3,3,all_above_offset,False,False,False,False,1.3819218070968482,1.4819218070968483,4.733640958655606,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,3,4,strict_root,True,True,True,True,0.01188765056162562,-0.08982367026504617,3.8941557171439967,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,3,5,strict_root,True,True,True,True,0.002724431373611641,0.02842729572790558,1.7818963880425844,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,3,6,coarse_uniform_miss,True,True,False,True,0.08130455609263228,-30.517970417597155,75.33678085377494,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,3,7,all_above_offset,False,False,False,False,0.45521777695098953,0.5552177769509895,1.9083718841281894,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,3,8,strict_root,True,True,True,True,0.11731973756433692,-3.933363195033466,12.184944939817136,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,3,9,strict_root,True,True,True,True,0.004105644043712858,0.016703649590165372,1.7531949859427218,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,3,10,strict_root,True,True,True,True,0.00038996740223563864,0.0126279156067244,0.9054773332384494,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,3,11,strict_root,True,True,True,True,0.006544552473477114,0.021839129493476096,1.7838800485504358,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,3,12,coarse_uniform_miss,True,True,False,True,0.1188183825602848,-9.844943797883898,33.36037734584111,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,3,13,strict_root,True,True,True,True,0.230226941390787,-1.0521064863049037,11.350452352015145,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,3,14,coarse_uniform_miss,True,True,False,True,0.15048244895818674,-42.77155047164291,84.96193542312132,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,3,15,all_above_offset,False,False,False,False,0.019990756492576978,0.11999075649257698,2.3505332456902432,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,3,16,all_above_offset,False,False,False,False,0.02774560171012075,0.12774560171012075,2.5368772566801185,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,3,17,strict_root,True,True,True,True,0.023348406603219782,-0.4424097995867822,5.6800789636792945,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,3,18,strict_root,True,True,True,True,0.05975552935202583,-2.7339200686330285,20.280395321498748,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,3,19,all_above_offset,False,False,False,False,0.05768183988608941,0.15768183988608941,3.2583176592660363,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,5,0,strict_root,True,True,True,True,0.002665701435151907,0.0973342985648481,1.9911550014771118,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,5,1,all_above_offset,False,False,False,False,0.6999588425251694,0.7999588425251694,1.3604887733667417,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,5,2,strict_root,True,True,True,True,0.39059180142194383,-1.5467245383293537,10.045141773817747,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,5,3,strict_root,True,True,True,True,0.024302034679805504,-0.1111074949987326,4.9113085471837,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,5,4,all_above_offset,False,False,False,False,0.22260711610690306,0.32260711610690307,0.3917252884585046,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,5,5,all_above_offset,False,False,False,False,0.392253009920587,0.49225300992058696,0.6384332910822429,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,5,6,all_above_offset,False,False,False,False,0.44807490992369226,0.5480749099236922,0.5869051592819304,0.0,0.0,False,False
