id,Bias,SD/方差,MSE/RMSE,MAE,相对误差
182-001,1,0,0,0,0
182-002,1,0,1,1,1
182-003,0,0,1,0,0
182-004,0,0,0,0,0
182-005,0,0,0,0,0
182-006,0,1,0,0,0
182-011,0,1,0,0,1
182-018,1,1,0,0,0
182-019,1,0,1,0,0
182-021,1,0,1,0,1
182-022,1,1,1,0,0
182-023,0,0,0,0,0
182-024,1,1,0,0,0
182-025,1,1,1,0,0
182-026,0,1,0,0,1
182-027,1,1,1,0,1
182-028,1,1,1,0,0
182-029,1,1,1,0,0
182-030,0,1,0,0,0
182-031,1,1,0,0,0
182-032,1,0,0,0,0
182-033,1,0,1,0,0
182-034,1,1,0,0,1
182-036,1,0,0,0,0
182-037,1,0,0,0,0
182-039,1,1,0,0,0
182-045,0,0,0,0,0
182-046,1,1,0,0,0
182-047,0,0,0,0,0
182-050,1,1,0,0,0
182-051,1,1,0,0,1
182-054,1,1,0,0,0
182-056,1,0,1,0,0
182-057,0,1,0,0,1
182-060,1,0,0,0,0
182-061,0,1,1,0,0
182-062,1,1,0,0,0
182-063,1,1,1,0,1
182-064,1,0,0,0,1
182-067,0,1,0,0,0
182-068,1,1,1,0,0
182-070,1,1,0,0,0
182-072,1,0,1,0,0
182-074,1,1,1,1,0
182-075,1,0,1,0,0
182-076,1,0,1,0,0
182-077,1,1,0,0,0
182-078,1,1,1,0,0
182-079,1,1,0,0,0
182-080,1,0,0,0,0
182-082,0,1,0,0,0
182-083,1,1,1,0,0
182-084,1,0,0,0,1
182-085,1,1,1,0,0
182-087,0,0,0,0,0
182-088,1,1,0,0,0
182-089,1,1,1,0,0
182-090,0,1,0,0,0
182-091,1,1,0,0,0
182-092,1,1,0,0,0
182-093,0,0,0,0,0
182-094,1,1,1,0,0
182-095,1,0,0,0,0
182-096,1,0,1,0,0
182-097,1,0,1,0,0
182-098,1,0,1,0,0
182-099,1,0,0,0,0
182-100,1,0,1,0,0
